arm,key,s1_value,corrected_value,preprune_fallback_value
sparse,distort_norm_denominator,93252.56728832517,1453.9804734849022,1453.9804734849022
sparse,distort_normalization,scene_extent_sq,scene_scale_sq,scene_scale_sq
sparse,final_prune_opa,,0.05,0.0
sparse,grow_grad2d,,0.001,0.001
sparse,grow_scale3d,,0.01,0.01
sparse,prune_opa,,0.05,0.05
sparse,prune_scale3d,,0.1,0.1
sparse,refine_every,,200,200
sparse,refine_start_iter,,500,500
sparse,refine_stop_iter,,20000,20000
sparse,reset_every,,3000,3000
sparse,seed_protect,,True,True
sparse,seed_protect_until_iter,,5000,5000
sparse,w_distort,,100.0,100.0
dense,distort_norm_denominator,93252.56728832517,1453.9804734849022,1453.9804734849022
dense,distort_normalization,scene_extent_sq,scene_scale_sq,scene_scale_sq
dense,final_prune_opa,,0.05,0.0
dense,grow_grad2d,,0.001,0.001
dense,grow_scale3d,,0.01,0.01
dense,prune_opa,,0.05,0.05
dense,prune_scale3d,,0.1,0.1
dense,refine_every,,200,200
dense,refine_start_iter,,500,500
dense,refine_stop_iter,,20000,20000
dense,reset_every,,3000,3000
dense,seed_protect,,True,True
dense,seed_protect_until_iter,,5000,5000
dense,w_distort,,100.0,100.0
acmp,distort_norm_denominator,93252.56728832517,1453.9804734849022,1453.9804734849022
acmp,distort_normalization,scene_extent_sq,scene_scale_sq,scene_scale_sq
acmp,final_prune_opa,,0.05,0.0
acmp,grow_grad2d,,0.001,0.001
acmp,grow_scale3d,,0.01,0.01
acmp,prune_opa,,0.05,0.05
acmp,prune_scale3d,,0.1,0.1
acmp,refine_every,,200,200
acmp,refine_start_iter,,500,500
acmp,refine_stop_iter,,20000,20000
acmp,reset_every,,3000,3000
acmp,seed_protect,,True,True
acmp,seed_protect_until_iter,,5000,5000
acmp,w_distort,,100.0,100.0
