condition,arm,building_id,ckpt,n_gaussians_in_footprint,z_p05,z_p50,z_p95,z_std,opacity_p05,opacity_p50,opacity_p95,opacity_lt_005_count,opacity_lt_005_frac,opacity_lt_005_abs,opacity_lt_005_ratio,opacity_lt_0050_count,opacity_lt_0050_frac,opacity_lt_005_note,axis_ratio_gt10_count,axis_ratio_gt10_frac
s1,sparse,DEBY_LOD2_4907184,results/tum_transfer/e5_3b_s1/C001/runs/gs_e5_C001_s1_sparse_r1/ckpt/final.pt,24482,577.1496,583.2304,612.2813,13.7085,0.0029,0.0382,0.9955,8560,0.3496,8560,0.3496,12729,0.5199,ratio+count both reported,5352,0.2186
s1,sparse,DEBY_LOD2_4907185,results/tum_transfer/e5_3b_s1/C001/runs/gs_e5_C001_s1_sparse_r1/ckpt/final.pt,7422,580.6028,582.6112,612.7408,14.2317,0.0028,0.0084,0.9917,3259,0.4391,3259,0.4391,4927,0.6638,ratio+count both reported,1722,0.2320
s1,sparse,DEBY_LOD2_4907202,results/tum_transfer/e5_3b_s1/C001/runs/gs_e5_C001_s1_sparse_r1/ckpt/final.pt,168,562.2699,567.1874,574.2895,7.0553,0.0018,0.5556,0.9984,52,0.3095,52,0.3095,53,0.3155,ratio+count both reported,14,0.0833
s1,sparse,DEBY_LOD2_4908168,results/tum_transfer/e5_3b_s1/C001/runs/gs_e5_C001_s1_sparse_r1/ckpt/final.pt,88,562.3642,605.7153,616.9855,15.8268,0.0032,0.0687,0.9975,29,0.3295,29,0.3295,44,0.5000,ratio+count both reported,19,0.2159
s1,sparse,DEBY_LOD2_8568392,results/tum_transfer/e5_3b_s1/C001/runs/gs_e5_C001_s1_sparse_r1/ckpt/final.pt,0,,,,,,,,0,,0,,0,,ratio+count both reported,0,
corrected,sparse,DEBY_LOD2_4907184,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_sparse_r1/ckpt/final.pt,6198,578.0995,582.2937,583.6690,2.4930,0.1622,0.9798,0.9995,0,0.0000,0,0.0000,0,0.0000,ratio+count both reported,984,0.1588
corrected,sparse,DEBY_LOD2_4907185,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_sparse_r1/ckpt/final.pt,727,579.5692,581.7240,582.4421,1.4538,0.1206,0.9799,0.9994,0,0.0000,0,0.0000,0,0.0000,ratio+count both reported,153,0.2105
corrected,sparse,DEBY_LOD2_4907202,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_sparse_r1/ckpt/final.pt,111,600.1225,602.6403,610.2725,6.4832,0.3298,0.9990,0.9999,0,0.0000,0,0.0000,0,0.0000,ratio+count both reported,14,0.1261
corrected,sparse,DEBY_LOD2_4908168,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_sparse_r1/ckpt/final.pt,0,,,,,,,,0,,0,,0,,ratio+count both reported,0,
corrected,sparse,DEBY_LOD2_8568392,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_sparse_r1/ckpt/final.pt,36,599.3634,600.4656,610.5496,4.1204,0.1105,0.9963,0.9997,0,0.0000,0,0.0000,0,0.0000,ratio+count both reported,4,0.1111
preprune_keepall,sparse,DEBY_LOD2_4907184,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_keepall_sparse_r1/ckpt/final.pt,6322,578.1371,582.3834,583.7031,3.2087,0.0414,0.9707,0.9995,37,0.0059,37,0.0059,352,0.0557,ratio+count both reported,1040,0.1645
preprune_keepall,sparse,DEBY_LOD2_4907185,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_keepall_sparse_r1/ckpt/final.pt,607,579.5608,581.6121,582.4356,3.0903,0.0039,0.9850,0.9995,56,0.0923,56,0.0923,106,0.1746,ratio+count both reported,54,0.0890
preprune_keepall,sparse,DEBY_LOD2_4907202,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_keepall_sparse_r1/ckpt/final.pt,196,596.0475,605.2210,610.6104,8.5404,0.0136,0.9952,0.9999,6,0.0306,6,0.0306,14,0.0714,ratio+count both reported,19,0.0969
preprune_keepall,sparse,DEBY_LOD2_4908168,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_keepall_sparse_r1/ckpt/final.pt,4,578.4224,578.7724,579.2073,0.3229,0.0039,0.0039,0.0039,4,1.0000,4,1.0000,4,1.0000,ratio+count both reported,0,0.0000
preprune_keepall,sparse,DEBY_LOD2_8568392,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_keepall_sparse_r1/ckpt/final.pt,1,569.8554,569.8554,569.8554,0.0000,0.4811,0.4811,0.4811,0,0.0000,0,0.0000,0,0.0000,ratio+count both reported,0,0.0000
preprune_opa005,sparse,DEBY_LOD2_4907184,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_opa005_sparse_r1/ckpt/final.pt,5970,578.1188,582.3371,583.6917,2.7996,0.1468,0.9780,0.9995,0,0.0000,0,0.0000,0,0.0000,ratio+count both reported,994,0.1665
preprune_opa005,sparse,DEBY_LOD2_4907185,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_opa005_sparse_r1/ckpt/final.pt,501,579.2558,581.5080,582.4022,1.3590,0.1153,0.9929,0.9995,0,0.0000,0,0.0000,0,0.0000,ratio+count both reported,22,0.0439
preprune_opa005,sparse,DEBY_LOD2_4907202,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_opa005_sparse_r1/ckpt/final.pt,182,602.5887,605.1805,609.5210,6.9915,0.1794,0.9960,0.9999,0,0.0000,0,0.0000,0,0.0000,ratio+count both reported,19,0.1044
preprune_opa005,sparse,DEBY_LOD2_4908168,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_opa005_sparse_r1/ckpt/final.pt,0,,,,,,,,0,,0,,0,,ratio+count both reported,0,
preprune_opa005,sparse,DEBY_LOD2_8568392,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_opa005_sparse_r1/ckpt/final.pt,1,569.8554,569.8554,569.8554,0.0000,0.4811,0.4811,0.4811,0,0.0000,0,0.0000,0,0.0000,ratio+count both reported,0,0.0000
s1,dense,DEBY_LOD2_4907184,results/tum_transfer/e5_3b_s1/C001/runs/gs_e5_C001_s1_dense_r1/ckpt/final.pt,23969,574.0797,581.6657,583.7360,6.0782,0.0032,0.0355,0.9959,9036,0.3770,9036,0.3770,12400,0.5173,ratio+count both reported,3582,0.1494
s1,dense,DEBY_LOD2_4907185,results/tum_transfer/e5_3b_s1/C001/runs/gs_e5_C001_s1_dense_r1/ckpt/final.pt,4343,577.3228,581.9473,582.8014,4.4364,0.0028,0.0039,0.9935,2436,0.5609,2436,0.5609,3031,0.6979,ratio+count both reported,154,0.0355
s1,dense,DEBY_LOD2_4907202,results/tum_transfer/e5_3b_s1/C001/runs/gs_e5_C001_s1_dense_r1/ckpt/final.pt,1188,564.1080,567.0390,604.8346,13.1149,0.0020,0.0855,0.9954,477,0.4015,477,0.4015,564,0.4747,ratio+count both reported,75,0.0631
s1,dense,DEBY_LOD2_4908168,results/tum_transfer/e5_3b_s1/C001/runs/gs_e5_C001_s1_dense_r1/ckpt/final.pt,102,560.5126,566.2634,567.6265,1.8722,0.0021,0.4706,0.9944,35,0.3431,35,0.3431,39,0.3824,ratio+count both reported,4,0.0392
s1,dense,DEBY_LOD2_8568392,results/tum_transfer/e5_3b_s1/C001/runs/gs_e5_C001_s1_dense_r1/ckpt/final.pt,30,563.6664,565.4143,586.5238,9.5213,0.0025,0.0037,0.9874,20,0.6667,20,0.6667,22,0.7333,ratio+count both reported,0,0.0000
corrected,dense,DEBY_LOD2_4907184,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/final.pt,7396,577.9836,582.0406,583.6208,5.2734,0.1503,0.9804,0.9994,0,0.0000,0,0.0000,0,0.0000,ratio+count both reported,1440,0.1947
corrected,dense,DEBY_LOD2_4907185,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/final.pt,832,579.7821,581.8056,623.8849,15.4707,0.0790,0.9823,0.9994,0,0.0000,0,0.0000,0,0.0000,ratio+count both reported,134,0.1611
corrected,dense,DEBY_LOD2_4907202,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/final.pt,10,574.9248,576.4144,577.5667,1.1172,0.1183,0.8972,0.9996,0,0.0000,0,0.0000,0,0.0000,ratio+count both reported,0,0.0000
corrected,dense,DEBY_LOD2_4908168,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/final.pt,31,579.5741,657.9312,658.9654,25.9949,0.0601,0.0949,0.3064,0,0.0000,0,0.0000,0,0.0000,ratio+count both reported,0,0.0000
corrected,dense,DEBY_LOD2_8568392,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/final.pt,0,,,,,,,,0,,0,,0,,ratio+count both reported,0,
preprune_keepall,dense,DEBY_LOD2_4907184,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_keepall_dense_r1/ckpt/final.pt,7494,578.0337,581.9096,583.6923,2.3861,0.0719,0.9761,0.9994,25,0.0033,25,0.0033,301,0.0402,ratio+count both reported,1534,0.2047
preprune_keepall,dense,DEBY_LOD2_4907185,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_keepall_dense_r1/ckpt/final.pt,897,578.9120,581.8693,582.6687,1.3971,0.0036,0.8894,0.9993,148,0.1650,148,0.1650,226,0.2520,ratio+count both reported,25,0.0279
preprune_keepall,dense,DEBY_LOD2_4907202,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_keepall_dense_r1/ckpt/final.pt,5,575.2465,575.6246,576.0357,0.3235,0.3804,0.5699,0.9064,0,0.0000,0,0.0000,0,0.0000,ratio+count both reported,0,0.0000
preprune_keepall,dense,DEBY_LOD2_4908168,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_keepall_dense_r1/ckpt/final.pt,0,,,,,,,,0,,0,,0,,ratio+count both reported,0,
preprune_keepall,dense,DEBY_LOD2_8568392,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_keepall_dense_r1/ckpt/final.pt,0,,,,,,,,0,,0,,0,,ratio+count both reported,0,
preprune_opa005,dense,DEBY_LOD2_4907184,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_opa005_dense_r1/ckpt/final.pt,7193,578.0185,581.8392,583.6927,2.3871,0.1522,0.9808,0.9994,0,0.0000,0,0.0000,0,0.0000,ratio+count both reported,1426,0.1982
preprune_opa005,dense,DEBY_LOD2_4907185,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_opa005_dense_r1/ckpt/final.pt,671,577.8424,581.6597,582.3950,1.4963,0.1357,0.9880,0.9994,0,0.0000,0,0.0000,0,0.0000,ratio+count both reported,22,0.0328
preprune_opa005,dense,DEBY_LOD2_4907202,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_opa005_dense_r1/ckpt/final.pt,5,575.2465,575.6246,576.0357,0.3235,0.3804,0.5699,0.9064,0,0.0000,0,0.0000,0,0.0000,ratio+count both reported,0,0.0000
preprune_opa005,dense,DEBY_LOD2_4908168,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_opa005_dense_r1/ckpt/final.pt,0,,,,,,,,0,,0,,0,,ratio+count both reported,0,
preprune_opa005,dense,DEBY_LOD2_8568392,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_opa005_dense_r1/ckpt/final.pt,0,,,,,,,,0,,0,,0,,ratio+count both reported,0,
s1,acmp,DEBY_LOD2_4907184,results/tum_transfer/e5_3b_s1/C001/runs/gs_e5_C001_s1_acmp_r1/ckpt/final.pt,27610,574.1353,582.4284,619.9568,14.6527,0.0031,0.0487,0.9955,8764,0.3174,8764,0.3174,13864,0.5021,ratio+count both reported,4271,0.1547
s1,acmp,DEBY_LOD2_4907185,results/tum_transfer/e5_3b_s1/C001/runs/gs_e5_C001_s1_acmp_r1/ckpt/final.pt,7669,576.4202,581.4585,613.3922,14.3313,0.0028,0.0040,0.9931,4135,0.5392,4135,0.5392,5322,0.6940,ratio+count both reported,493,0.0643
s1,acmp,DEBY_LOD2_4907202,results/tum_transfer/e5_3b_s1/C001/runs/gs_e5_C001_s1_acmp_r1/ckpt/final.pt,1267,564.2076,567.2782,606.3168,15.7915,0.0022,0.0257,0.9954,554,0.4373,554,0.4373,659,0.5201,ratio+count both reported,74,0.0584
s1,acmp,DEBY_LOD2_4908168,results/tum_transfer/e5_3b_s1/C001/runs/gs_e5_C001_s1_acmp_r1/ckpt/final.pt,620,562.8050,608.5077,613.7750,21.0485,0.0024,0.0107,0.9956,281,0.4532,281,0.4532,358,0.5774,ratio+count both reported,33,0.0532
s1,acmp,DEBY_LOD2_8568392,results/tum_transfer/e5_3b_s1/C001/runs/gs_e5_C001_s1_acmp_r1/ckpt/final.pt,26,564.0037,565.1023,609.2741,20.6371,0.0030,0.0038,0.9930,16,0.6154,16,0.6154,19,0.7308,ratio+count both reported,1,0.0385
corrected,acmp,DEBY_LOD2_4907184,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_acmp_r1/ckpt/final.pt,8412,578.0238,582.1063,606.2726,6.6870,0.1840,0.9849,0.9994,0,0.0000,0,0.0000,0,0.0000,ratio+count both reported,1575,0.1872
