building_id,source_group,source_run,display_label,source_role,seed,replicate,pair_raw,source_badge,readout,z_shift_to_reference_m,complexity_lens,size_lens,texture_lens,observation_lens,label_lens,has_lod22,val3dity_valid,status,status_reason,rf_success,rf_pointcloud_unusable,roof_planes,status_rf_roof_planes,ref_roof_planes,match_count,completeness,correctness,mean_match_iou,ref_rms_m,ref_hausdorff_m,ref_distance_samples,rf_rmse_lod22,shell_bucket,ref_rms_tail,ref_rms_tail_fence_m,setting,run_name,arm,readout_min_obs,readout_voxel_m,readout_alpha,readout_sor,readout_sor_std
DEBY_LOD2_108247349,gs_dense,base__gs_e5_C001_s2_arm1_dense_r1,base dense r1,gs,dense,r1,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,low,not_reviewed,mid,none,false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,22.7378,base,gs_e5_C001_s2_arm1_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_108247350,gs_dense,base__gs_e5_C001_s2_arm1_dense_r1,base dense r1,gs,dense,r1,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,low,lowtex_mid,mid,복합(소형+가림),true,true,success,success,True,False,1,2,1,0,0.0000,0.0000,,18.2524,21.7328,48,0.742074,조립,false,22.7378,base,gs_e5_C001_s2_arm1_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_108247351,gs_dense,base__gs_e5_C001_s2_arm1_dense_r1,base dense r1,gs,dense,r1,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,low,복합(저조도+가림),mid,복합(저조도+가림),true,false,failure,val3dity_invalid,True,False,1,1,1,0,0.0000,0.0000,,14.3875,19.0074,260,0.538744,무효·붕괴,false,22.7378,base,gs_e5_C001_s2_arm1_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4907184,gs_dense,base__gs_e5_C001_s2_arm1_dense_r1,base dense r1,gs,dense,r1,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,high,high,not_reviewed,high,none,true,true,success,success,True,False,9,34,4,4,1.0000,0.4444,0.6388,0.5449,2.6009,1347,0.543992,조립,false,22.7378,base,gs_e5_C001_s2_arm1_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4907185,gs_dense,base__gs_e5_C001_s2_arm1_dense_r1,base dense r1,gs,dense,r1,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,mid,not_reviewed,high,none,true,true,success,success,True,False,4,9,2,2,1.0000,0.5000,0.3061,3.7976,6.8978,648,0.386758,조립,false,22.7378,base,gs_e5_C001_s2_arm1_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4907186,gs_dense,base__gs_e5_C001_s2_arm1_dense_r1,base dense r1,gs,dense,r1,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,mid,not_reviewed,mid,none,false,true,failure,missing_lod22_geometry,True,False,0,7,2,0,0.0000,,,,,0,0.000000,미조립,false,22.7378,base,gs_e5_C001_s2_arm1_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4907188,gs_dense,base__gs_e5_C001_s2_arm1_dense_r1,base dense r1,gs,dense,r1,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,mid,not_reviewed,low,none,true,false,failure,val3dity_invalid,True,False,1,3,2,0,0.0000,0.0000,,9.8025,20.2811,664,0.886195,무효·붕괴,false,22.7378,base,gs_e5_C001_s2_arm1_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4907194,gs_dense,base__gs_e5_C001_s2_arm1_dense_r1,base dense r1,gs,dense,r1,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,mid,not_reviewed,low,none,false,true,failure,pointcloud_unusable_no_planes,True,True,0,0,2,0,0.0000,,,,,0,,미조립,false,22.7378,base,gs_e5_C001_s2_arm1_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4907195,gs_dense,base__gs_e5_C001_s2_arm1_dense_r1,base dense r1,gs,dense,r1,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,mid,not_reviewed,low,none,true,false,failure,val3dity_invalid,True,False,4,9,2,2,1.0000,0.5000,0.2989,2.5631,7.4675,713,0.700708,무효·붕괴,false,22.7378,base,gs_e5_C001_s2_arm1_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4907198,gs_dense,base__gs_e5_C001_s2_arm1_dense_r1,base dense r1,gs,dense,r1,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,high,high,not_reviewed,mid,none,true,false,failure,val3dity_invalid,True,False,2,11,4,1,0.2500,0.5000,0.3107,4.2663,8.8923,1215,1.177118,무효·붕괴,false,22.7378,base,gs_e5_C001_s2_arm1_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4907199,gs_dense,base__gs_e5_C001_s2_arm1_dense_r1,base dense r1,gs,dense,r1,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,low,무텍스처,mid,무텍스처,false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,22.7378,base,gs_e5_C001_s2_arm1_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4907202,gs_dense,base__gs_e5_C001_s2_arm1_dense_r1,base dense r1,gs,dense,r1,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,mid,not_reviewed,mid,none,true,false,failure,val3dity_invalid,True,False,1,1,2,1,0.5000,1.0000,0.1299,5.8265,11.7082,641,0.046450,무효·붕괴,false,22.7378,base,gs_e5_C001_s2_arm1_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4908168,gs_dense,base__gs_e5_C001_s2_arm1_dense_r1,base dense r1,gs,dense,r1,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,low,not_reviewed,high,none,false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,22.7378,base,gs_e5_C001_s2_arm1_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4908178,gs_dense,base__gs_e5_C001_s2_arm1_dense_r1,base dense r1,gs,dense,r1,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,low,not_reviewed,low,none,false,true,failure,pointcloud_unusable_no_points,True,True,0,0,2,0,0.0000,,,,,0,,미조립,false,22.7378,base,gs_e5_C001_s2_arm1_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4908179,gs_dense,base__gs_e5_C001_s2_arm1_dense_r1,base dense r1,gs,dense,r1,raw_dense,base_405repair,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2); 405 winding repair overlay,-45.7000,low,low,not_reviewed,mid,none,false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,22.7378,base,gs_e5_C001_s2_arm1_dense_r1,dense,3,0.05,0.5,on,2.0
