building_id,core9,estimated_z_local_m,sparse_points3d_count,dense_init_point_count,source_count,source_z_q10_local_m,source_z_q50_local_m,source_z_q90_local_m,source_z_mad_m,active_for_loss_address,inactive_reason,fallback_used,zero_source_exclusion_only_global_median_z_local_m,estimator,xy_clip,reference_roof_z_local_m,estimated_minus_reference_m,reference_role,tuning
DEBY_LOD2_108247349,False,-59.39547348022461,1,0,1,-59.39547348022461,-59.39547348022461,-59.39547348022461,0.0,True,,False,,median(combined Arm1-prime 0-iter sparse points3D + dense-init points inside unbuffered footprint),strict unbuffered footprint contains_xy; boundary excluded,-33.41599999999994,-25.97947348022467,T0-1/evaluation audit only; never loss-address input,none
DEBY_LOD2_108247350,False,-25.610000610351562,1,8,9,-26.320283889770508,-25.610000610351562,-25.288000869750977,0.21000099182128906,True,,False,,median(combined Arm1-prime 0-iter sparse points3D + dense-init points inside unbuffered footprint),strict unbuffered footprint contains_xy; boundary excluded,-41.15999999999997,15.549999389648406,T0-1/evaluation audit only; never loss-address input,none
DEBY_LOD2_108247351,False,-25.755000114440918,0,10,10,-26.020000457763672,-25.755000114440918,-25.469999313354492,0.18000030517578125,True,,False,,median(combined Arm1-prime 0-iter sparse points3D + dense-init points inside unbuffered footprint),strict unbuffered footprint contains_xy; boundary excluded,-39.347999999999956,13.592999885559038,T0-1/evaluation audit only; never loss-address input,none
DEBY_LOD2_4907184,True,-23.059999465942383,1906,7465,9371,-29.940000534057617,-23.059999465942383,-20.68000030517578,1.5247173309326172,True,,False,,median(combined Arm1-prime 0-iter sparse points3D + dense-init points inside unbuffered footprint),strict unbuffered footprint contains_xy; boundary excluded,-26.361999999999966,3.3020005340575835,T0-1/evaluation audit only; never loss-address input,none
DEBY_LOD2_4907185,True,-26.040000915527344,35,646,681,-28.31999969482422,-26.040000915527344,-23.020000457763672,1.789999008178711,True,,False,,median(combined Arm1-prime 0-iter sparse points3D + dense-init points inside unbuffered footprint),strict unbuffered footprint contains_xy; boundary excluded,-26.203499999999906,0.16349908447256212,T0-1/evaluation audit only; never loss-address input,none
DEBY_LOD2_4907186,False,-25.549999237060547,25,402,427,-28.663999938964842,-25.549999237060547,-23.1299991607666,1.0400009155273438,True,,False,,median(combined Arm1-prime 0-iter sparse points3D + dense-init points inside unbuffered footprint),strict unbuffered footprint contains_xy; boundary excluded,-28.598999999999933,3.049000762939386,T0-1/evaluation audit only; never loss-address input,none
DEBY_LOD2_4907188,False,-26.450000762939453,20,757,777,-28.153999710083006,-26.450000762939453,-24.510000228881836,1.1099987030029297,True,,False,,median(combined Arm1-prime 0-iter sparse points3D + dense-init points inside unbuffered footprint),strict unbuffered footprint contains_xy; boundary excluded,-29.26699999999994,2.816999237060486,T0-1/evaluation audit only; never loss-address input,none
DEBY_LOD2_4907194,False,-24.889999389648438,6,499,505,-26.12599983215332,-24.889999389648438,-23.85400047302246,0.5999984741210938,True,,False,,median(combined Arm1-prime 0-iter sparse points3D + dense-init points inside unbuffered footprint),strict unbuffered footprint contains_xy; boundary excluded,-26.418999999999983,1.5290006103515452,T0-1/evaluation audit only; never loss-address input,none
DEBY_LOD2_4907195,False,-24.25,46,635,681,-26.520000457763672,-24.25,-22.920000076293945,0.9200000762939453,True,,False,,median(combined Arm1-prime 0-iter sparse points3D + dense-init points inside unbuffered footprint),strict unbuffered footprint contains_xy; boundary excluded,-25.68649999999991,1.43649999999991,T0-1/evaluation audit only; never loss-address input,none
DEBY_LOD2_4907198,True,-26.15999984741211,55,1938,1993,-32.672000122070315,-26.15999984741211,-24.299999237060547,0.5900001525878906,True,,False,,median(combined Arm1-prime 0-iter sparse points3D + dense-init points inside unbuffered footprint),strict unbuffered footprint contains_xy; boundary excluded,-27.070999999999913,0.9110001525878033,T0-1/evaluation audit only; never loss-address input,none
DEBY_LOD2_4907199,True,-26.304999351501465,2,30,32,-26.788000869750977,-26.304999351501465,-25.8700008392334,0.30500030517578125,True,,False,,median(combined Arm1-prime 0-iter sparse points3D + dense-init points inside unbuffered footprint),strict unbuffered footprint contains_xy; boundary excluded,-34.33299999999997,8.028000648498505,T0-1/evaluation audit only; never loss-address input,none
DEBY_LOD2_4907202,True,-36.7599983215332,70,955,1025,-39.58600082397461,-36.7599983215332,-35.533999633789065,0.7099990844726562,True,,False,,median(combined Arm1-prime 0-iter sparse points3D + dense-init points inside unbuffered footprint),strict unbuffered footprint contains_xy; boundary excluded,-37.03899999999999,0.27900167846678414,T0-1/evaluation audit only; never loss-address input,none
DEBY_LOD2_4908168,True,-38.0099983215332,2,91,93,-43.18800048828125,-38.0099983215332,-36.41199951171875,1.2699966430664062,True,,False,,median(combined Arm1-prime 0-iter sparse points3D + dense-init points inside unbuffered footprint),strict unbuffered footprint contains_xy; boundary excluded,-37.35349999999994,-0.6564983215332632,T0-1/evaluation audit only; never loss-address input,none
DEBY_LOD2_4908178,True,-39.45000076293945,24,395,419,-39.78199920654297,-39.45000076293945,-39.2599983215332,0.13000106811523438,True,,False,,median(combined Arm1-prime 0-iter sparse points3D + dense-init points inside unbuffered footprint),strict unbuffered footprint contains_xy; boundary excluded,-39.54249999999996,0.09249923706050822,T0-1/evaluation audit only; never loss-address input,none
DEBY_LOD2_4908179,False,,0,0,0,,,,,False,zero Arm1p initial points; P-L-style no-material branch,False,-29.829999923706055,none; candidate inactive because no Arm1-prime initial point lies in footprint,strict unbuffered footprint contains_xy; boundary excluded,-40.205999999999904,,T0-1/evaluation audit only; never loss-address input,none
DEBY_LOD2_60098,False,-24.219999313354492,18,503,521,-26.479999542236328,-24.219999313354492,-22.739999771118164,0.9099998474121094,True,,False,,median(combined Arm1-prime 0-iter sparse points3D + dense-init points inside unbuffered footprint),strict unbuffered footprint contains_xy; boundary excluded,-28.557999999999936,4.338000686645444,T0-1/evaluation audit only; never loss-address input,none
