sequence,stage,building_id,view_stem,status,detail,updated_utc
1,crop,4907199,DJI_20241217095141_0077_D,complete,deterministic_target_mask_fallback,2026-07-15T13:05:09.865925+00:00
2,crop,4907199,DJI_20241217095145_0079_D,complete,existing_pair_crop,2026-07-15T13:05:10.117084+00:00
3,crop,4907199,DJI_20241217095147_0080_D,complete,existing_pair_crop,2026-07-15T13:05:10.376968+00:00
4,crop,4907199,DJI_20241217095149_0081_D,complete,existing_pair_crop,2026-07-15T13:05:10.664352+00:00
5,crop,4907199,DJI_20241217095441_0023_D,complete,existing_pair_crop,2026-07-15T13:05:10.989149+00:00
6,crop,4907199,DJI_20241217095531_0048_D,complete,existing_pair_crop,2026-07-15T13:05:11.253226+00:00
7,building,4907199,,complete,sfm_subset=2384,2026-07-15T13:05:11.449429+00:00
8,crop,8568391,DJI_20241217084901_0194_D,complete,existing_pair_crop,2026-07-15T13:05:11.703594+00:00
9,crop,8568391,DJI_20241217084903_0195_D,complete,existing_pair_crop,2026-07-15T13:05:12.002849+00:00
10,crop,8568391,DJI_20241217095441_0023_D,complete,existing_pair_crop,2026-07-15T13:05:12.310760+00:00
11,building,8568391,,complete,sfm_subset=1197,2026-07-15T13:05:12.463395+00:00
12,crop,8568392,DJI_20241217084901_0194_D,complete,existing_pair_crop,2026-07-15T13:05:12.723209+00:00
13,crop,8568392,DJI_20241217084903_0195_D,complete,existing_pair_crop,2026-07-15T13:05:12.984406+00:00
14,crop,8568392,DJI_20241217095441_0023_D,complete,existing_pair_crop,2026-07-15T13:05:13.261238+00:00
15,building,8568392,,complete,sfm_subset=1437,2026-07-15T13:05:13.487437+00:00
16,config,4907199,,complete,gs_e5_C001_s3ap_b4907199_a0_r1,2026-07-15T13:05:13.537339+00:00
17,config,4907199,,complete,gs_e5_C001_s3ap_b4907199_a0_r2,2026-07-15T13:05:13.590599+00:00
18,config,4907199,,complete,gs_e5_C001_s3ap_b4907199_a1_r1,2026-07-15T13:05:13.643829+00:00
19,config,4907199,,complete,gs_e5_C001_s3ap_b4907199_a1_r2,2026-07-15T13:05:13.697082+00:00
20,config,4907199,,complete,gs_e5_C001_s3ap_b4907199_a2_r1,2026-07-15T13:05:13.750321+00:00
21,config,4907199,,complete,gs_e5_C001_s3ap_b4907199_a2_r2,2026-07-15T13:05:13.803624+00:00
22,config,8568391,,complete,gs_e5_C001_s3ap_b8568391_a0_r1,2026-07-15T13:05:13.884491+00:00
