sequence,job_id,gpu_id,status,attempt,config_path,config_sha256,out_dir,final_checkpoint,partial_checkpoints,started_utc,ended_utc,elapsed_s,timeout_s,returncode,log_path,prepare_manifest_sha256,data_manifest_sha256,surface_seed_sha256,job_binding_sha256,final_checkpoint_sha256,final_checkpoint_it,final_checkpoint_n_prim,message
1,gs_e5_C001_s3ap_b4907199_a0_r1,0,complete,1,phases/p2-gsjso/runs/20260715_e5_c001_s3ap_phase2_prepare/configs/gs_e5_C001_s3ap_b4907199_a0_r1.yaml,411f43273dccb996d076f783934c8f1bd8803b764407082da4d905318187425c,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a0_r1,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a0_r1/ckpt/final.pt,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a0_r1/ckpt/step_010000.pt;results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a0_r1/ckpt/step_020000.pt,2026-07-15T13:21:52.459961+00:00,2026-07-15T13:28:04.711137+00:00,372.263,7200,0,phases/p2-gsjso/runs/20260715_e5_c001_s3ap_phase2_prepare/runner/logs/gs_e5_C001_s3ap_b4907199_a0_r1.log,3f99dd5983872d9ef882ecdb9382837887aec2ae6b8a0165889a9c72999ddf75,355ca14ef2d97ce163f26675c22045e62190480d5ccd8dc63a723070c722e21d,146a5134cb8958a98296ce5252852326f58a796bb1f6d58707d4655b0bec39ce,ae64c2768282ba3b8778f69fecf90eb14fd562ef01cba8c5a284af5c457d3fac,8c4baf17c363e4dd5f4841c77408e780be5826f2cd6e96630a2968fed58812ce,30000,27544,
2,gs_e5_C001_s3ap_b4907199_a0_r2,1,complete,1,phases/p2-gsjso/runs/20260715_e5_c001_s3ap_phase2_prepare/configs/gs_e5_C001_s3ap_b4907199_a0_r2.yaml,c3530ddb2454a38d4eddbfc7038905dc394c093d06974a668c78cb99d0cfa928,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a0_r2,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a0_r2/ckpt/final.pt,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a0_r2/ckpt/step_010000.pt;results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a0_r2/ckpt/step_020000.pt,2026-07-15T13:21:52.431461+00:00,2026-07-15T13:27:57.672824+00:00,365.232,7200,0,phases/p2-gsjso/runs/20260715_e5_c001_s3ap_phase2_prepare/runner/logs/gs_e5_C001_s3ap_b4907199_a0_r2.log,3f99dd5983872d9ef882ecdb9382837887aec2ae6b8a0165889a9c72999ddf75,355ca14ef2d97ce163f26675c22045e62190480d5ccd8dc63a723070c722e21d,146a5134cb8958a98296ce5252852326f58a796bb1f6d58707d4655b0bec39ce,7761a316b4df2c4550786e4bd1599ea414d5b93c68f793204e591e7c75997f0e,5b0c6f9b51a7a085db806ee6665bfb2fad5706629b997d6257dc42d494fbe07e,30000,27184,
3,gs_e5_C001_s3ap_b4907199_a1_r1,1,complete,1,phases/p2-gsjso/runs/20260715_e5_c001_s3ap_phase2_prepare/configs/gs_e5_C001_s3ap_b4907199_a1_r1.yaml,d3aebe98c82e763726cda048458d94fdc58985e825b7778018013444eb216b7c,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a1_r1,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a1_r1/ckpt/final.pt,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a1_r1/ckpt/step_010000.pt;results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a1_r1/ckpt/step_020000.pt,2026-07-15T13:27:57.709546+00:00,2026-07-15T13:45:21.562376+00:00,1043.839,7200,0,phases/p2-gsjso/runs/20260715_e5_c001_s3ap_phase2_prepare/runner/logs/gs_e5_C001_s3ap_b4907199_a1_r1.log,3f99dd5983872d9ef882ecdb9382837887aec2ae6b8a0165889a9c72999ddf75,355ca14ef2d97ce163f26675c22045e62190480d5ccd8dc63a723070c722e21d,709ca995719da80d2d586a99264d39a1164ca0f46e3960df01acc111a21fc90e,5d4e3f0395909c8ce2b276d29f187ccd67516f007303506e053028d15a07bda9,34d97b2f0497984884bfd283d246d4647c116cefda77f6fa3e8aba3db4fd2092,30000,32286,
4,gs_e5_C001_s3ap_b4907199_a1_r2,0,complete,1,phases/p2-gsjso/runs/20260715_e5_c001_s3ap_phase2_prepare/configs/gs_e5_C001_s3ap_b4907199_a1_r2.yaml,fef217863f1c3daee6de6100a8e8cf5039134755f9246053c6f6cd7dcf7f6c11,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a1_r2,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a1_r2/ckpt/final.pt,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a1_r2/ckpt/step_010000.pt;results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a1_r2/ckpt/step_020000.pt,2026-07-15T13:28:04.747630+00:00,2026-07-15T13:45:14.877593+00:00,1030.117,7200,0,phases/p2-gsjso/runs/20260715_e5_c001_s3ap_phase2_prepare/runner/logs/gs_e5_C001_s3ap_b4907199_a1_r2.log,3f99dd5983872d9ef882ecdb9382837887aec2ae6b8a0165889a9c72999ddf75,355ca14ef2d97ce163f26675c22045e62190480d5ccd8dc63a723070c722e21d,709ca995719da80d2d586a99264d39a1164ca0f46e3960df01acc111a21fc90e,e0ff2d296a2cfa249cd1673690a3a5ff8a4b362a94be8ac983d27185942bd9a5,85e0df95ca79a9e063dc23f8312551fda248d4acf743d764f36cd6a85aa4529c,30000,31815,
5,gs_e5_C001_s3ap_b4907199_a2_r1,0,complete,1,phases/p2-gsjso/runs/20260715_e5_c001_s3ap_phase2_prepare/configs/gs_e5_C001_s3ap_b4907199_a2_r1.yaml,dbf6dbcccd8f9e686c6b6371c0502d7dbb6205c82ef72d44d80d82004738db1d,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a2_r1,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a2_r1/ckpt/final.pt,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a2_r1/ckpt/step_010000.pt;results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a2_r1/ckpt/step_020000.pt,2026-07-15T13:45:14.923740+00:00,2026-07-15T14:02:31.632804+00:00,1036.698,7200,0,phases/p2-gsjso/runs/20260715_e5_c001_s3ap_phase2_prepare/runner/logs/gs_e5_C001_s3ap_b4907199_a2_r1.log,3f99dd5983872d9ef882ecdb9382837887aec2ae6b8a0165889a9c72999ddf75,355ca14ef2d97ce163f26675c22045e62190480d5ccd8dc63a723070c722e21d,709ca995719da80d2d586a99264d39a1164ca0f46e3960df01acc111a21fc90e,f280863359c7ef9801f4a9c91540ca07f83c1c2761e67c5c6678dc4b268865b1,bd4ba210a01a1264acc6b0110384de456d2953da8b607ca2f3fd8fb1b7c7c3ed,30000,30109,
6,gs_e5_C001_s3ap_b4907199_a2_r2,1,complete,1,phases/p2-gsjso/runs/20260715_e5_c001_s3ap_phase2_prepare/configs/gs_e5_C001_s3ap_b4907199_a2_r2.yaml,ffb65e94d725114e4beab4de70907223d9f841aa4071a0a456e2e87e44f7f148,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a2_r2,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a2_r2/ckpt/final.pt,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a2_r2/ckpt/step_010000.pt;results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a2_r2/ckpt/step_020000.pt,2026-07-15T13:45:21.605799+00:00,2026-07-15T14:02:45.805681+00:00,1044.188,7200,0,phases/p2-gsjso/runs/20260715_e5_c001_s3ap_phase2_prepare/runner/logs/gs_e5_C001_s3ap_b4907199_a2_r2.log,3f99dd5983872d9ef882ecdb9382837887aec2ae6b8a0165889a9c72999ddf75,355ca14ef2d97ce163f26675c22045e62190480d5ccd8dc63a723070c722e21d,709ca995719da80d2d586a99264d39a1164ca0f46e3960df01acc111a21fc90e,82da035631de91c18c9fbeee121866fb3d1b98b1d33330f5ee341f5202988235,129b666f8b6bd1c288903c2f5d842e0d9ab4a594b7a272050c9c5b8bf116b053,30000,28864,
7,gs_e5_C001_s3ap_b8568391_a0_r1,0,complete,1,phases/p2-gsjso/runs/20260715_e5_c001_s3ap_phase2_prepare/configs/gs_e5_C001_s3ap_b8568391_a0_r1.yaml,7b0334151538d3bb268e226af7f7d6b1133f955eb5d874df6af24b45bea17af9,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b8568391_a0_r1,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b8568391_a0_r1/ckpt/final.pt,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b8568391_a0_r1/ckpt/step_010000.pt;results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b8568391_a0_r1/ckpt/step_020000.pt,2026-07-15T14:02:31.673774+00:00,2026-07-15T14:08:44.547694+00:00,372.860,7200,0,phases/p2-gsjso/runs/20260715_e5_c001_s3ap_phase2_prepare/runner/logs/gs_e5_C001_s3ap_b8568391_a0_r1.log,3f99dd5983872d9ef882ecdb9382837887aec2ae6b8a0165889a9c72999ddf75,a0e1b937592fa12acbb4f701dbb5df43b4169d851b7fa1b42ac948181825c6bf,237fbb2f4a4737cef95874f73bc46b365bc55c574a65c52dfebabd92b1fbf33e,0087c2b2edf40a283c7f978e482b0dd8bbd8f66da010cbff39a8e6e814af4db1,91c0b4c6200b7574b8739d9bb4309600ce92c2fd1e1ad4975e137348e85d9e78,30000,53954,
8,gs_e5_C001_s3ap_b8568391_a0_r2,1,complete,1,phases/p2-gsjso/runs/20260715_e5_c001_s3ap_phase2_prepare/configs/gs_e5_C001_s3ap_b8568391_a0_r2.yaml,6de75b0cff917fdcb47d26df56509168d9e89ff03a02f027fffc60ea2a691bdc,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b8568391_a0_r2,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b8568391_a0_r2/ckpt/final.pt,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b8568391_a0_r2/ckpt/step_010000.pt;results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b8568391_a0_r2/ckpt/step_020000.pt,2026-07-15T14:02:45.847931+00:00,2026-07-15T14:09:02.417458+00:00,376.546,7200,0,phases/p2-gsjso/runs/20260715_e5_c001_s3ap_phase2_prepare/runner/logs/gs_e5_C001_s3ap_b8568391_a0_r2.log,3f99dd5983872d9ef882ecdb9382837887aec2ae6b8a0165889a9c72999ddf75,a0e1b937592fa12acbb4f701dbb5df43b4169d851b7fa1b42ac948181825c6bf,237fbb2f4a4737cef95874f73bc46b365bc55c574a65c52dfebabd92b1fbf33e,790cb4d9f89a7a0c8e5acdeb96cdfdd98c0911122db74f44731812a53e426a85,24e5b2c99e7436e5842d59d32653c453ec3eed7f12b5547c3185d0af2e53cdd5,30000,60822,
9,gs_e5_C001_s3ap_b8568391_a1_r1,0,complete,1,phases/p2-gsjso/runs/20260715_e5_c001_s3ap_phase2_prepare/configs/gs_e5_C001_s3ap_b8568391_a1_r1.yaml,090b372c7311d7f6ff1307356cfcc4d305b1d090bc1add6bfd137cf3ee346a82,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b8568391_a1_r1,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b8568391_a1_r1/ckpt/final.pt,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b8568391_a1_r1/ckpt/step_010000.pt;results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b8568391_a1_r1/ckpt/step_020000.pt,2026-07-15T14:08:44.586942+00:00,2026-07-15T14:25:44.576118+00:00,1019.970,7200,0,phases/p2-gsjso/runs/20260715_e5_c001_s3ap_phase2_prepare/runner/logs/gs_e5_C001_s3ap_b8568391_a1_r1.log,3f99dd5983872d9ef882ecdb9382837887aec2ae6b8a0165889a9c72999ddf75,a0e1b937592fa12acbb4f701dbb5df43b4169d851b7fa1b42ac948181825c6bf,ed5c5f90fb9adc2853c0b8744905e5a2f951bca8ffdf96095e0ca6a49eb7247a,c997223f7f3e16ff1250f6306b0a2bc9a74ceade337a014468306caa9968f200,0dd868faf083b972c01170c271b821c479d67d2576d11b329a070ca121c69a78,30000,41749,
10,gs_e5_C001_s3ap_b8568391_a1_r2,1,complete,1,phases/p2-gsjso/runs/20260715_e5_c001_s3ap_phase2_prepare/configs/gs_e5_C001_s3ap_b8568391_a1_r2.yaml,674991e3e8e1c2db3f6adce773b5cbb7405947046ff5d5ed12f4b21d1f33d2ad,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b8568391_a1_r2,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b8568391_a1_r2/ckpt/final.pt,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b8568391_a1_r2/ckpt/step_010000.pt;results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b8568391_a1_r2/ckpt/step_020000.pt,2026-07-15T14:09:02.466463+00:00,2026-07-15T14:26:00.681311+00:00,1018.199,7200,0,phases/p2-gsjso/runs/20260715_e5_c001_s3ap_phase2_prepare/runner/logs/gs_e5_C001_s3ap_b8568391_a1_r2.log,3f99dd5983872d9ef882ecdb9382837887aec2ae6b8a0165889a9c72999ddf75,a0e1b937592fa12acbb4f701dbb5df43b4169d851b7fa1b42ac948181825c6bf,ed5c5f90fb9adc2853c0b8744905e5a2f951bca8ffdf96095e0ca6a49eb7247a,ab015aa0c1e6d11a237c22a275899f25109e583ed8e77f8f91918b823198e607,829a36aaa4875579db4ccf9d997f1e6c26c1b5187829213af03e88179d1492db,30000,42555,
