building_id,evaluation_scope,priority_group,priority_rank,status,failure_reason,view_a,view_b,crop_a_xyxy,crop_b_xyxy,reciprocal_raw_count,border_match_count,roof_correspondence_count,roof_correspondence_fraction_of_border,model_revision,model_sha256,model_bytes,match_rule,projection_reference_height_used,projection_reference_source,elapsed_seconds,completed_utc,learning_runs_started,new_inference_type
DEBY_LOD2_104583794,calibration_support_only,surface_failure_48,1,complete,,DJI_20241217084901_0194_D.JPG,DJI_20241217090845_0025_D.JPG,4214;3055;4678;3403,4369;119;4801;443,197,161,0,0.000000,06e7259f34c3060f322df5cb0c7b9094f57e41fc,0a615eb05fa9db654050aa655945ee5696e7c6c1b7f93f1ee8c37249010f6feb,2754661648,reciprocal descriptor NN stride8; 3px border; both projected roof masks,true,LoD2 CityGML; measurement/classification projection only,1.361648,2026-07-16T15:21:30.003023+00:00,0,MASt3R correspondence only
DEBY_LOD2_107802038,evaluation_178,surface_failure_48,2,complete,,DJI_20241217095127_0070_D.JPG,DJI_20241217101327_0016_D.JPG,488;33;840;297,4184;1054;4632;1390,327,261,0,0.000000,06e7259f34c3060f322df5cb0c7b9094f57e41fc,0a615eb05fa9db654050aa655945ee5696e7c6c1b7f93f1ee8c37249010f6feb,2754661648,reciprocal descriptor NN stride8; 3px border; both projected roof masks,true,LoD2 CityGML; measurement/classification projection only,0.687613,2026-07-16T15:21:30.702585+00:00,0,MASt3R correspondence only
DEBY_LOD2_107807336,evaluation_178,surface_failure_48,3,complete,,DJI_20241217101530_0002_D.JPG,DJI_20241217102527_0016_D.JPG,4264;439;4648;727,4768;1055;5120;1319,258,199,0,0.000000,06e7259f34c3060f322df5cb0c7b9094f57e41fc,0a615eb05fa9db654050aa655945ee5696e7c6c1b7f93f1ee8c37249010f6feb,2754661648,reciprocal descriptor NN stride8; 3px border; both projected roof masks,true,LoD2 CityGML; measurement/classification projection only,0.665587,2026-07-16T15:21:31.388745+00:00,0,MASt3R correspondence only
DEBY_LOD2_108247350,calibration_support_only,surface_failure_48,4,complete,,DJI_20241217084917_0202_D.JPG,DJI_20241217084729_0148_D.JPG,4199;3268;4711;3652,2372;924;3812;2004,69,65,0,0.000000,06e7259f34c3060f322df5cb0c7b9094f57e41fc,0a615eb05fa9db654050aa655945ee5696e7c6c1b7f93f1ee8c37249010f6feb,2754661648,reciprocal descriptor NN stride8; 3px border; both projected roof masks,true,LoD2 CityGML; measurement/classification projection only,0.604291,2026-07-16T15:21:32.004364+00:00,0,MASt3R correspondence only
DEBY_LOD2_108247351,evaluation_178,surface_failure_48,5,complete,,DJI_20241217084917_0202_D.JPG,DJI_20241217084835_0181_D.JPG,4050;3008;5138;3824,1077;507;4373;2979,28,19,0,0.000000,06e7259f34c3060f322df5cb0c7b9094f57e41fc,0a615eb05fa9db654050aa655945ee5696e7c6c1b7f93f1ee8c37249010f6feb,2754661648,reciprocal descriptor NN stride8; 3px border; both projected roof masks,true,LoD2 CityGML; measurement/classification projection only,0.667177,2026-07-16T15:21:32.688373+00:00,0,MASt3R correspondence only
DEBY_LOD2_42364607,evaluation_178,surface_failure_48,6,complete,,DJI_20241217084855_0191_D.JPG,DJI_20241217090827_0016_D.JPG,1143;807;4471;3303,2092;32;4748;2024,99,73,0,0.000000,06e7259f34c3060f322df5cb0c7b9094f57e41fc,0a615eb05fa9db654050aa655945ee5696e7c6c1b7f93f1ee8c37249010f6feb,2754661648,reciprocal descriptor NN stride8; 3px border; both projected roof masks,true,LoD2 CityGML; measurement/classification projection only,0.723041,2026-07-16T15:21:33.438285+00:00,0,MASt3R correspondence only
DEBY_LOD2_4906999,evaluation_178,surface_failure_48,7,complete,,DJI_20241217090935_0050_D.JPG,DJI_20241217095013_0033_D.JPG,199;143;5159;3863,985;84;1273;300,219,142,0,0.000000,06e7259f34c3060f322df5cb0c7b9094f57e41fc,0a615eb05fa9db654050aa655945ee5696e7c6c1b7f93f1ee8c37249010f6feb,2754661648,reciprocal descriptor NN stride8; 3px border; both projected roof masks,true,LoD2 CityGML; measurement/classification projection only,0.799431,2026-07-16T15:21:34.255514+00:00,0,MASt3R correspondence only
DEBY_LOD2_4907012,evaluation_178,surface_failure_48,8,complete,,DJI_20241217101530_0002_D.JPG,DJI_20241217095149_0081_D.JPG,5024;447;5280;639,1342;1133;1598;1325,710,689,11,0.015965,06e7259f34c3060f322df5cb0c7b9094f57e41fc,0a615eb05fa9db654050aa655945ee5696e7c6c1b7f93f1ee8c37249010f6feb,2754661648,reciprocal descriptor NN stride8; 3px border; both projected roof masks,true,LoD2 CityGML; measurement/classification projection only,0.622815,2026-07-16T15:21:34.895693+00:00,0,MASt3R correspondence only
DEBY_LOD2_4907013,evaluation_178,surface_failure_48,9,complete,,DJI_20241217095139_0076_D.JPG,DJI_20241217101307_0006_D.JPG,1122;0;1378;192,4689;75;4945;267,726,677,21,0.031019,06e7259f34c3060f322df5cb0c7b9094f57e41fc,0a615eb05fa9db654050aa655945ee5696e7c6c1b7f93f1ee8c37249010f6feb,2754661648,reciprocal descriptor NN stride8; 3px border; both projected roof masks,true,LoD2 CityGML; measurement/classification projection only,0.630283,2026-07-16T15:21:35.537528+00:00,0,MASt3R correspondence only
DEBY_LOD2_4907014,evaluation_178,surface_failure_48,10,complete,,DJI_20241217095145_0079_D.JPG,DJI_20241217101307_0006_D.JPG,1433;1156;1689;1348,4759;116;5031;320,278,243,0,0.000000,06e7259f34c3060f322df5cb0c7b9094f57e41fc,0a615eb05fa9db654050aa655945ee5696e7c6c1b7f93f1ee8c37249010f6feb,2754661648,reciprocal descriptor NN stride8; 3px border; both projected roof masks,true,LoD2 CityGML; measurement/classification projection only,0.609282,2026-07-16T15:21:36.164154+00:00,0,MASt3R correspondence only
DEBY_LOD2_4907015,evaluation_178,surface_failure_48,11,complete,,DJI_20241217101311_0008_D.JPG,DJI_20241217094945_0019_D.JPG,4722;1167;5010;1383,336;73;592;265,581,506,0,0.000000,06e7259f34c3060f322df5cb0c7b9094f57e41fc,0a615eb05fa9db654050aa655945ee5696e7c6c1b7f93f1ee8c37249010f6feb,2754661648,reciprocal descriptor NN stride8; 3px border; both projected roof masks,true,LoD2 CityGML; measurement/classification projection only,0.659023,2026-07-16T15:21:36.840025+00:00,0,MASt3R correspondence only
DEBY_LOD2_4907016,evaluation_178,surface_failure_48,12,complete,,DJI_20241217090825_0015_D.JPG,DJI_20241217095009_0031_D.JPG,326;293;5126;3893,810;1067;1146;1319,3,0,0,0.000000,06e7259f34c3060f322df5cb0c7b9094f57e41fc,0a615eb05fa9db654050aa655945ee5696e7c6c1b7f93f1ee8c37249010f6feb,2754661648,reciprocal descriptor NN stride8; 3px border; both projected roof masks,true,LoD2 CityGML; measurement/classification projection only,0.713714,2026-07-16T15:21:37.571081+00:00,0,MASt3R correspondence only
DEBY_LOD2_4907019,evaluation_178,surface_failure_48,13,complete,,DJI_20241217095149_0081_D.JPG,DJI_20241217101311_0008_D.JPG,1727;1147;1983;1339,4447;1125;4815;1401,476,424,0,0.000000,06e7259f34c3060f322df5cb0c7b9094f57e41fc,0a615eb05fa9db654050aa655945ee5696e7c6c1b7f93f1ee8c37249010f6feb,2754661648,reciprocal descriptor NN stride8; 3px border; both projected roof masks,true,LoD2 CityGML; measurement/classification projection only,0.570473,2026-07-16T15:21:38.159547+00:00,0,MASt3R correspondence only
DEBY_LOD2_4907021,evaluation_178,surface_failure_48,14,complete,,DJI_20241217084759_0163_D.JPG,DJI_20241217095145_0079_D.JPG,439;623;4871;3947,1633;1188;1889;1380,43,39,0,0.000000,06e7259f34c3060f322df5cb0c7b9094f57e41fc,0a615eb05fa9db654050aa655945ee5696e7c6c1b7f93f1ee8c37249010f6feb,2754661648,reciprocal descriptor NN stride8; 3px border; both projected roof masks,true,LoD2 CityGML; measurement/classification projection only,0.732460,2026-07-16T15:21:38.909563+00:00,0,MASt3R correspondence only
