processing_order,building_id,cohort,correspondence_capable,image_name,pose_path,pose_sha256,camera_sha256,image_sha256,class6_total,class6_inframe,class2_total,class2_inframe,selection_rule,selection_role,png_path,png_sha256,role
1,DEBY_LOD2_42364609,core,true,DJI_20241217084827_0177_D.JPG,results/tum_transfer/fusion_w1_pose_adoption_v2/derived_sparse/0/images.bin,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5,652bbe3f674512358edcb148527131581475f0a30b93a8b5250718e30e388f99,ec27f0832e3c31fb7157d63081e7c9a30c09a1c7e4da9c0dfd537105c053019f,349,349,1866,1866,maximum_corrected_pose_class6_inframe_count_then_image_name,display_only_not_a_gate,phases/p2-gsjso/runs/20260724_fusion_w1/resume_v2/w1_align_overlays_v2/001__DEBY_LOD2_42364609__DJI_20241217084827_0177_D.png,9dc96ccc88a14f8942f224205cbf411260909f9f5fbb61186b474e02bb129055,qualitative_only_no_gate
2,DEBY_LOD2_42364659,core,true,DJI_20241217091009_0067_D.JPG,results/tum_transfer/fusion_w1_pose_adoption_v2/derived_sparse/0/images.bin,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5,652bbe3f674512358edcb148527131581475f0a30b93a8b5250718e30e388f99,b31738bb8f3d9df9c4da2145e4cc1e10586732afdbebc9e394fb24e563385d09,847,847,1807,1807,maximum_corrected_pose_class6_inframe_count_then_image_name,display_only_not_a_gate,phases/p2-gsjso/runs/20260724_fusion_w1/resume_v2/w1_align_overlays_v2/002__DEBY_LOD2_42364659__DJI_20241217091009_0067_D.png,722465218c9064e51ec2f26ec265614d1c39697d42030f7025255553b943fe32,qualitative_only_no_gate
3,DEBY_LOD2_42364663,core,true,DJI_20241217084725_0146_D.JPG,results/tum_transfer/fusion_w1_pose_adoption_v2/derived_sparse/0/images.bin,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5,652bbe3f674512358edcb148527131581475f0a30b93a8b5250718e30e388f99,1c1311038532e31d4fbf8bfb66e7a314d6164b1eae5829d9d3cbb1a064cac103,850,850,1946,1946,maximum_corrected_pose_class6_inframe_count_then_image_name,display_only_not_a_gate,phases/p2-gsjso/runs/20260724_fusion_w1/resume_v2/w1_align_overlays_v2/003__DEBY_LOD2_42364663__DJI_20241217084725_0146_D.png,ce88588b7a901aa980ee943d05cdd0f7fe302c2707ba3d22cd2a7439a0db021a,qualitative_only_no_gate
4,DEBY_LOD2_4907182,core,true,DJI_20241217094534_0023_D.JPG,results/tum_transfer/fusion_w1_pose_adoption_v2/derived_sparse/0/images.bin,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5,652bbe3f674512358edcb148527131581475f0a30b93a8b5250718e30e388f99,c45eeb0f16bebbea2e5cad12ab21a7674b95e19ae2f9c40dc05b527fda9868f2,1985,1985,2141,2141,maximum_corrected_pose_class6_inframe_count_then_image_name,display_only_not_a_gate,phases/p2-gsjso/runs/20260724_fusion_w1/resume_v2/w1_align_overlays_v2/004__DEBY_LOD2_4907182__DJI_20241217094534_0023_D.png,79e91a0aff03880f8a86f3e289b3d8f56d5e7a01be940e97093b8622a74341b9,qualitative_only_no_gate
5,DEBY_LOD2_4907510,core,true,DJI_20241217084637_0122_D.JPG,results/tum_transfer/fusion_w1_pose_adoption_v2/derived_sparse/0/images.bin,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5,652bbe3f674512358edcb148527131581475f0a30b93a8b5250718e30e388f99,0e72944b3b8d4f2d6831f19daaad2c67200af2cb22e68432d7a90a6ed1432d66,2118,2118,3496,3465,maximum_corrected_pose_class6_inframe_count_then_image_name,display_only_not_a_gate,phases/p2-gsjso/runs/20260724_fusion_w1/resume_v2/w1_align_overlays_v2/005__DEBY_LOD2_4907510__DJI_20241217084637_0122_D.png,69e88ed4b003219e8deb9b3823aa12138c61075a04b455461b76f7b13255d527,qualitative_only_no_gate
6,DEBY_LOD2_4908050,core,true,DJI_20241217084813_0170_D.JPG,results/tum_transfer/fusion_w1_pose_adoption_v2/derived_sparse/0/images.bin,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5,652bbe3f674512358edcb148527131581475f0a30b93a8b5250718e30e388f99,33510d46adde7795a5ae65d5b28f38ea17efda9fd6169d995374e49074d7321c,1404,1404,4770,4367,maximum_corrected_pose_class6_inframe_count_then_image_name,display_only_not_a_gate,phases/p2-gsjso/runs/20260724_fusion_w1/resume_v2/w1_align_overlays_v2/006__DEBY_LOD2_4908050__DJI_20241217084813_0170_D.png,55c661d5cc54ebf8b9dc48b93ef03c1b1a38aa4cda064b30e3c64ab45615d3f2,qualitative_only_no_gate
7,DEBY_LOD2_4908166,core,true,DJI_20241217084825_0176_D.JPG,results/tum_transfer/fusion_w1_pose_adoption_v2/derived_sparse/0/images.bin,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5,652bbe3f674512358edcb148527131581475f0a30b93a8b5250718e30e388f99,5a09641c9cf94068e7cd346cfbd0545aa694fa5a608f56dbdc7b3b60e1de85e3,531,531,2739,2649,maximum_corrected_pose_class6_inframe_count_then_image_name,display_only_not_a_gate,phases/p2-gsjso/runs/20260724_fusion_w1/resume_v2/w1_align_overlays_v2/007__DEBY_LOD2_4908166__DJI_20241217084825_0176_D.png,967d7c7acf9e5c513002c3c7e6ebaef23ed1290a36e702e508da0932a705b2e7,qualitative_only_no_gate
8,DEBY_LOD2_4908176,core,true,DJI_20241217084853_0190_D.JPG,results/tum_transfer/fusion_w1_pose_adoption_v2/derived_sparse/0/images.bin,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5,652bbe3f674512358edcb148527131581475f0a30b93a8b5250718e30e388f99,937d2fc46da664482be7ac7c4cbfb9ffc1b799a6acdaa7f914e68f04510c223b,660,660,2950,2733,maximum_corrected_pose_class6_inframe_count_then_image_name,display_only_not_a_gate,phases/p2-gsjso/runs/20260724_fusion_w1/resume_v2/w1_align_overlays_v2/008__DEBY_LOD2_4908176__DJI_20241217084853_0190_D.png,209411a21200a444e496f75cd14cfcdf96d46c6f5171caaae848ca6df32e2f42,qualitative_only_no_gate
9,DEBY_LOD2_4907184,core,true,DJI_20241217084847_0187_D.JPG,results/tum_transfer/fusion_w1_pose_adoption_v2/derived_sparse/0/images.bin,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5,652bbe3f674512358edcb148527131581475f0a30b93a8b5250718e30e388f99,72eb36ceabd191954a4ab299627640b14daf3e7612f37bc697832fb42a5fe413,7198,7198,8163,8163,maximum_corrected_pose_class6_inframe_count_then_image_name,display_only_not_a_gate,phases/p2-gsjso/runs/20260724_fusion_w1/resume_v2/w1_align_overlays_v2/009__DEBY_LOD2_4907184__DJI_20241217084847_0187_D.png,ada8782603db37ba01f029d0592d5710b0dbc536a5aa38d1f3838a9895961e6e,qualitative_only_no_gate
10,DEBY_LOD2_4907185,core,true,DJI_20241217094534_0023_D.JPG,results/tum_transfer/fusion_w1_pose_adoption_v2/derived_sparse/0/images.bin,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5,652bbe3f674512358edcb148527131581475f0a30b93a8b5250718e30e388f99,c45eeb0f16bebbea2e5cad12ab21a7674b95e19ae2f9c40dc05b527fda9868f2,3357,3357,2968,2968,maximum_corrected_pose_class6_inframe_count_then_image_name,display_only_not_a_gate,phases/p2-gsjso/runs/20260724_fusion_w1/resume_v2/w1_align_overlays_v2/010__DEBY_LOD2_4907185__DJI_20241217094534_0023_D.png,da2b0850122809373ebcbd0fb27d61381156c9f21334edf4d9dfe6b611bb2376,qualitative_only_no_gate
