building_id,tier,cohort,processing_order,source_cell_label,roof_fixed_crop_n,roof_moving_crop_n,roof_fixed_voxel_n,roof_moving_voxel_n,roof_fixed_valid_n,roof_moving_valid_n,roof_usable,ground_fixed_crop_n,ground_moving_crop_n,ground_fixed_voxel_n,ground_moving_voxel_n,ground_fixed_valid_n,ground_moving_valid_n,ground_usable,usable_surface_count,inventory_status,boundary_cell_label,before_surface_count,before_forward_matches_n,before_forward_total_n,before_reverse_matches_n,before_reverse_total_n,before_pooled_matched_observations_n,before_correspondence_n,before_matched_median_m,before_matched_p90_m,before_censored_median_m,before_censored_p90_m,before_forward_support,before_reverse_support,before_bidirectional_support,before_censor_radius_m,before_roof_matched_median_m,before_roof_matched_p90_m,before_roof_censored_median_m,before_roof_censored_p90_m,before_ground_matched_median_m,before_ground_matched_p90_m,before_ground_censored_median_m,before_ground_censored_p90_m,before_residual_strata_observed_n,before_all_four_residual_strata_observed,before_available_strata_equal_weight_median_m,before_matched_tail_n,before_censored_unmatched_n,after_surface_count,after_forward_matches_n,after_forward_total_n,after_reverse_matches_n,after_reverse_total_n,after_pooled_matched_observations_n,after_correspondence_n,after_matched_median_m,after_matched_p90_m,after_censored_median_m,after_censored_p90_m,after_forward_support,after_reverse_support,after_bidirectional_support,after_censor_radius_m,after_roof_matched_median_m,after_roof_matched_p90_m,after_roof_censored_median_m,after_roof_censored_p90_m,after_ground_matched_median_m,after_ground_matched_p90_m,after_ground_censored_median_m,after_ground_censored_p90_m,after_residual_strata_observed_n,after_all_four_residual_strata_observed,after_available_strata_equal_weight_median_m,after_matched_tail_n,after_censored_unmatched_n,delta_after_minus_before_matched_median_m,delta_after_minus_before_matched_p90_m,delta_after_minus_before_censored_median_m,delta_after_minus_before_censored_p90_m,delta_after_minus_before_correspondence_n,delta_after_minus_before_bidirectional_support,n_distribution_q10_nearest_rank,n_threshold,correspondence_capable,after_matched_median_le_0p3,after_state_disposition,gate_statistic_only,gate_statistic_scope,capability_scope,p90_support_gate_role,low_support,support_classification,tier_group
DEBY_LOD2_42364609,height,core,1,cell_2_anchored,184,302,73,74,70,74,true,1671,3944,724,661,717,635,true,2,roof_and_ground,cell_2_anchored,2,183,709,162,787,345,162,0.154525428295,0.269417623078,0.35,0.35,0.258110014104,0.20584498094,0.20584498094,0.35,0.185279429683,0.245141404918,0.189850223313,0.35,0.140609525019,0.284034361191,0.35,0.35,4,true,0.165294065319,35,1151,2,235,709,199,787,434,199,0.0995113266999,0.256033986117,0.35,0.35,0.331452750353,0.252858958069,0.252858958069,0.35,0.0939416763314,0.169944776325,0.0973395384592,0.236941415077,0.112536832746,0.274802977012,0.35,0.35,4,true,0.0991223196808,44,1062,-0.055014101595,-0.0133836369606,0,0,37,0.0470139771283,0,40,true,true,diagnostic_global_candidate_not_adopted,matched_median_m_le_0.3,conditional_matched_reference_only,baseline_correspondence_conditioned,auxiliary_only,false,capable_not_low_support,height_or_outline
DEBY_LOD2_42364659,height,core,2,cell_2_anchored,626,3721,320,635,314,595,true,1423,42031,716,2239,716,1834,true,2,roof_and_ground,cell_2_anchored,2,1074,2429,823,1030,1897,823,0.0857020743601,0.228538384022,0.237297537575,0.35,0.442157266365,0.799029126214,0.442157266365,0.35,0.0890746842239,0.218774786546,0.122733498341,0.35,0.0832263109289,0.231364452212,0.35,0.35,4,true,0.0853317540587,190,1562,2,1138,2429,851,1030,1989,851,0.0783095738913,0.214891316853,0.197930052106,0.35,0.468505557843,0.826213592233,0.468505557843,0.35,0.0720597872023,0.19857067838,0.101269653609,0.35,0.0805278809181,0.223915783507,0.35,0.35,4,true,0.0757783868767,199,1470,-0.00739250046878,-0.0136470671693,-0.039367485469,0,28,0.026348291478,0,40,true,true,diagnostic_global_candidate_not_adopted,matched_median_m_le_0.3,conditional_matched_reference_only,baseline_correspondence_conditioned,auxiliary_only,false,capable_not_low_support,height_or_outline
DEBY_LOD2_42364663,surface,core,3,cell_1_assembled,224,8492,137,1961,115,1946,true,1276,144041,729,2500,727,2124,true,2,roof_and_ground,cell_1_assembled,2,457,4070,315,842,772,315,0.0712491750821,0.191786420685,0.35,0.35,0.112285012285,0.374109263658,0.112285012285,0.35,0.118580024053,0.215362934044,0.35,0.35,0.06547102257,0.18674666066,0.35,0.35,4,true,0.0723702120223,78,4140,2,484,4070,331,842,815,331,0.0726374347498,0.216557340157,0.35,0.35,0.118918918919,0.393111638955,0.118918918919,0.35,0.103042941704,0.26956056074,0.35,0.35,0.0703395026344,0.192177224585,0.35,0.35,4,true,0.0701616040843,82,4097,0.00138825966767,0.0247709194724,0,0,16,0.00663390663391,0,40,true,true,diagnostic_global_candidate_not_adopted,matched_median_m_le_0.3,conditional_matched_reference_only,baseline_correspondence_conditioned,auxiliary_only,true,capable_low_support,surface
DEBY_LOD2_4907182,outline,core,4,cell_3_outline_only,1488,3262,710,582,700,582,true,1789,2385,801,57,801,57,true,2,roof_and_ground,cell_3_outline_only,2,514,639,457,1501,971,457,0.108428353166,0.182375096479,0.35,0.35,0.804381846635,0.304463690873,0.304463690873,0.35,0.113055620727,0.185211527596,0.144911246235,0.35,0.0356063978255,0.0934596865037,0.35,0.35,4,true,0.0775721341785,97,1169,2,530,639,471,1501,1001,471,0.0586577921315,0.165222855111,0.35,0.35,0.829420970266,0.313790806129,0.313790806129,0.35,0.0567407998149,0.165601388841,0.0837026940583,0.35,0.0853332115244,0.153167609122,0.35,0.35,4,true,0.0697159724564,100,1139,-0.0497705610347,-0.0171522413682,0,0,14,0.0093271152565,0,40,true,true,diagnostic_global_candidate_not_adopted,matched_median_m_le_0.3,conditional_matched_reference_only,baseline_correspondence_conditioned,auxiliary_only,false,capable_not_low_support,height_or_outline
DEBY_LOD2_4907510,height,core,5,cell_2_anchored,1644,2809,762,674,750,647,true,2100,26153,820,2038,820,1855,true,2,roof_and_ground,cell_2_anchored,2,837,2502,622,1570,1459,622,0.119944671461,0.247958806115,0.35,0.35,0.334532374101,0.396178343949,0.334532374101,0.35,0.169321219422,0.279990824986,0.35,0.35,0.117865557818,0.244402137541,0.35,0.35,4,true,0.146275026745,146,2613,2,705,2502,547,1570,1252,547,0.174446936735,0.280347016534,0.35,0.35,0.281774580336,0.348407643312,0.281774580336,0.35,0.131312198295,0.298250653144,0.35,0.35,0.177959959751,0.27990831319,0.35,0.35,4,true,0.160737443316,126,2820,0.0545022652734,0.0323882104189,0,0,-75,-0.052757793765,0,40,true,true,diagnostic_global_candidate_not_adopted,matched_median_m_le_0.3,conditional_matched_reference_only,baseline_correspondence_conditioned,auxiliary_only,false,capable_not_low_support,height_or_outline
DEBY_LOD2_4908050,outline,core,6,cell_3_outline_only,1101,3369,667,657,667,657,true,3326,3263,2185,770,2185,769,true,2,roof_and_ground,cell_3_outline_only,2,1038,1426,991,2852,2029,991,0.0911315649219,0.197842146715,0.35,0.35,0.727910238429,0.34747545582,0.34747545582,0.35,0.0801086366578,0.144661879557,0.0892598513684,0.35,0.112015378457,0.221568821485,0.35,0.35,4,true,0.0964235868627,203,2249,2,1116,1426,1036,2852,2152,1036,0.0433166001226,0.159674385915,0.306647654305,0.35,0.782608695652,0.363253856942,0.363253856942,0.35,0.0318801081824,0.103459663534,0.0360129992257,0.35,0.0697521542145,0.193298988795,0.35,0.35,4,true,0.0497917569609,216,2126,-0.0478149647992,-0.0381677607991,-0.0433523456953,0,45,0.015778401122,0,40,true,true,diagnostic_global_candidate_not_adopted,matched_median_m_le_0.3,conditional_matched_reference_only,baseline_correspondence_conditioned,auxiliary_only,false,capable_not_low_support,height_or_outline
DEBY_LOD2_4908166,height,core,7,cell_2_anchored,355,652,138,143,138,142,true,2493,3890,1046,817,1044,812,true,2,roof_and_ground,cell_2_anchored,2,408,954,371,1182,779,371,0.120496838952,0.229231955809,0.35,0.35,0.427672955975,0.313874788494,0.313874788494,0.35,0.113759103713,0.201484814625,0.123134241233,0.35,0.124848868443,0.24084671049,0.35,0.35,4,true,0.120326477373,78,1357,2,476,954,419,1182,895,419,0.0615434407029,0.217854704567,0.35,0.35,0.498951781971,0.35448392555,0.35448392555,0.35,0.0534006764406,0.131836426048,0.064022342856,0.35,0.0656903619853,0.242050882859,0.35,0.35,4,true,0.0588300688242,90,1241,-0.0589533982489,-0.0113772512412,0,0,48,0.0406091370558,0,40,true,true,diagnostic_global_candidate_not_adopted,matched_median_m_le_0.3,conditional_matched_reference_only,baseline_correspondence_conditioned,auxiliary_only,false,capable_not_low_support,height_or_outline
DEBY_LOD2_4908176,height,core,8,cell_2_anchored,450,793,173,156,173,156,true,2693,2153,1177,423,1177,423,true,2,roof_and_ground,cell_2_anchored,2,356,579,356,1350,712,356,0.100897816825,0.203768460512,0.35,0.35,0.614853195164,0.263703703704,0.263703703704,0.35,0.0946185374238,0.143554030367,0.0988663329531,0.215602934886,0.111112181414,0.232561881697,0.35,0.35,4,true,0.103083409564,72,1217,2,373,579,371,1350,744,371,0.038421524662,0.162792742981,0.35,0.35,0.644214162349,0.274814814815,0.274814814815,0.35,0.0264591651327,0.0692855863756,0.0295278519935,0.222554725026,0.0593707223577,0.202003536492,0.35,0.35,4,true,0.0389524923947,75,1185,-0.0624762921632,-0.0409757175309,0,0,15,0.0111111111111,0,40,true,true,diagnostic_global_candidate_not_adopted,matched_median_m_le_0.3,conditional_matched_reference_only,baseline_correspondence_conditioned,auxiliary_only,false,capable_not_low_support,height_or_outline
DEBY_LOD2_4907184,surface,core,9,cell_1_assembled,5959,66548,2500,2500,2414,2013,true,4511,58131,1987,2500,1987,2283,true,2,roof_and_ground,cell_1_assembled,2,2446,4296,2784,4401,5230,2446,0.0872167692993,0.207381681746,0.172705374562,0.35,0.569366852886,0.632583503749,0.569366852886,0.35,0.0763412514467,0.188675097342,0.107137171528,0.35,0.112471877588,0.22474578886,0.35,0.35,4,true,0.0967630863346,523,3467,2,2647,4296,3016,4401,5663,2647,0.0640362278623,0.190581551161,0.117691472125,0.35,0.616154562384,0.685298795728,0.616154562384,0.35,0.0647547397494,0.178242212272,0.0905665265897,0.35,0.0622998285929,0.212907099557,0.234137576029,0.35,4,true,0.0632362863647,567,3034,-0.0231805414369,-0.0168001305848,-0.055013902437,0,201,0.0467877094972,0,40,true,true,diagnostic_global_candidate_not_adopted,matched_median_m_le_0.3,conditional_matched_reference_only,baseline_correspondence_conditioned,auxiliary_only,false,capable_not_low_support,surface
DEBY_LOD2_4907185,surface,core,10,cell_1_assembled,2662,1147,1358,420,1323,407,true,1983,29783,1128,1795,1127,1699,true,2,roof_and_ground,cell_1_assembled,2,713,2106,625,2450,1338,625,0.118454851333,0.239254371717,0.35,0.35,0.338556505223,0.255102040816,0.255102040816,0.35,0.117546034023,0.238985700695,0.35,0.35,0.119247876581,0.239241938212,0.35,0.35,4,true,0.119270091392,134,3218,2,844,2106,712,2450,1556,712,0.0700266511832,0.239702717139,0.35,0.35,0.400759734093,0.290612244898,0.290612244898,0.35,0.0959141383119,0.258882354237,0.35,0.35,0.0665834673124,0.230729543981,0.35,0.35,4,true,0.0813191953765,156,3000,-0.0484282001499,0.000448345422652,0,0,87,0.0355102040816,0,40,true,true,diagnostic_global_candidate_not_adopted,matched_median_m_le_0.3,conditional_matched_reference_only,baseline_correspondence_conditioned,auxiliary_only,false,capable_not_low_support,surface
