selection_rank,building_id,tier,role,calibration_exposed,later_extension_judgment_eligible,centroid_x_m,centroid_y_m,core_footprint_distance_m,als_density_pts_m2,dim_density_pts_m2,support_geomean_pts_m2,maximin_distance_m,stable_tie_sha256,selection_reason
1,DEBY_LOD2_42364665,surface,fit,true,false,690891.827746121,5336059.473244866,34.355572137,30.424242000,833.696960000,159.262670032,,03feee47aa8e47daecd4cd3918506973982fbfc21ae40b9b3ebd5aa4368dfca6,extension_surface_both_assembled;positive_density;no_core_overlap;core_distance_ge_20m;support_seed_then_centroid_maximin
2,DEBY_LOD2_42364657,surface,trigger,true,false,691131.162553691,5336349.097399662,56.593821227,16.689976000,54.701176000,30.215249703,375.717049328,c1fae494a6ba2505945d77eb17ae492c7fd52f035f9329f9a8ce5f58ecbe38e1,extension_surface_both_assembled;positive_density;no_core_overlap;core_distance_ge_20m;support_seed_then_centroid_maximin
3,DEBY_LOD2_4959320,surface,fit,true,false,691150.755619553,5335975.462855347,179.711248952,18.434700000,100.514679000,43.045998106,272.215703418,783d98311f4e1ad7db25c15a901957b0d4622a744a35024d47eac4db61525b4f,extension_surface_both_assembled;positive_density;no_core_overlap;core_distance_ge_20m;support_seed_then_centroid_maximin
4,DEBY_LOD2_4907017,surface,check,true,false,690917.770612495,5336327.546885588,33.398758248,18.566957000,15.333333000,16.872857923,214.477376953,1a29dd3f526a08991e3a8408609f57e6864c84bc69922f573d9141cb27baeca6,extension_surface_both_assembled;positive_density;no_core_overlap;core_distance_ge_20m;support_seed_then_centroid_maximin
5,DEBY_LOD2_4907519,surface,fit,true,false,690935.379155655,5335866.099570357,51.462033354,18.151335000,100.921539000,42.800241391,198.217313234,f9c3f662a1bb89e9d77451f88a4199e371a4c9c76b73f2a5baec3a06fb672438,extension_surface_both_assembled;positive_density;no_core_overlap;core_distance_ge_20m;support_seed_then_centroid_maximin
6,DEBY_LOD2_4959322,surface,trigger,true,false,691055.323785942,5336128.804360966,111.754547581,21.183098000,808.390564000,130.859529800,177.588734713,1dbc53bee177777d81d068bf664b29b55b2ad706bb3978b6e152a617b3172d66,extension_surface_both_assembled;positive_density;no_core_overlap;core_distance_ge_20m;support_seed_then_centroid_maximin
7,DEBY_LOD2_4907505,surface,fit,true,false,690818.108224352,5335936.415542078,25.409082254,18.839907000,102.405800000,43.923976918,136.736268808,96e5571252044a80d24e805d086573ece5630e1dcbfd0efb94eddd27a9e0f10a,extension_surface_both_assembled;positive_density;no_core_overlap;core_distance_ge_20m;support_seed_then_centroid_maximin
8,DEBY_LOD2_4906980,surface,check,true,false,691003.144226111,5335975.078609532,105.331393706,16.896969000,224.295456000,61.562272269,128.329792930,7f30f0836c54b57805c7db37c0f44c0af91156d08cb6c41c9327fadb993a9114,extension_surface_both_assembled;positive_density;no_core_overlap;core_distance_ge_20m;support_seed_then_centroid_maximin
9,DEBY_LOD2_4959461,surface,fit,true,false,691036.050681992,5336263.537687234,36.761686972,11.240254000,162.683350000,42.762158219,127.932531160,c22b92a0380ba1a7c8302ae02ac617b011540a52bd837a0d64d3ad086057360a,extension_surface_both_assembled;positive_density;no_core_overlap;core_distance_ge_20m;support_seed_then_centroid_maximin
10,DEBY_LOD2_4907165,surface,trigger,true,false,690799.805923721,5336146.713540702,22.610135891,19.005714000,77.752808000,38.441483212,126.802543410,25de4d1454f3236ca27816b943b13abce5419fb61ae6a9719bccd023499ffd3e,extension_surface_both_assembled;positive_density;no_core_overlap;core_distance_ge_20m;support_seed_then_centroid_maximin
