run_label,arm,seed,metric_treatment,rms_m,rms_measurable_n
01/1001,① 표면,1001,공개값 · Z shift 0m,46.523225975,22
01/1001,① 표면,1001,독립감사 · Z shift -45.7m,1.1808858555846529,22
01/1002,① 표면,1002,공개값 · Z shift 0m,46.142043069,19
01/1002,① 표면,1002,독립감사 · Z shift -45.7m,1.1521524591791086,19
02/1001,② +사진 통제,1001,공개값 · Z shift 0m,46.16791169,20
02/1001,② +사진 통제,1001,독립감사 · Z shift -45.7m,0.9025034081807283,20
02/1002,② +사진 통제,1002,공개값 · Z shift 0m,46.216379677,18
02/1002,② +사진 통제,1002,독립감사 · Z shift -45.7m,0.9072511930373521,18
03/1001,③ +평면 약,1001,공개값 · Z shift 0m,46.453891436,21
03/1001,③ +평면 약,1001,독립감사 · Z shift -45.7m,1.6132311590194806,21
03/1002,③ +평면 약,1002,공개값 · Z shift 0m,46.357164815,20
03/1002,③ +평면 약,1002,독립감사 · Z shift -45.7m,1.1064328999238713,20
04a/1001,④a +평면 강·vision,1001,공개값 · Z shift 0m,48.778362097,14
04a/1001,④a +평면 강·vision,1001,독립감사 · Z shift -45.7m,7.300038826522236,14
04a/1002,④a +평면 강·vision,1002,공개값 · Z shift 0m,44.815522613,18
04a/1002,④a +평면 강·vision,1002,독립감사 · Z shift -45.7m,4.108350333162838,18
04b/1001,④b +평면 강·GT 상한,1001,공개값 · Z shift 0m,45.040129272,21
04b/1001,④b +평면 강·GT 상한,1001,독립감사 · Z shift -45.7m,3.8348069055462095,21
04b/1002,④b +평면 강·GT 상한,1002,공개값 · Z shift 0m,46.842713238,15
04b/1002,④b +평면 강·GT 상한,1002,독립감사 · Z shift -45.7m,5.984301152909939,15
