aprime_order,building_id,target_role,selection_order,image_name,width,height,mask_pixels_n,mask_pixel_fraction,photo_equals_M_j,outer_edge_masked_pixels_n,pose_sha256
1,DEBY_LOD2_42364609,dim_failure,1,DJI_20241217084827_0177_D.JPG,1400,1013,643,0.000453391623,true,1315,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5
1,DEBY_LOD2_42364609,dim_failure,2,DJI_20241217095127_0070_D.JPG,1400,1013,2,0.000001410238,true,42,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5
1,DEBY_LOD2_42364609,dim_failure,3,DJI_20241217102933_0012_D.JPG,1400,1013,193,0.000136087999,true,536,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5
1,DEBY_LOD2_42364609,dim_failure,4,DJI_20241217084829_0178_D.JPG,1400,1013,571,0.000402623043,true,1371,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5
1,DEBY_LOD2_42364609,dim_failure,5,DJI_20241217084825_0176_D.JPG,1400,1013,552,0.000389225779,true,1375,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5
1,DEBY_LOD2_42364609,dim_failure,7,DJI_20241217102935_0013_D.JPG,1400,1013,159,0.000112113947,true,508,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5
1,DEBY_LOD2_42364609,dim_failure,8,DJI_20241217102939_0015_D.JPG,1400,1013,156,0.000109998590,true,417,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5
1,DEBY_LOD2_42364609,dim_failure,10,DJI_20241217084837_0182_D.JPG,1400,1013,520,0.000366661966,true,1120,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5
1,DEBY_LOD2_42364609,dim_failure,11,DJI_20241217084833_0180_D.JPG,1400,1013,540,0.000380764349,true,1387,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5
1,DEBY_LOD2_42364609,dim_failure,13,DJI_20241217102529_0017_D.JPG,1400,1013,8,0.000005640953,true,63,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5
1,DEBY_LOD2_42364609,dim_failure,14,DJI_20241217102937_0014_D.JPG,1400,1013,134,0.000094485968,true,477,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5
1,DEBY_LOD2_42364609,dim_failure,17,DJI_20241217084835_0181_D.JPG,1400,1013,574,0.000404738401,true,1371,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5
1,DEBY_LOD2_42364609,dim_failure,20,DJI_20241217084831_0179_D.JPG,1400,1013,623,0.000439289240,true,1314,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5
1,DEBY_LOD2_42364609,dim_failure,21,DJI_20241217095123_0068_D.JPG,1400,1013,1,0.000000705119,true,30,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5
1,DEBY_LOD2_42364609,dim_failure,23,DJI_20241217101453_0037_D.JPG,1400,1013,6,0.000004230715,true,58,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5
1,DEBY_LOD2_42364609,dim_failure,28,DJI_20241217095103_0058_D.JPG,1400,1013,1,0.000000705119,true,47,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5
2,DEBY_LOD2_42364659,dim_failure,1,DJI_20241217091205_0125_D.JPG,1400,1013,2405,0.001695811592,true,5330,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5
2,DEBY_LOD2_42364659,dim_failure,2,DJI_20241217091203_0124_D.JPG,1400,1013,2417,0.001704273022,true,5512,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5
2,DEBY_LOD2_42364659,dim_failure,3,DJI_20241217091011_0068_D.JPG,1400,1013,2517,0.001774784939,true,5486,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5
2,DEBY_LOD2_42364659,dim_failure,4,DJI_20241217091021_0073_D.JPG,1400,1013,2504,0.001765618390,true,5461,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5
2,DEBY_LOD2_42364659,dim_failure,5,DJI_20241217091153_0119_D.JPG,1400,1013,2324,0.001638696940,true,5203,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5
2,DEBY_LOD2_42364659,dim_failure,6,DJI_20241217091229_0137_D.JPG,1400,1013,2381,0.001678888732,true,5063,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5
2,DEBY_LOD2_42364659,dim_failure,7,DJI_20241217091221_0133_D.JPG,1400,1013,2402,0.001693696235,true,5109,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5
