building_id,priority_rank,pair_rank,view_a,view_b,crop_source,camera_branch,frame_source,camera_model,camera_source,pose_source,scene_reference_source,world_frame,triangulation_rule,crop_a_xyxy,crop_b_xyxy,acquisition_block_a,acquisition_block_b,pair_relation,known_colmap_baseline_m,eligible_summary_pair,status,failure_reason,reciprocal_match_count,border_match_count,dlt_finite_count,positive_depth_count,reprojection_2px_count,footprint_inside_count,inside_z_median_m,inside_z_mad_m,inside_z_median_local_m,inside_z_mad_local_m,elapsed_seconds,cache_path,cache_sha256,new_mast3r_inference_runs,cache_reuse_runs,learning_runs_started,new_inference_type,pair_fingerprint,input_fingerprint
DEBY_LOD2_4907199,1,1,DJI_20241217095441_0023_D,DJI_20241217095531_0048_D,s3ap_locked_or_frozen_region,c001_pinhole_binary,results/tum_transfer/e5_pilot/C001/data_geoidfix_C001_buf20/images,PINHOLE,results/tum_transfer/e5_pilot/C001/data_geoidfix_C001_buf20/sparse/0/cameras.bin,results/tum_transfer/e5_pilot/C001/data_geoidfix_C001_buf20/sparse/0/images.bin,,canonical_local_xyz,crop pixels mapped to source pixels without half-pixel shift; float64 linear DLT with fixed PINHOLE COLMAP K[R|t]; finite homogeneous solution; positive depth in both cameras; max per-view source-pixel reprojection error <=2.0px,0;773;320;1013,1107;821;1363;1013,202412170954,202412170955,cross_acquisition_minute_block,54.491666,true,complete,,651,538,538,538,538,373,-34.347425,0.022915,-34.347425,0.022915,0.742638,phases/p2-gsjso/runs/20260719_boundary_map_v3/fm_dense_raw/4907199_rank01_raw_cheirality.npz,687ab640f1e27a80a9df6a526a0ac5506f9eb4cb7b6c07f6e344954272bb02a9,0,1,0,R1prime-3_FM_dense_dial_2px,262d737427893e934b34ed85c913f5da4847e5f0328698cda33065d64a3c0c1c,3af60747ffde1a12a1edd7f17bcca152bbb7b557b06b04233f2f70b8014c0fe0
DEBY_LOD2_4907199,1,2,DJI_20241217095145_0079_D,DJI_20241217095441_0023_D,s3ap_locked_or_frozen_region,c001_pinhole_binary,results/tum_transfer/e5_pilot/C001/data_geoidfix_C001_buf20/images,PINHOLE,results/tum_transfer/e5_pilot/C001/data_geoidfix_C001_buf20/sparse/0/cameras.bin,results/tum_transfer/e5_pilot/C001/data_geoidfix_C001_buf20/sparse/0/images.bin,,canonical_local_xyz,crop pixels mapped to source pixels without half-pixel shift; float64 linear DLT with fixed PINHOLE COLMAP K[R|t]; finite homogeneous solution; positive depth in both cameras; max per-view source-pixel reprojection error <=2.0px,0;435;256;627,0;773;320;1013,202412170951,202412170954,cross_acquisition_minute_block,87.474074,true,complete,,69,39,39,39,0,0,,,,,0.319145,phases/p2-gsjso/runs/20260719_boundary_map_v3/fm_dense_raw/4907199_rank02_raw_cheirality.npz,ce135eda22d95fb6181644e249de17365fc1257dbac000be64981676f6e10ff5,0,1,0,R1prime-3_FM_dense_dial_2px,979f3c7c4753bef96735d623060fcbb0cc9c8b7a1b39598a2b85b9fd866ac980,3af60747ffde1a12a1edd7f17bcca152bbb7b557b06b04233f2f70b8014c0fe0
DEBY_LOD2_4907199,1,3,DJI_20241217095145_0079_D,DJI_20241217095531_0048_D,s3ap_locked_or_frozen_region,c001_pinhole_binary,results/tum_transfer/e5_pilot/C001/data_geoidfix_C001_buf20/images,PINHOLE,results/tum_transfer/e5_pilot/C001/data_geoidfix_C001_buf20/sparse/0/cameras.bin,results/tum_transfer/e5_pilot/C001/data_geoidfix_C001_buf20/sparse/0/images.bin,,canonical_local_xyz,crop pixels mapped to source pixels without half-pixel shift; float64 linear DLT with fixed PINHOLE COLMAP K[R|t]; finite homogeneous solution; positive depth in both cameras; max per-view source-pixel reprojection error <=2.0px,0;435;256;627,1107;821;1363;1013,202412170951,202412170955,cross_acquisition_minute_block,135.118101,true,complete,,146,95,95,95,0,0,,,,,0.325990,phases/p2-gsjso/runs/20260719_boundary_map_v3/fm_dense_raw/4907199_rank03_raw_cheirality.npz,5a2d8567bba269ba6255d5e8b490c7ed8273575fa2085dd34b84b56c5a5d387c,0,1,0,R1prime-3_FM_dense_dial_2px,a55055596cfe1df29c599071fe8ac9fb68dcb795fa08747b33b3f9c4f6ae6634,3af60747ffde1a12a1edd7f17bcca152bbb7b557b06b04233f2f70b8014c0fe0
DEBY_LOD2_4907199,1,4,DJI_20241217095149_0081_D,DJI_20241217095441_0023_D,s3ap_locked_or_frozen_region,c001_pinhole_binary,results/tum_transfer/e5_pilot/C001/data_geoidfix_C001_buf20/images,PINHOLE,results/tum_transfer/e5_pilot/C001/data_geoidfix_C001_buf20/sparse/0/cameras.bin,results/tum_transfer/e5_pilot/C001/data_geoidfix_C001_buf20/sparse/0/images.bin,,canonical_local_xyz,crop pixels mapped to source pixels without half-pixel shift; float64 linear DLT with fixed PINHOLE COLMAP K[R|t]; finite homogeneous solution; positive depth in both cameras; max per-view source-pixel reprojection error <=2.0px,0;434;256;626,0;773;320;1013,202412170951,202412170954,cross_acquisition_minute_block,87.451028,true,complete,,73,46,46,46,0,0,,,,,0.317597,phases/p2-gsjso/runs/20260719_boundary_map_v3/fm_dense_raw/4907199_rank04_raw_cheirality.npz,fba83bfd19d7971277fee84889700e0dacfe54c7de049252cbdebfd444ec50ba,0,1,0,R1prime-3_FM_dense_dial_2px,3b8cf41c8dc540a14b05393facb6f81affe00c165b2aa41b60bd4a4fc932b30d,3af60747ffde1a12a1edd7f17bcca152bbb7b557b06b04233f2f70b8014c0fe0
DEBY_LOD2_4907199,1,5,DJI_20241217095149_0081_D,DJI_20241217095531_0048_D,s3ap_locked_or_frozen_region,c001_pinhole_binary,results/tum_transfer/e5_pilot/C001/data_geoidfix_C001_buf20/images,PINHOLE,results/tum_transfer/e5_pilot/C001/data_geoidfix_C001_buf20/sparse/0/cameras.bin,results/tum_transfer/e5_pilot/C001/data_geoidfix_C001_buf20/sparse/0/images.bin,,canonical_local_xyz,crop pixels mapped to source pixels without half-pixel shift; float64 linear DLT with fixed PINHOLE COLMAP K[R|t]; finite homogeneous solution; positive depth in both cameras; max per-view source-pixel reprojection error <=2.0px,0;434;256;626,1107;821;1363;1013,202412170951,202412170955,cross_acquisition_minute_block,135.108209,true,complete,,140,114,114,114,0,0,,,,,0.311961,phases/p2-gsjso/runs/20260719_boundary_map_v3/fm_dense_raw/4907199_rank05_raw_cheirality.npz,11c7304576e4c324947a8382bab0ff08e942e566810bfd76d1652cf1d4054605,0,1,0,R1prime-3_FM_dense_dial_2px,b915162835352d8114958be8f9fcc763421343920bd799d50f827ace1736523a,3af60747ffde1a12a1edd7f17bcca152bbb7b557b06b04233f2f70b8014c0fe0
DEBY_LOD2_4907199,1,6,DJI_20241217095145_0079_D,DJI_20241217095149_0081_D,s3ap_locked_or_frozen_region,c001_pinhole_binary,results/tum_transfer/e5_pilot/C001/data_geoidfix_C001_buf20/images,PINHOLE,results/tum_transfer/e5_pilot/C001/data_geoidfix_C001_buf20/sparse/0/cameras.bin,results/tum_transfer/e5_pilot/C001/data_geoidfix_C001_buf20/sparse/0/images.bin,,canonical_local_xyz,crop pixels mapped to source pixels without half-pixel shift; float64 linear DLT with fixed PINHOLE COLMAP K[R|t]; finite homogeneous solution; positive depth in both cameras; max per-view source-pixel reprojection error <=2.0px,0;435;256;627,0;434;256;626,202412170951,202412170951,same_acquisition_minute_block,0.057419,false,excluded_pair,same_acquisition_minute_block,3072,3023,3023,3023,3023,17,-23.488052,0.828575,-23.488052,0.828575,0.325211,phases/p2-gsjso/runs/20260719_boundary_map_v3/fm_dense_raw/4907199_rank06_raw_cheirality.npz,8663e661293b1f02aa258b63caef8dc8e081b20d8af17215151d8344fda0ccf3,0,1,0,R1prime-3_FM_dense_dial_2px,192c533a543f7c48e1cb47751b1f67b3711451c657330e3521f898231c6b53a4,3af60747ffde1a12a1edd7f17bcca152bbb7b557b06b04233f2f70b8014c0fe0
DEBY_LOD2_4907199,1,7,DJI_20241217095147_0080_D,DJI_20241217095441_0023_D,s3ap_locked_or_frozen_region,c001_pinhole_binary,results/tum_transfer/e5_pilot/C001/data_geoidfix_C001_buf20/images,PINHOLE,results/tum_transfer/e5_pilot/C001/data_geoidfix_C001_buf20/sparse/0/cameras.bin,results/tum_transfer/e5_pilot/C001/data_geoidfix_C001_buf20/sparse/0/images.bin,,canonical_local_xyz,crop pixels mapped to source pixels without half-pixel shift; float64 linear DLT with fixed PINHOLE COLMAP K[R|t]; finite homogeneous solution; positive depth in both cameras; max per-view source-pixel reprojection error <=2.0px,0;434;256;626,0;773;320;1013,202412170951,202412170954,cross_acquisition_minute_block,87.494419,true,complete,,66,26,26,26,0,0,,,,,0.303659,phases/p2-gsjso/runs/20260719_boundary_map_v3/fm_dense_raw/4907199_rank07_raw_cheirality.npz,68d5cbd1f9edc0c37de942c19397f3eb00fb0f02a3ef4e1beceb38e31f129f56,0,1,0,R1prime-3_FM_dense_dial_2px,733be75436dba356d9060d7a66734e4899e75103fc05e9e48ce9978a25b02548,3af60747ffde1a12a1edd7f17bcca152bbb7b557b06b04233f2f70b8014c0fe0
DEBY_LOD2_4907199,1,8,DJI_20241217095147_0080_D,DJI_20241217095531_0048_D,s3ap_locked_or_frozen_region,c001_pinhole_binary,results/tum_transfer/e5_pilot/C001/data_geoidfix_C001_buf20/images,PINHOLE,results/tum_transfer/e5_pilot/C001/data_geoidfix_C001_buf20/sparse/0/cameras.bin,results/tum_transfer/e5_pilot/C001/data_geoidfix_C001_buf20/sparse/0/images.bin,,canonical_local_xyz,crop pixels mapped to source pixels without half-pixel shift; float64 linear DLT with fixed PINHOLE COLMAP K[R|t]; finite homogeneous solution; positive depth in both cameras; max per-view source-pixel reprojection error <=2.0px,0;434;256;626,1107;821;1363;1013,202412170951,202412170955,cross_acquisition_minute_block,135.143828,true,complete,,162,124,124,124,0,0,,,,,0.311313,phases/p2-gsjso/runs/20260719_boundary_map_v3/fm_dense_raw/4907199_rank08_raw_cheirality.npz,52a23694671bf482d4916c0a075b761bbfe0c127a03f5a81b58210508010c907,0,1,0,R1prime-3_FM_dense_dial_2px,5521b3dfee5c5b8218394e248bdfe25150cd9a26d62f5446823a2f039385164b,3af60747ffde1a12a1edd7f17bcca152bbb7b557b06b04233f2f70b8014c0fe0
DEBY_LOD2_4907199,1,9,DJI_20241217095145_0079_D,DJI_20241217095147_0080_D,s3ap_locked_or_frozen_region,c001_pinhole_binary,results/tum_transfer/e5_pilot/C001/data_geoidfix_C001_buf20/images,PINHOLE,results/tum_transfer/e5_pilot/C001/data_geoidfix_C001_buf20/sparse/0/cameras.bin,results/tum_transfer/e5_pilot/C001/data_geoidfix_C001_buf20/sparse/0/images.bin,,canonical_local_xyz,crop pixels mapped to source pixels without half-pixel shift; float64 linear DLT with fixed PINHOLE COLMAP K[R|t]; finite homogeneous solution; positive depth in both cameras; max per-view source-pixel reprojection error <=2.0px,0;435;256;627,0;434;256;626,202412170951,202412170951,same_acquisition_minute_block,0.032560,false,excluded_pair,same_acquisition_minute_block,3072,3024,3024,3001,3001,125,-25.123063,1.699930,-25.123063,1.699930,0.324046,phases/p2-gsjso/runs/20260719_boundary_map_v3/fm_dense_raw/4907199_rank09_raw_cheirality.npz,bae3c97be73538b1a1bc7cb7316dc9b811754b6fa307f73c89396140e9427822,0,1,0,R1prime-3_FM_dense_dial_2px,8fc1fb130611c7ef60e7b64782d4735b544c5ba29a4d9b51098b1a96930ac9fb,3af60747ffde1a12a1edd7f17bcca152bbb7b557b06b04233f2f70b8014c0fe0
DEBY_LOD2_4907199,1,10,DJI_20241217095147_0080_D,DJI_20241217095149_0081_D,s3ap_locked_or_frozen_region,c001_pinhole_binary,results/tum_transfer/e5_pilot/C001/data_geoidfix_C001_buf20/images,PINHOLE,results/tum_transfer/e5_pilot/C001/data_geoidfix_C001_buf20/sparse/0/cameras.bin,results/tum_transfer/e5_pilot/C001/data_geoidfix_C001_buf20/sparse/0/images.bin,,canonical_local_xyz,crop pixels mapped to source pixels without half-pixel shift; float64 linear DLT with fixed PINHOLE COLMAP K[R|t]; finite homogeneous solution; positive depth in both cameras; max per-view source-pixel reprojection error <=2.0px,0;434;256;626,0;434;256;626,202412170951,202412170951,same_acquisition_minute_block,0.051219,false,excluded_pair,same_acquisition_minute_block,3072,3015,3015,2986,2986,0,,,,,0.321798,phases/p2-gsjso/runs/20260719_boundary_map_v3/fm_dense_raw/4907199_rank10_raw_cheirality.npz,c09725e52702cabb5ff5c74ff7c51fc16ae32ada3a6d3434707a351e456b6c80,0,1,0,R1prime-3_FM_dense_dial_2px,8505a9c4f846614297b5acac55d9519cc94d9ef415b7f47a6bcbf528558ad2ed,3af60747ffde1a12a1edd7f17bcca152bbb7b557b06b04233f2f70b8014c0fe0
