building_id,source_run,model_shape_class,model_roof_planes,point_normal_structure,point_z_span_m,acmp_point_structure,raw_dense_point_structure,flattening_location_proxy,render_depth_note
DEBY_LOD2_60098,gs_sparse_r1,flat_or_single_plane,1,multi_slope,2.7000,multi_slope,multi_slope,readout_roofer_proxy,rendered_depth_not_saved; classified_pointcloud_plus_acmp_proxy
DEBY_LOD2_60098,gs_sparse_r2,flat_or_single_plane,1,multi_slope,1.5500,multi_slope,multi_slope,readout_roofer_proxy,rendered_depth_not_saved; classified_pointcloud_plus_acmp_proxy
DEBY_LOD2_60098,gs_dense_r1,no_model,0,multi_slope,1.9850,multi_slope,multi_slope,not_built_no_flattening_localization,rendered_depth_not_saved; classified_pointcloud_plus_acmp_proxy
DEBY_LOD2_60098,gs_dense_r2,flat_or_single_plane,1,multi_slope,1.3800,multi_slope,multi_slope,readout_roofer_proxy,rendered_depth_not_saved; classified_pointcloud_plus_acmp_proxy
DEBY_LOD2_60098,gs_acmp_r1,flat_or_single_plane,1,multi_slope,18.7650,multi_slope,multi_slope,readout_roofer_proxy,rendered_depth_not_saved; classified_pointcloud_plus_acmp_proxy
DEBY_LOD2_60098,gs_acmp_r2,flat_or_single_plane,1,multi_slope,4.6450,multi_slope,multi_slope,readout_roofer_proxy,rendered_depth_not_saved; classified_pointcloud_plus_acmp_proxy
DEBY_LOD2_4908178,gs_sparse_r1,flat_or_single_plane,1,single_slope,57.6000,multi_slope,weak_structure,readout_roofer_proxy,rendered_depth_not_saved; classified_pointcloud_plus_acmp_proxy
DEBY_LOD2_4908178,gs_sparse_r2,flat_or_single_plane,1,weak_structure,0.1500,multi_slope,weak_structure,gs_depth_or_gs_readout_proxy,rendered_depth_not_saved; classified_pointcloud_plus_acmp_proxy
DEBY_LOD2_4908178,gs_dense_r1,flat_or_single_plane,1,weak_structure,60.8500,multi_slope,weak_structure,gs_depth_or_gs_readout_proxy,rendered_depth_not_saved; classified_pointcloud_plus_acmp_proxy
DEBY_LOD2_4908178,gs_dense_r2,flat_or_single_plane,1,flat_single,0.2000,multi_slope,weak_structure,gs_depth_or_gs_readout_proxy,rendered_depth_not_saved; classified_pointcloud_plus_acmp_proxy
DEBY_LOD2_4908178,gs_acmp_r1,no_model,0,single_slope,35.6000,multi_slope,weak_structure,not_built_no_flattening_localization,rendered_depth_not_saved; classified_pointcloud_plus_acmp_proxy
DEBY_LOD2_4908178,gs_acmp_r2,multi_plane,2,multi_slope,47.9000,multi_slope,weak_structure,structure_survived_proxy,rendered_depth_not_saved; classified_pointcloud_plus_acmp_proxy
DEBY_LOD2_4908168,gs_sparse_r1,no_model,0,too_few_points,,single_slope,single_slope,not_built_no_flattening_localization,rendered_depth_not_saved; classified_pointcloud_plus_acmp_proxy
DEBY_LOD2_4908168,gs_sparse_r2,no_model,0,too_few_points,,single_slope,single_slope,not_built_no_flattening_localization,rendered_depth_not_saved; classified_pointcloud_plus_acmp_proxy
DEBY_LOD2_4908168,gs_dense_r1,no_model,0,too_few_points,,single_slope,single_slope,not_built_no_flattening_localization,rendered_depth_not_saved; classified_pointcloud_plus_acmp_proxy
DEBY_LOD2_4908168,gs_dense_r2,flat_or_single_plane,1,flat_single,0.0500,single_slope,single_slope,gs_depth_or_gs_readout_proxy,rendered_depth_not_saved; classified_pointcloud_plus_acmp_proxy
DEBY_LOD2_4908168,gs_acmp_r1,flat_or_single_plane,1,weak_structure,0.3000,single_slope,single_slope,gs_depth_or_gs_readout_proxy,rendered_depth_not_saved; classified_pointcloud_plus_acmp_proxy
DEBY_LOD2_4908168,gs_acmp_r2,no_model,0,too_few_points,,single_slope,single_slope,not_built_no_flattening_localization,rendered_depth_not_saved; classified_pointcloud_plus_acmp_proxy
