arm,replicate,building_id,raw_source,gs_source,raw_has_lod22,gs_has_lod22,gs_shell_bucket,gs_status_reason,gs_density_pts_m2,gs_coverage_frac,gs_ref_dist_rms_m,root_cause_proxy,seed_flag
sparse,r1,DEBY_LOD2_108247349,raw_sparse,gs_sparse_r1,false,false,미조립,pointcloud_unusable_no_planes,0.5539,0.0124,0.6309,no_planes,
sparse,r1,DEBY_LOD2_108247350,raw_sparse,gs_sparse_r1,false,false,미조립,pointcloud_unusable_no_points,0.0000,0.0000,,no_points,seed_flip
sparse,r1,DEBY_LOD2_108247351,raw_sparse,gs_sparse_r1,false,false,미조립,pointcloud_unusable_no_points,0.0000,0.0000,,no_points,seed_flip
sparse,r1,DEBY_LOD2_4907184,raw_sparse,gs_sparse_r1,true,true,무효·붕괴,val3dity_invalid,1132.3299,1.0000,2.4139,collapse_invalid_or_rms_tail,
sparse,r1,DEBY_LOD2_4907185,raw_sparse,gs_sparse_r1,false,true,조립,success,24.3506,0.2919,5.1974,not_failure,
sparse,r1,DEBY_LOD2_4907186,raw_sparse,gs_sparse_r1,false,true,조립,success,3.0805,0.0446,3.2579,not_failure,
sparse,r1,DEBY_LOD2_4907188,raw_sparse,gs_sparse_r1,false,false,미조립,pointcloud_unusable_no_planes,2.2546,0.0331,4.8590,no_planes,
sparse,r1,DEBY_LOD2_4907194,raw_sparse,gs_sparse_r1,false,false,미조립,pointcloud_unusable_no_points,0.0752,0.0047,7.0579,no_points,seed_flip
sparse,r1,DEBY_LOD2_4907195,raw_sparse,gs_sparse_r1,false,true,조립,success,6.1348,0.0817,0.7456,not_failure,
sparse,r1,DEBY_LOD2_4907198,raw_sparse,gs_sparse_r1,false,true,조립,success,9.1690,0.1252,2.6754,not_failure,
sparse,r1,DEBY_LOD2_4907199,raw_sparse,gs_sparse_r1,false,false,미조립,pointcloud_unusable_no_planes,10.5037,0.1552,5.4346,no_planes,
sparse,r1,DEBY_LOD2_4907202,raw_sparse,gs_sparse_r1,true,true,무효·붕괴,val3dity_invalid,10.0150,0.1622,18.1962,collapse_invalid_or_rms_tail,
sparse,r1,DEBY_LOD2_4908168,raw_sparse,gs_sparse_r1,false,false,미조립,pointcloud_unusable_no_points,0.0000,0.0000,,no_points,
sparse,r1,DEBY_LOD2_4908178,raw_sparse,gs_sparse_r1,false,true,무효·붕괴,val3dity_invalid,1.6841,0.0507,34.3275,collapse_invalid_or_rms_tail,
sparse,r1,DEBY_LOD2_4908179,raw_sparse,gs_sparse_r1,false,false,미조립,pointcloud_unusable_no_planes,0.5412,0.0084,40.4455,no_planes,
sparse,r1,DEBY_LOD2_60098,raw_sparse,gs_sparse_r1,false,true,조립,success,1.6129,0.0281,2.6622,not_failure,
sparse,r1,DEBY_LOD2_8568391,raw_sparse,gs_sparse_r1,false,true,무효·붕괴,val3dity_invalid,1.9627,0.0769,15.8962,collapse_invalid_or_rms_tail,seed_flip
sparse,r1,DEBY_LOD2_8568392,raw_sparse,gs_sparse_r1,false,false,미조립,pointcloud_unusable_no_points,0.0000,0.0000,,no_points,
sparse,r2,DEBY_LOD2_108247349,raw_sparse,gs_sparse_r2,false,false,미조립,pointcloud_unusable_no_points,0.0000,0.0000,,no_points,
sparse,r2,DEBY_LOD2_108247350,raw_sparse,gs_sparse_r2,false,true,조립,success,4.3668,0.1042,15.4201,not_failure,seed_flip
sparse,r2,DEBY_LOD2_108247351,raw_sparse,gs_sparse_r2,false,true,조립,success,3.0485,0.0731,12.7016,not_failure,seed_flip
sparse,r2,DEBY_LOD2_4907184,raw_sparse,gs_sparse_r2,true,true,무효·붕괴,val3dity_invalid,1136.7074,1.0000,2.4516,collapse_invalid_or_rms_tail,
sparse,r2,DEBY_LOD2_4907185,raw_sparse,gs_sparse_r2,false,true,조립,success,27.1211,0.2655,4.5984,not_failure,
sparse,r2,DEBY_LOD2_4907186,raw_sparse,gs_sparse_r2,false,true,조립,success,2.3655,0.0297,3.2860,not_failure,
sparse,r2,DEBY_LOD2_4907188,raw_sparse,gs_sparse_r2,false,false,미조립,pointcloud_unusable_no_points,0.1748,0.0075,1.6043,no_points,
sparse,r2,DEBY_LOD2_4907194,raw_sparse,gs_sparse_r2,false,true,무효·붕괴,val3dity_invalid,0.5312,0.0141,1.2228,collapse_invalid_or_rms_tail,seed_flip
sparse,r2,DEBY_LOD2_4907195,raw_sparse,gs_sparse_r2,false,true,조립,success,6.5059,0.1183,0.5629,not_failure,
sparse,r2,DEBY_LOD2_4907198,raw_sparse,gs_sparse_r2,false,true,조립,success,8.9133,0.1203,2.1871,not_failure,
sparse,r2,DEBY_LOD2_4907199,raw_sparse,gs_sparse_r2,false,false,미조립,pointcloud_unusable_no_planes,7.3007,0.1043,5.2574,no_planes,
sparse,r2,DEBY_LOD2_4907202,raw_sparse,gs_sparse_r2,true,true,조립,success,43.4629,0.4072,1.1332,not_failure,
sparse,r2,DEBY_LOD2_4908168,raw_sparse,gs_sparse_r2,false,false,미조립,pointcloud_unusable_no_points,0.0000,0.0000,,no_points,
sparse,r2,DEBY_LOD2_4908178,raw_sparse,gs_sparse_r2,false,true,조립,success,20.8090,0.2665,4.8542,not_failure,
sparse,r2,DEBY_LOD2_4908179,raw_sparse,gs_sparse_r2,false,false,미조립,pointcloud_unusable_no_points,0.0000,0.0000,,no_points,
sparse,r2,DEBY_LOD2_60098,raw_sparse,gs_sparse_r2,false,true,조립,success,2.0365,0.0421,1.3258,not_failure,
sparse,r2,DEBY_LOD2_8568391,raw_sparse,gs_sparse_r2,false,false,미조립,pointcloud_unusable_no_points,0.0000,0.0000,,no_points,seed_flip
sparse,r2,DEBY_LOD2_8568392,raw_sparse,gs_sparse_r2,false,false,미조립,pointcloud_unusable_no_points,0.0000,0.0000,,no_points,
dense,r1,DEBY_LOD2_108247349,raw_dense,gs_dense_r1,false,false,미조립,pointcloud_unusable_no_points,0.0593,0.0025,2.4409,no_points,
dense,r1,DEBY_LOD2_108247350,raw_dense,gs_dense_r1,false,false,미조립,pointcloud_unusable_no_points,0.0000,0.0000,,no_points,seed_flip
dense,r1,DEBY_LOD2_108247351,raw_dense,gs_dense_r1,false,true,조립,success,1.2102,0.0308,13.4898,not_failure,seed_flip
dense,r1,DEBY_LOD2_4907184,raw_dense,gs_dense_r1,true,true,무효·붕괴,val3dity_invalid,1212.7410,0.9993,3.5658,collapse_invalid_or_rms_tail,
dense,r1,DEBY_LOD2_4907185,raw_dense,gs_dense_r1,true,true,조립,success,21.3503,0.2609,3.2756,not_failure,
dense,r1,DEBY_LOD2_4907186,raw_dense,gs_dense_r1,true,true,조립,success,2.7110,0.0282,3.2043,not_failure,
dense,r1,DEBY_LOD2_4907188,raw_dense,gs_dense_r1,true,true,무효·붕괴,val3dity_invalid,1.7723,0.0422,2.2426,collapse_invalid_or_rms_tail,
dense,r1,DEBY_LOD2_4907194,raw_dense,gs_dense_r1,false,false,미조립,pointcloud_unusable_no_planes,0.1551,0.0047,0.9409,no_planes,
dense,r1,DEBY_LOD2_4907195,raw_dense,gs_dense_r1,true,true,조립,success,5.6399,0.0817,0.8855,not_failure,
dense,r1,DEBY_LOD2_4907198,raw_dense,gs_dense_r1,true,true,조립,success,9.4664,0.1488,2.4460,not_failure,
dense,r1,DEBY_LOD2_4907199,raw_dense,gs_dense_r1,false,false,미조립,pointcloud_unusable_no_planes,12.6898,0.1450,5.2977,no_planes,
dense,r1,DEBY_LOD2_4907202,raw_dense,gs_dense_r1,true,false,미조립,pointcloud_unusable_no_planes,4.0696,0.0749,11.5057,no_planes,seed_flip
dense,r1,DEBY_LOD2_4908168,raw_dense,gs_dense_r1,true,false,미조립,pointcloud_unusable_no_points,0.0000,0.0000,,no_points,seed_flip
dense,r1,DEBY_LOD2_4908178,raw_dense,gs_dense_r1,true,true,무효·붕괴,val3dity_invalid,2.0015,0.0551,33.9813,collapse_invalid_or_rms_tail,
dense,r1,DEBY_LOD2_4908179,raw_dense,gs_dense_r1,false,false,미조립,pointcloud_unusable_no_points,0.0000,0.0000,,no_points,
dense,r1,DEBY_LOD2_60098,raw_dense,gs_dense_r1,true,false,미조립,pointcloud_unusable_no_planes,1.7558,0.0408,2.0722,no_planes,seed_flip
dense,r1,DEBY_LOD2_8568391,raw_dense,gs_dense_r1,false,false,미조립,pointcloud_unusable_no_points,0.3421,0.0136,10.8430,no_points,seed_flip
dense,r1,DEBY_LOD2_8568392,raw_dense,gs_dense_r1,false,false,미조립,pointcloud_unusable_no_points,0.0000,0.0000,,no_points,seed_flip
dense,r2,DEBY_LOD2_108247349,raw_dense,gs_dense_r2,false,false,미조립,pointcloud_unusable_no_points,0.0000,0.0000,,no_points,
dense,r2,DEBY_LOD2_108247350,raw_dense,gs_dense_r2,false,true,무효·붕괴,success,2.2246,0.0625,16.0629,collapse_invalid_or_rms_tail,seed_flip
dense,r2,DEBY_LOD2_108247351,raw_dense,gs_dense_r2,false,false,미조립,pointcloud_unusable_no_planes,1.3328,0.0269,10.4894,no_planes,seed_flip
dense,r2,DEBY_LOD2_4907184,raw_dense,gs_dense_r2,true,true,조립,success,1211.2286,0.9993,2.7624,not_failure,
dense,r2,DEBY_LOD2_4907185,raw_dense,gs_dense_r2,true,true,조립,success,29.3077,0.2857,3.4435,not_failure,
dense,r2,DEBY_LOD2_4907186,raw_dense,gs_dense_r2,true,true,조립,success,2.0318,0.0401,3.3193,not_failure,
dense,r2,DEBY_LOD2_4907188,raw_dense,gs_dense_r2,true,true,무효·붕괴,val3dity_invalid,1.3021,0.0286,2.5328,collapse_invalid_or_rms_tail,
dense,r2,DEBY_LOD2_4907194,raw_dense,gs_dense_r2,false,false,미조립,pointcloud_unusable_no_points,0.1457,0.0035,1.8603,no_points,
dense,r2,DEBY_LOD2_4907195,raw_dense,gs_dense_r2,true,true,조립,success,5.2070,0.0930,0.6046,not_failure,
dense,r2,DEBY_LOD2_4907198,raw_dense,gs_dense_r2,true,true,조립,success,13.7771,0.1398,2.8276,not_failure,
dense,r2,DEBY_LOD2_4907199,raw_dense,gs_dense_r2,false,false,미조립,pointcloud_unusable_no_planes,1.1693,0.0127,7.6286,no_planes,
dense,r2,DEBY_LOD2_4907202,raw_dense,gs_dense_r2,true,true,조립,success,21.6504,0.2200,3.4963,not_failure,seed_flip
dense,r2,DEBY_LOD2_4908168,raw_dense,gs_dense_r2,true,true,조립,success,25.8746,0.1930,0.1656,not_failure,seed_flip
dense,r2,DEBY_LOD2_4908178,raw_dense,gs_dense_r2,true,true,무효·붕괴,val3dity_invalid,46.0709,0.5220,0.4078,collapse_invalid_or_rms_tail,
dense,r2,DEBY_LOD2_4908179,raw_dense,gs_dense_r2,false,false,미조립,pointcloud_unusable_no_points,0.0000,0.0000,,no_points,
dense,r2,DEBY_LOD2_60098,raw_dense,gs_dense_r2,true,true,조립,success,1.4546,0.0357,1.3699,not_failure,seed_flip
dense,r2,DEBY_LOD2_8568391,raw_dense,gs_dense_r2,false,true,조립,success,3.6733,0.0724,1.1328,not_failure,seed_flip
dense,r2,DEBY_LOD2_8568392,raw_dense,gs_dense_r2,false,true,조립,success,16.2138,0.3333,1.3036,not_failure,seed_flip
