building_id,roof_lowtex_v5,texture_class,texture_sufficient_proxy,n_views_nadir,recon_score_median,manual_label,raw_dense_success,acmp_success,gs_success_count_clean,gs_any_lod22_count,mechanism_bucket
DEBY_LOD2_108247349,,not_reviewed,unknown,0.000000,71.823000,none,false,false,0,0,both_fail_or_invalid
DEBY_LOD2_108247350,0.4900,texture_sufficient_proxy,true,0.000000,67.515000,복합(소형+가림),false,true,1,2,both_have_success
DEBY_LOD2_108247351,0.5490,texture_poor,false,0.000000,74.873000,복합(저조도+가림),false,true,2,2,both_have_success
DEBY_LOD2_4907184,,not_reviewed,unknown,1.420000,127.033000,none,true,true,2,6,both_have_success
DEBY_LOD2_4907185,,not_reviewed,unknown,0.650000,129.596000,none,true,true,6,6,both_have_success
DEBY_LOD2_4907186,,not_reviewed,unknown,0.000000,68.276000,none,true,true,6,6,both_have_success
DEBY_LOD2_4907188,,not_reviewed,unknown,0.000000,64.062000,none,true,true,0,4,method_or_acmp_proxy_texture_unknown
DEBY_LOD2_4907194,,not_reviewed,unknown,0.000000,51.146000,none,false,true,0,2,method_or_acmp_proxy_texture_unknown
DEBY_LOD2_4907195,,not_reviewed,unknown,0.000000,42.140000,none,true,true,6,6,both_have_success
DEBY_LOD2_4907198,,not_reviewed,unknown,0.090000,86.069000,none,true,true,6,6,both_have_success
DEBY_LOD2_4907199,0.6560,texture_poor,false,0.000000,84.618000,무텍스처,false,false,0,1,common_texture_limit_proxy
DEBY_LOD2_4907202,,not_reviewed,unknown,1.940000,84.473000,none,true,true,3,5,both_have_success
DEBY_LOD2_4908168,,not_reviewed,unknown,2.900000,160.781000,none,true,true,2,2,both_have_success
DEBY_LOD2_4908178,,not_reviewed,unknown,0.320000,63.723000,none,true,false,1,5,gs_only_success
DEBY_LOD2_4908179,,not_reviewed,unknown,0.000000,75.129000,none,false,false,0,0,both_fail_or_invalid
DEBY_LOD2_60098,,not_reviewed,unknown,0.000000,78.074000,none,true,false,5,5,gs_only_success
DEBY_LOD2_8568391,0.5360,texture_poor,false,1.020000,86.872000,무텍스처,false,false,1,2,gs_only_success
DEBY_LOD2_8568392,0.5490,texture_poor,false,2.250000,94.587000,복합(소형+재질),false,false,1,1,gs_only_success
