setting,run_name,arm,replicate,tsdf_npz,tsdf_sha256,coverage_csv,metrics_json,log,min_obs,voxel,alpha,sor,sor_std,surf_backproj,fused_all,minobs_kept,sor_kept,readout
base,gs_e5_C001_sparse_r1,sparse,r1,results/tum_transfer/e5_pilot/C001/readout_ablation/base/gs_e5_C001_sparse_r1/tsdf_gssem.npz,6922996f54e6d54468da472676098a9218756a1efb2cf20330f767e9650a58a4,results/tum_transfer/e5_pilot/C001/readout_ablation/base/gs_e5_C001_sparse_r1/stage_coverage.csv,results/tum_transfer/e5_pilot/C001/readout_ablation/base/gs_e5_C001_sparse_r1/readout_metrics.json,results/tum_transfer/e5_pilot/C001/readout_ablation/base/gs_e5_C001_sparse_r1/readout.log,3,0.05,0.5,on,2.0,13701141,6477303,625542,615634,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2)
base,gs_e5_C001_sparse_r2,sparse,r2,results/tum_transfer/e5_pilot/C001/readout_ablation/base/gs_e5_C001_sparse_r2/tsdf_gssem.npz,0439a7c31ddd1ac1987709f957775766c1fd8cb2d0bb63cd3b7014d418dd2b0e,results/tum_transfer/e5_pilot/C001/readout_ablation/base/gs_e5_C001_sparse_r2/stage_coverage.csv,results/tum_transfer/e5_pilot/C001/readout_ablation/base/gs_e5_C001_sparse_r2/readout_metrics.json,results/tum_transfer/e5_pilot/C001/readout_ablation/base/gs_e5_C001_sparse_r2/readout.log,3,0.05,0.5,on,2.0,13593719,6018788,663496,656999,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2)
base,gs_e5_C001_dense_r1,dense,r1,results/tum_transfer/e5_pilot/C001/readout_ablation/base/gs_e5_C001_dense_r1/tsdf_gssem.npz,6526166fbef9e4c5d31bfec1adc1ac71d3c5c58c01a6716cd13d89860989d873,results/tum_transfer/e5_pilot/C001/readout_ablation/base/gs_e5_C001_dense_r1/stage_coverage.csv,results/tum_transfer/e5_pilot/C001/readout_ablation/base/gs_e5_C001_dense_r1/readout_metrics.json,results/tum_transfer/e5_pilot/C001/readout_ablation/base/gs_e5_C001_dense_r1/readout.log,3,0.05,0.5,on,2.0,13375511,6047158,677684,669034,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2)
base,gs_e5_C001_dense_r2,dense,r2,results/tum_transfer/e5_pilot/C001/readout_ablation/base/gs_e5_C001_dense_r2/tsdf_gssem.npz,4b5a062bf2f2b84f6b6cf4afb2201a3ff58077b7ac7e751d338a8cf38ad9176f,results/tum_transfer/e5_pilot/C001/readout_ablation/base/gs_e5_C001_dense_r2/stage_coverage.csv,results/tum_transfer/e5_pilot/C001/readout_ablation/base/gs_e5_C001_dense_r2/readout_metrics.json,results/tum_transfer/e5_pilot/C001/readout_ablation/base/gs_e5_C001_dense_r2/readout.log,3,0.05,0.5,on,2.0,13462203,5889978,690239,680880,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2)
base,gs_e5_C001_acmp_r1,acmp,r1,results/tum_transfer/e5_pilot/C001/readout_ablation/base/gs_e5_C001_acmp_r1/tsdf_gssem.npz,3eb5ea275b951fd9cfba37630acef086a613a3efdb56a03f0550cceda06edfd2,results/tum_transfer/e5_pilot/C001/readout_ablation/base/gs_e5_C001_acmp_r1/stage_coverage.csv,results/tum_transfer/e5_pilot/C001/readout_ablation/base/gs_e5_C001_acmp_r1/readout_metrics.json,results/tum_transfer/e5_pilot/C001/readout_ablation/base/gs_e5_C001_acmp_r1/readout.log,3,0.05,0.5,on,2.0,13035686,5589637,679042,668385,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2)
base,gs_e5_C001_acmp_r2,acmp,r2,results/tum_transfer/e5_pilot/C001/readout_ablation/base/gs_e5_C001_acmp_r2/tsdf_gssem.npz,41ff6f1d64e0149e6a18e165e50614325c8f57b3128f1f7a7e056b24a9a52606,results/tum_transfer/e5_pilot/C001/readout_ablation/base/gs_e5_C001_acmp_r2/stage_coverage.csv,results/tum_transfer/e5_pilot/C001/readout_ablation/base/gs_e5_C001_acmp_r2/readout_metrics.json,results/tum_transfer/e5_pilot/C001/readout_ablation/base/gs_e5_C001_acmp_r2/readout.log,3,0.05,0.5,on,2.0,13785683,6153995,689239,677276,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2)
minobs2,gs_e5_C001_sparse_r1,sparse,r1,results/tum_transfer/e5_pilot/C001/readout_ablation/minobs2/gs_e5_C001_sparse_r1/tsdf_gssem.npz,66f315a1c3a4c9ad3d6804a94c13679541d8fefafc43305a25440ab0a08f8163,results/tum_transfer/e5_pilot/C001/readout_ablation/minobs2/gs_e5_C001_sparse_r1/stage_coverage.csv,results/tum_transfer/e5_pilot/C001/readout_ablation/minobs2/gs_e5_C001_sparse_r1/readout_metrics.json,results/tum_transfer/e5_pilot/C001/readout_ablation/minobs2/gs_e5_C001_sparse_r1/readout.log,2,0.05,0.5,on,2.0,13701141,6477303,1321856,1288902,readout_ablation(minobs2; minobs2; voxel0.05; alpha0.5; SORstd2)
minobs2,gs_e5_C001_sparse_r2,sparse,r2,results/tum_transfer/e5_pilot/C001/readout_ablation/minobs2/gs_e5_C001_sparse_r2/tsdf_gssem.npz,bc060f4d968f4ba08b2dffa8ccb7295a0225f6b106b69bd20400035533f4158b,results/tum_transfer/e5_pilot/C001/readout_ablation/minobs2/gs_e5_C001_sparse_r2/stage_coverage.csv,results/tum_transfer/e5_pilot/C001/readout_ablation/minobs2/gs_e5_C001_sparse_r2/readout_metrics.json,results/tum_transfer/e5_pilot/C001/readout_ablation/minobs2/gs_e5_C001_sparse_r2/readout.log,2,0.05,0.5,on,2.0,13593719,6018788,1339345,1315212,readout_ablation(minobs2; minobs2; voxel0.05; alpha0.5; SORstd2)
minobs2,gs_e5_C001_dense_r1,dense,r1,results/tum_transfer/e5_pilot/C001/readout_ablation/minobs2/gs_e5_C001_dense_r1/tsdf_gssem.npz,6156b943f347d7f6dc5165148f5ddc44d27d65dd8f481acb2e06a62c4fec8e25,results/tum_transfer/e5_pilot/C001/readout_ablation/minobs2/gs_e5_C001_dense_r1/stage_coverage.csv,results/tum_transfer/e5_pilot/C001/readout_ablation/minobs2/gs_e5_C001_dense_r1/readout_metrics.json,results/tum_transfer/e5_pilot/C001/readout_ablation/minobs2/gs_e5_C001_dense_r1/readout.log,2,0.05,0.5,on,2.0,13375511,6047158,1266219,1243728,readout_ablation(minobs2; minobs2; voxel0.05; alpha0.5; SORstd2)
minobs2,gs_e5_C001_dense_r2,dense,r2,results/tum_transfer/e5_pilot/C001/readout_ablation/minobs2/gs_e5_C001_dense_r2/tsdf_gssem.npz,dfbbba6b7e3f754438fd275685b5f3fc6c97b1a73839492696d5eebd12fc9908,results/tum_transfer/e5_pilot/C001/readout_ablation/minobs2/gs_e5_C001_dense_r2/stage_coverage.csv,results/tum_transfer/e5_pilot/C001/readout_ablation/minobs2/gs_e5_C001_dense_r2/readout_metrics.json,results/tum_transfer/e5_pilot/C001/readout_ablation/minobs2/gs_e5_C001_dense_r2/readout.log,2,0.05,0.5,on,2.0,13462203,5889978,1304515,1285419,readout_ablation(minobs2; minobs2; voxel0.05; alpha0.5; SORstd2)
minobs2,gs_e5_C001_acmp_r1,acmp,r1,results/tum_transfer/e5_pilot/C001/readout_ablation/minobs2/gs_e5_C001_acmp_r1/tsdf_gssem.npz,6d78006f7f153410750250b31471ed6c88e0d92d433b481fafbaef6e6dae8c6f,results/tum_transfer/e5_pilot/C001/readout_ablation/minobs2/gs_e5_C001_acmp_r1/stage_coverage.csv,results/tum_transfer/e5_pilot/C001/readout_ablation/minobs2/gs_e5_C001_acmp_r1/readout_metrics.json,results/tum_transfer/e5_pilot/C001/readout_ablation/minobs2/gs_e5_C001_acmp_r1/readout.log,2,0.05,0.5,on,2.0,13035686,5589637,1323870,1294696,readout_ablation(minobs2; minobs2; voxel0.05; alpha0.5; SORstd2)
