setting,run_name,arm,replicate,min_obs,voxel_m,sor,sor_std,stage,building_id,occupied_cells,grid_total_cells,coverage_frac
base,gs_e5_C001_sparse_r1,sparse,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_60098,784,784,1.0
base,gs_e5_C001_sparse_r1,sparse,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907184,1352,1352,1.0
base,gs_e5_C001_sparse_r1,sparse,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907185,643,644,0.9984472049689441
base,gs_e5_C001_sparse_r1,sparse,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907186,672,673,0.9985141158989599
base,gs_e5_C001_sparse_r1,sparse,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907188,663,664,0.9984939759036144
base,gs_e5_C001_sparse_r1,sparse,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907194,831,850,0.9776470588235294
base,gs_e5_C001_sparse_r1,sparse,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907195,710,710,1.0
base,gs_e5_C001_sparse_r1,sparse,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907198,1437,1438,0.9993045897079277
base,gs_e5_C001_sparse_r1,sparse,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907199,393,393,1.0
base,gs_e5_C001_sparse_r1,sparse,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907202,641,641,1.0
base,gs_e5_C001_sparse_r1,sparse,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4908168,114,114,1.0
base,gs_e5_C001_sparse_r1,sparse,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4908178,454,454,1.0
base,gs_e5_C001_sparse_r1,sparse,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4908179,465,474,0.9810126582278481
base,gs_e5_C001_sparse_r1,sparse,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_8568391,221,221,1.0
base,gs_e5_C001_sparse_r1,sparse,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_8568392,24,24,1.0
base,gs_e5_C001_sparse_r1,sparse,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_108247349,385,402,0.9577114427860697
base,gs_e5_C001_sparse_r1,sparse,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_108247350,48,48,1.0
base,gs_e5_C001_sparse_r1,sparse,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_108247351,260,260,1.0
base,gs_e5_C001_sparse_r1,sparse,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_60098,160,784,0.20408163265306123
base,gs_e5_C001_sparse_r1,sparse,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4907184,1352,1352,1.0
base,gs_e5_C001_sparse_r1,sparse,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4907185,331,644,0.5139751552795031
base,gs_e5_C001_sparse_r1,sparse,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4907186,144,673,0.2139673105497771
base,gs_e5_C001_sparse_r1,sparse,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4907188,129,664,0.19427710843373494
base,gs_e5_C001_sparse_r1,sparse,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4907194,158,850,0.18588235294117647
base,gs_e5_C001_sparse_r1,sparse,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4907195,370,710,0.5211267605633803
base,gs_e5_C001_sparse_r1,sparse,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4907198,473,1438,0.3289290681502086
base,gs_e5_C001_sparse_r1,sparse,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4907199,170,393,0.43256997455470736
base,gs_e5_C001_sparse_r1,sparse,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4907202,256,641,0.3993759750390016
base,gs_e5_C001_sparse_r1,sparse,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4908168,9,114,0.07894736842105263
base,gs_e5_C001_sparse_r1,sparse,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4908178,129,454,0.2841409691629956
base,gs_e5_C001_sparse_r1,sparse,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4908179,66,474,0.13924050632911392
base,gs_e5_C001_sparse_r1,sparse,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_8568391,63,221,0.2850678733031674
base,gs_e5_C001_sparse_r1,sparse,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_8568392,0,24,0.0
base,gs_e5_C001_sparse_r1,sparse,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_108247349,47,402,0.11691542288557213
base,gs_e5_C001_sparse_r1,sparse,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_108247350,4,48,0.08333333333333333
base,gs_e5_C001_sparse_r1,sparse,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_108247351,28,260,0.1076923076923077
base,gs_e5_C001_sparse_r1,sparse,r1,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_60098,52,784,0.0663265306122449
base,gs_e5_C001_sparse_r1,sparse,r1,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4907184,1352,1352,1.0
base,gs_e5_C001_sparse_r1,sparse,r1,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4907185,243,644,0.37732919254658387
base,gs_e5_C001_sparse_r1,sparse,r1,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4907186,56,673,0.08320950965824665
base,gs_e5_C001_sparse_r1,sparse,r1,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4907188,36,664,0.05421686746987952
base,gs_e5_C001_sparse_r1,sparse,r1,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4907194,31,850,0.036470588235294116
base,gs_e5_C001_sparse_r1,sparse,r1,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4907195,163,710,0.2295774647887324
base,gs_e5_C001_sparse_r1,sparse,r1,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4907198,237,1438,0.16481223922114047
base,gs_e5_C001_sparse_r1,sparse,r1,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4907199,97,393,0.24681933842239187
base,gs_e5_C001_sparse_r1,sparse,r1,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4907202,144,641,0.22464898595943839
base,gs_e5_C001_sparse_r1,sparse,r1,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4908168,0,114,0.0
base,gs_e5_C001_sparse_r1,sparse,r1,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4908178,56,454,0.12334801762114538
base,gs_e5_C001_sparse_r1,sparse,r1,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4908179,10,474,0.02109704641350211
base,gs_e5_C001_sparse_r1,sparse,r1,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_8568391,30,221,0.13574660633484162
