view_stem,region_id,building_id,source_component_id,source_component_pixel_count,pre_split_overlap_count,pre_cut_pair_pixel_count,post_cut_fragment_pixel_count,fragment_index,post_split_fragment_min_pixels,plane_loss_min_valid_pixels,projection_z_local_m,projection_height_source_count,projection_height_sparse_points3d_count,projection_height_dense_init_point_count,projection_height_fallback_used,projection_height_active_for_loss_address,projection_height_source_z_q10_local_m,projection_height_source_z_q50_local_m,projection_height_source_z_q90_local_m,projection_height_source_z_mad_m,projection_height_estimator,projection_height_source_role,footprint_buffer_m,cutline_half_width_px,source_component_min_pixels,cache_path
DJI_20241217095625_0075_D,1,DEBY_LOD2_4907184,1,690230,4,597007,590881,1,,64,-23.059999465942383,9371,1906,7465,False,True,-29.940000534057617,-23.059999465942383,-20.68000030517578,1.5247173309326172,median(combined Arm1-prime 0-iter sparse points3D + dense-init points inside unbuffered footprint),existing Arm1-prime zero-iteration training input; no LoD2 z; global median may place only the source_count=0 exclusion/veto and never activates a positive loss region,20.0,7,256,results/tum_transfer/e5_s3/C001/semantic_regions/DJI_20241217095625_0075_D.npz
DJI_20241217095625_0075_D,2,DEBY_LOD2_4908168,1,690230,4,63007,57132,1,,64,-38.0099983215332,93,2,91,False,True,-43.18800048828125,-38.0099983215332,-36.41199951171875,1.2699966430664062,median(combined Arm1-prime 0-iter sparse points3D + dense-init points inside unbuffered footprint),existing Arm1-prime zero-iteration training input; no LoD2 z; global median may place only the source_count=0 exclusion/veto and never activates a positive loss region,20.0,7,256,results/tum_transfer/e5_s3/C001/semantic_regions/DJI_20241217095625_0075_D.npz
DJI_20241217095625_0075_D,3,DEBY_LOD2_4907185,2,3511,4,3511,3511,1,,64,-26.040000915527344,681,35,646,False,True,-28.31999969482422,-26.040000915527344,-23.020000457763672,1.789999008178711,median(combined Arm1-prime 0-iter sparse points3D + dense-init points inside unbuffered footprint),existing Arm1-prime zero-iteration training input; no LoD2 z; global median may place only the source_count=0 exclusion/veto and never activates a positive loss region,20.0,7,256,results/tum_transfer/e5_s3/C001/semantic_regions/DJI_20241217095625_0075_D.npz
DJI_20241217095625_0075_D,4,DEBY_LOD2_4908168,3,3780,4,3780,3780,1,,64,-38.0099983215332,93,2,91,False,True,-43.18800048828125,-38.0099983215332,-36.41199951171875,1.2699966430664062,median(combined Arm1-prime 0-iter sparse points3D + dense-init points inside unbuffered footprint),existing Arm1-prime zero-iteration training input; no LoD2 z; global median may place only the source_count=0 exclusion/veto and never activates a positive loss region,20.0,7,256,results/tum_transfer/e5_s3/C001/semantic_regions/DJI_20241217095625_0075_D.npz
DJI_20241217095531_0048_D,1,DEBY_LOD2_4907184,1,101816,7,20175,19343,1,,64,-23.059999465942383,9371,1906,7465,False,True,-29.940000534057617,-23.059999465942383,-20.68000030517578,1.5247173309326172,median(combined Arm1-prime 0-iter sparse points3D + dense-init points inside unbuffered footprint),existing Arm1-prime zero-iteration training input; no LoD2 z; global median may place only the source_count=0 exclusion/veto and never activates a positive loss region,20.0,7,256,results/tum_transfer/e5_s3/C001/semantic_regions/DJI_20241217095531_0048_D.npz
DJI_20241217095531_0048_D,2,DEBY_LOD2_4907185,1,101816,7,64121,61995,1,,64,-26.040000915527344,681,35,646,False,True,-28.31999969482422,-26.040000915527344,-23.020000457763672,1.789999008178711,median(combined Arm1-prime 0-iter sparse points3D + dense-init points inside unbuffered footprint),existing Arm1-prime zero-iteration training input; no LoD2 z; global median may place only the source_count=0 exclusion/veto and never activates a positive loss region,20.0,7,256,results/tum_transfer/e5_s3/C001/semantic_regions/DJI_20241217095531_0048_D.npz
DJI_20241217095531_0048_D,3,DEBY_LOD2_60098,1,101816,7,17520,16190,1,,64,-24.219999313354492,521,18,503,False,True,-26.479999542236328,-24.219999313354492,-22.739999771118164,0.9099998474121094,median(combined Arm1-prime 0-iter sparse points3D + dense-init points inside unbuffered footprint),existing Arm1-prime zero-iteration training input; no LoD2 z; global median may place only the source_count=0 exclusion/veto and never activates a positive loss region,20.0,7,256,results/tum_transfer/e5_s3/C001/semantic_regions/DJI_20241217095531_0048_D.npz
DJI_20241217095531_0048_D,4,DEBY_LOD2_4907184,2,545080,11,10650,8814,1,,64,-23.059999465942383,9371,1906,7465,False,True,-29.940000534057617,-23.059999465942383,-20.68000030517578,1.5247173309326172,median(combined Arm1-prime 0-iter sparse points3D + dense-init points inside unbuffered footprint),existing Arm1-prime zero-iteration training input; no LoD2 z; global median may place only the source_count=0 exclusion/veto and never activates a positive loss region,20.0,7,256,results/tum_transfer/e5_s3/C001/semantic_regions/DJI_20241217095531_0048_D.npz
DJI_20241217095531_0048_D,5,DEBY_LOD2_4907185,2,545080,11,344,10,1,,64,-26.040000915527344,681,35,646,False,True,-28.31999969482422,-26.040000915527344,-23.020000457763672,1.789999008178711,median(combined Arm1-prime 0-iter sparse points3D + dense-init points inside unbuffered footprint),existing Arm1-prime zero-iteration training input; no LoD2 z; global median may place only the source_count=0 exclusion/veto and never activates a positive loss region,20.0,7,256,results/tum_transfer/e5_s3/C001/semantic_regions/DJI_20241217095531_0048_D.npz
DJI_20241217095531_0048_D,6,DEBY_LOD2_4907198,2,545080,11,524280,522117,1,,64,-26.15999984741211,1993,55,1938,False,True,-32.672000122070315,-26.15999984741211,-24.299999237060547,0.5900001525878906,median(combined Arm1-prime 0-iter sparse points3D + dense-init points inside unbuffered footprint),existing Arm1-prime zero-iteration training input; no LoD2 z; global median may place only the source_count=0 exclusion/veto and never activates a positive loss region,20.0,7,256,results/tum_transfer/e5_s3/C001/semantic_regions/DJI_20241217095531_0048_D.npz
DJI_20241217095531_0048_D,7,DEBY_LOD2_108247349,3,18602,7,14646,13376,1,,64,-59.39547348022461,1,1,0,False,True,-59.39547348022461,-59.39547348022461,-59.39547348022461,0.0,median(combined Arm1-prime 0-iter sparse points3D + dense-init points inside unbuffered footprint),existing Arm1-prime zero-iteration training input; no LoD2 z; global median may place only the source_count=0 exclusion/veto and never activates a positive loss region,20.0,7,256,results/tum_transfer/e5_s3/C001/semantic_regions/DJI_20241217095531_0048_D.npz
DJI_20241217095531_0048_D,8,DEBY_LOD2_4907198,3,18602,7,3956,2820,1,,64,-26.15999984741211,1993,55,1938,False,True,-32.672000122070315,-26.15999984741211,-24.299999237060547,0.5900001525878906,median(combined Arm1-prime 0-iter sparse points3D + dense-init points inside unbuffered footprint),existing Arm1-prime zero-iteration training input; no LoD2 z; global median may place only the source_count=0 exclusion/veto and never activates a positive loss region,20.0,7,256,results/tum_transfer/e5_s3/C001/semantic_regions/DJI_20241217095531_0048_D.npz
DJI_20241217095531_0048_D,9,DEBY_LOD2_108247349,4,2402,9,2402,2402,1,,64,-59.39547348022461,1,1,0,False,True,-59.39547348022461,-59.39547348022461,-59.39547348022461,0.0,median(combined Arm1-prime 0-iter sparse points3D + dense-init points inside unbuffered footprint),existing Arm1-prime zero-iteration training input; no LoD2 z; global median may place only the source_count=0 exclusion/veto and never activates a positive loss region,20.0,7,256,results/tum_transfer/e5_s3/C001/semantic_regions/DJI_20241217095531_0048_D.npz
DJI_20241217095441_0023_D,1,DEBY_LOD2_4907202,1,121763,3,98273,96985,1,,64,-36.7599983215332,1025,70,955,False,True,-39.58600082397461,-36.7599983215332,-35.533999633789065,0.7099990844726562,median(combined Arm1-prime 0-iter sparse points3D + dense-init points inside unbuffered footprint),existing Arm1-prime zero-iteration training input; no LoD2 z; global median may place only the source_count=0 exclusion/veto and never activates a positive loss region,20.0,7,256,results/tum_transfer/e5_s3/C001/semantic_regions/DJI_20241217095441_0023_D.npz
DJI_20241217095441_0023_D,2,DEBY_LOD2_4908178,1,121763,3,6947,5710,1,,64,-39.45000076293945,419,24,395,False,True,-39.78199920654297,-39.45000076293945,-39.2599983215332,0.13000106811523438,median(combined Arm1-prime 0-iter sparse points3D + dense-init points inside unbuffered footprint),existing Arm1-prime zero-iteration training input; no LoD2 z; global median may place only the source_count=0 exclusion/veto and never activates a positive loss region,20.0,7,256,results/tum_transfer/e5_s3/C001/semantic_regions/DJI_20241217095441_0023_D.npz
DJI_20241217095441_0023_D,3,DEBY_LOD2_4907202,2,119529,4,78436,78436,1,,64,-36.7599983215332,1025,70,955,False,True,-39.58600082397461,-36.7599983215332,-35.533999633789065,0.7099990844726562,median(combined Arm1-prime 0-iter sparse points3D + dense-init points inside unbuffered footprint),existing Arm1-prime zero-iteration training input; no LoD2 z; global median may place only the source_count=0 exclusion/veto and never activates a positive loss region,20.0,7,256,results/tum_transfer/e5_s3/C001/semantic_regions/DJI_20241217095441_0023_D.npz
DJI_20241217095441_0023_D,4,DEBY_LOD2_4907202,4,11803,4,11803,11803,1,,64,-36.7599983215332,1025,70,955,False,True,-39.58600082397461,-36.7599983215332,-35.533999633789065,0.7099990844726562,median(combined Arm1-prime 0-iter sparse points3D + dense-init points inside unbuffered footprint),existing Arm1-prime zero-iteration training input; no LoD2 z; global median may place only the source_count=0 exclusion/veto and never activates a positive loss region,20.0,7,256,results/tum_transfer/e5_s3/C001/semantic_regions/DJI_20241217095441_0023_D.npz
DJI_20241217095441_0023_D,5,DEBY_LOD2_4907202,5,220029,8,89238,84138,1,,64,-36.7599983215332,1025,70,955,False,True,-39.58600082397461,-36.7599983215332,-35.533999633789065,0.7099990844726562,median(combined Arm1-prime 0-iter sparse points3D + dense-init points inside unbuffered footprint),existing Arm1-prime zero-iteration training input; no LoD2 z; global median may place only the source_count=0 exclusion/veto and never activates a positive loss region,20.0,7,256,results/tum_transfer/e5_s3/C001/semantic_regions/DJI_20241217095441_0023_D.npz
DJI_20241217095441_0023_D,6,DEBY_LOD2_4908178,5,220029,8,54608,51972,1,,64,-39.45000076293945,419,24,395,False,True,-39.78199920654297,-39.45000076293945,-39.2599983215332,0.13000106811523438,median(combined Arm1-prime 0-iter sparse points3D + dense-init points inside unbuffered footprint),existing Arm1-prime zero-iteration training input; no LoD2 z; global median may place only the source_count=0 exclusion/veto and never activates a positive loss region,20.0,7,256,results/tum_transfer/e5_s3/C001/semantic_regions/DJI_20241217095441_0023_D.npz
DJI_20241217095441_0023_D,7,DEBY_LOD2_8568391,5,220029,8,31282,27146,1,,64,-38.91999816894531,9,0,9,False,True,-39.51600036621094,-38.91999816894531,-38.758000183105466,0.14999771118164062,median(combined Arm1-prime 0-iter sparse points3D + dense-init points inside unbuffered footprint),existing Arm1-prime zero-iteration training input; no LoD2 z; global median may place only the source_count=0 exclusion/veto and never activates a positive loss region,20.0,7,256,results/tum_transfer/e5_s3/C001/semantic_regions/DJI_20241217095441_0023_D.npz
