sequence,stage,building_id,view_stem,status,detail,updated_utc
1,crop,4907199,DJI_20241217095141_0077_D,complete,deterministic_target_mask_fallback,2026-07-15T13:16:21.942193+00:00
2,crop,4907199,DJI_20241217095145_0079_D,complete,existing_pair_crop,2026-07-15T13:16:22.505891+00:00
3,crop,4907199,DJI_20241217095147_0080_D,complete,existing_pair_crop,2026-07-15T13:16:22.942262+00:00
4,crop,4907199,DJI_20241217095149_0081_D,complete,existing_pair_crop,2026-07-15T13:16:23.442395+00:00
5,crop,4907199,DJI_20241217095441_0023_D,complete,existing_pair_crop,2026-07-15T13:16:24.000783+00:00
6,crop,4907199,DJI_20241217095531_0048_D,complete,existing_pair_crop,2026-07-15T13:16:24.501101+00:00
7,building,4907199,,complete,sfm_subset=2384,2026-07-15T13:16:24.681318+00:00
8,crop,8568391,DJI_20241217084901_0194_D,complete,existing_pair_crop,2026-07-15T13:16:25.156560+00:00
9,crop,8568391,DJI_20241217084903_0195_D,complete,existing_pair_crop,2026-07-15T13:16:25.619015+00:00
10,crop,8568391,DJI_20241217095441_0023_D,complete,existing_pair_crop,2026-07-15T13:16:25.891154+00:00
11,building,8568391,,complete,sfm_subset=1197,2026-07-15T13:16:26.039681+00:00
12,crop,8568392,DJI_20241217084901_0194_D,complete,existing_pair_crop,2026-07-15T13:16:26.306465+00:00
13,crop,8568392,DJI_20241217084903_0195_D,complete,existing_pair_crop,2026-07-15T13:16:26.551282+00:00
14,crop,8568392,DJI_20241217095441_0023_D,complete,existing_pair_crop,2026-07-15T13:16:26.815427+00:00
15,building,8568392,,complete,sfm_subset=1437,2026-07-15T13:16:27.036891+00:00
16,config,4907199,,complete,gs_e5_C001_s3ap_b4907199_a0_r1,2026-07-15T13:16:27.086715+00:00
17,config,4907199,,complete,gs_e5_C001_s3ap_b4907199_a0_r2,2026-07-15T13:16:27.139904+00:00
18,config,4907199,,complete,gs_e5_C001_s3ap_b4907199_a1_r1,2026-07-15T13:16:27.193200+00:00
19,config,4907199,,complete,gs_e5_C001_s3ap_b4907199_a1_r2,2026-07-15T13:16:27.246458+00:00
20,config,4907199,,complete,gs_e5_C001_s3ap_b4907199_a2_r1,2026-07-15T13:16:27.310380+00:00
21,config,4907199,,complete,gs_e5_C001_s3ap_b4907199_a2_r2,2026-07-15T13:16:27.374330+00:00
22,config,8568391,,complete,gs_e5_C001_s3ap_b8568391_a0_r1,2026-07-15T13:16:27.438254+00:00
23,config,8568391,,complete,gs_e5_C001_s3ap_b8568391_a0_r2,2026-07-15T13:16:27.502195+00:00
24,config,8568391,,complete,gs_e5_C001_s3ap_b8568391_a1_r1,2026-07-15T13:16:27.555452+00:00
25,config,8568391,,complete,gs_e5_C001_s3ap_b8568391_a1_r2,2026-07-15T13:16:27.608747+00:00
26,config,8568391,,complete,gs_e5_C001_s3ap_b8568391_a2_r1,2026-07-15T13:16:27.673441+00:00
27,config,8568391,,complete,gs_e5_C001_s3ap_b8568391_a2_r2,2026-07-15T13:16:27.768285+00:00
28,config,8568392,,complete,gs_e5_C001_s3ap_b8568392_a0_r1,2026-07-15T13:16:27.821602+00:00
29,config,8568392,,complete,gs_e5_C001_s3ap_b8568392_a0_r2,2026-07-15T13:16:27.874872+00:00
30,config,8568392,,complete,gs_e5_C001_s3ap_b8568392_a1_r1,2026-07-15T13:16:27.928156+00:00
31,config,8568392,,complete,gs_e5_C001_s3ap_b8568392_a1_r2,2026-07-15T13:16:27.981448+00:00
32,config,8568392,,complete,gs_e5_C001_s3ap_b8568392_a2_r1,2026-07-15T13:16:28.034699+00:00
33,config,8568392,,complete,gs_e5_C001_s3ap_b8568392_a2_r2,2026-07-15T13:16:28.087985+00:00
