run_id,building_id,arm,replicate,perturbation_type,perturbation_value,score_status,score_reason,checkpoint,checkpoint_sha256,prepared_root,fixed_view_count,fixed_views,alpha_min_inclusive,voxel_m,min_observations,sor_neighbors,sor_std_ratio,expected_fused_all,expected_minobs_kept,expected_sor_kept,median_fused_all,median_minobs_kept,median_sor_kept,canonical_depth,roof_evidence_point_count,ground_z_local_m,ground_method,ground_source,minimum_height_above_ground_m,derived_roofprint_area_m2,supplied_footprint_passed_to_roofer,point_evidence_derived_roofprint_passed_to_roofer,fused_inside_point_count,coverage_grid_m,coverage_eligible_cells,coverage_occupied_cells,coverage_ratio,edge_width_m,edge_point_count,edge_coverage_eligible_cells,edge_coverage_occupied_cells,edge_coverage_ratio,interior_point_count,interior_coverage_eligible_cells,interior_coverage_occupied_cells,interior_coverage_ratio,height_error_signed_median_m,height_error_abs_median_m,height_error_mad_m,height_error_rms_m,edge_height_error_signed_median_m,edge_height_error_abs_median_m,edge_height_error_mad_m,edge_height_error_rms_m,interior_height_error_signed_median_m,interior_height_error_abs_median_m,interior_height_error_mad_m,interior_height_error_rms_m,roofer_status,roofer_reason,rf_extrusion_mode,rf_roof_planes,geometry_has_lod22,has_lod22,val3dity_valid,citygml_completeness,citygml_roof_rms_m,substantive_filter,cityjson_path,citygml_roof_point_count,citygml_coverage_eligible_cells,citygml_coverage_occupied_cells,citygml_coverage_ratio,citygml_edge_point_count,citygml_edge_coverage_eligible_cells,citygml_edge_coverage_occupied_cells,citygml_edge_coverage_ratio,citygml_interior_point_count,citygml_interior_coverage_eligible_cells,citygml_interior_coverage_occupied_cells,citygml_interior_coverage_ratio,citygml_height_error_signed_median_m,citygml_height_error_abs_median_m,citygml_height_error_mad_m,citygml_height_error_rms_region_m,citygml_edge_height_error_signed_median_m,citygml_edge_height_error_abs_median_m,citygml_edge_height_error_mad_m,citygml_edge_height_error_rms_m,citygml_interior_height_error_signed_median_m,citygml_interior_height_error_abs_median_m,citygml_interior_height_error_mad_m,citygml_interior_height_error_rms_m,p0_height_error_signed_median_m,p0_height_error_abs_median_m,p0_height_error_mad_m,p0_height_error_rms_m,p0_coverage_ratio,p0_edge_point_count,p0_edge_coverage_ratio,p0_edge_height_error_signed_median_m,p0_edge_height_error_abs_median_m,p0_edge_height_error_mad_m,p0_edge_height_error_rms_m,p0_interior_point_count,p0_interior_coverage_ratio,p0_interior_height_error_signed_median_m,p0_interior_height_error_abs_median_m,p0_interior_height_error_mad_m,p0_interior_height_error_rms_m,gs_edge_abs_error_lt_p0,gs_interior_abs_error_lt_p0,gs_minus_p0_edge_abs_median_m,gs_minus_p0_interior_abs_median_m,p0_has_lod22,p0_substantive_filter,gs_abs_error_lt_p0,gs_p0_comparison_metric,mvs_direct_class6_no_points,mvs_canonical_no_points,mvs_canonical_reason,footprint_role,gt_role,crs,extraction_manifest,roofer_input_manifest
gs_e5_C001_s3ap_b4907199_a0_r1,DEBY_LOD2_4907199,a0,r1,none,0.000000000,complete,,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a0_r1/ckpt/final.pt,8c4baf17c363e4dd5f4841c77408e780be5826f2cd6e96630a2968fed58812ce,results/tum_transfer/e5_s3ap_phase2/prepared/DEBY_LOD2_4907199,6,DJI_20241217095141_0077_D.png;DJI_20241217095145_0079_D.png;DJI_20241217095147_0080_D.png;DJI_20241217095149_0081_D.png;DJI_20241217095441_0023_D.png;DJI_20241217095531_0048_D.png,0.500000000,0.050000000,3,20,2.000000000,265530,3220,3142,204971,15734,15160,median,15160,-43.342000000,clean exterior 1m-cell q10 lower-mode median,elevation: SfM points3D.bin + dense-init PLY; supplied footprints_aoi geometry used for target exterior/exclusion masks; no LoD2 roof height/plane or ALS elevation,1.500000000,252.750000000,false,true,735,0.500000000,448,65,0.145089286,1.000000000,145,204,20,0.098039216,590,244,45,0.184426230,6.808000000,6.808000000,1.350000000,6.914370852,5.758000000,5.758000000,1.000000000,6.220573419,7.208000000,7.208000000,1.275000000,7.074472246,failure,lod11_fallback,lod11_fallback,None,true,false,false,0.000000000,12.148492855,false,results/tum_transfer/e5_s3ap_phase3/jobs/gs_e5_C001_s3ap_b4907199_a0_r1/cityjson/gs_e5_C001_s3ap_b4907199_a0_r1.city.json,67,448,67,0.149553571,22,204,22,0.107843137,45,244,45,0.184426230,8.257000000,8.257000000,0.000000000,8.039484652,8.257000000,8.257000000,0.000000000,7.485819224,8.257000000,8.257000000,0.000000000,8.296729255,-0.154904640,0.154904640,0.101814674,0.194579178,1.000000000,204,1.000000000,-0.152675466,0.152675466,0.153451741,0.215269945,244,1.000000000,-0.155877613,0.155877613,0.068083580,0.175417054,,,5.605324534,7.052122387,false,false,,fused roof height_error_abs_median_m,false,true,pointcloud_unusable_no_points,score-region and coverage mask opened after Roofer input finalization,LoD2 and supplied footprint are opened by score-job only after fused extraction and Roofer LAS/roofprint construction,EPSG:25832,results/tum_transfer/e5_s3ap_phase3/jobs/gs_e5_C001_s3ap_b4907199_a0_r1/extraction_manifest.json,results/tum_transfer/e5_s3ap_phase3/jobs/gs_e5_C001_s3ap_b4907199_a0_r1/roofer_input_manifest.json
gs_e5_C001_s3ap_b4907199_a0_r2,DEBY_LOD2_4907199,a0,r2,none,0.000000000,complete,,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a0_r2/ckpt/final.pt,5b0c6f9b51a7a085db806ee6665bfb2fad5706629b997d6257dc42d494fbe07e,results/tum_transfer/e5_s3ap_phase2/prepared/DEBY_LOD2_4907199,6,DJI_20241217095141_0077_D.png;DJI_20241217095145_0079_D.png;DJI_20241217095147_0080_D.png;DJI_20241217095149_0081_D.png;DJI_20241217095441_0023_D.png;DJI_20241217095531_0048_D.png,0.500000000,0.050000000,3,20,2.000000000,273027,3219,3137,209521,16084,15348,median,15348,-43.342000000,clean exterior 1m-cell q10 lower-mode median,elevation: SfM points3D.bin + dense-init PLY; supplied footprints_aoi geometry used for target exterior/exclusion masks; no LoD2 roof height/plane or ALS elevation,1.500000000,256.000000000,false,true,319,0.500000000,448,37,0.082589286,1.000000000,166,204,23,0.112745098,153,244,14,0.057377049,5.908000000,5.908000000,0.850000000,6.205541970,5.883000000,5.883000000,0.975000000,6.385334394,6.158000000,6.158000000,0.700000000,6.004386954,failure,lod11_fallback,lod11_fallback,None,true,false,false,0.000000000,11.734494077,false,results/tum_transfer/e5_s3ap_phase3/jobs/gs_e5_C001_s3ap_b4907199_a0_r2/cityjson/gs_e5_C001_s3ap_b4907199_a0_r2.city.json,46,448,46,0.102678571,32,204,32,0.156862745,14,244,14,0.057377049,7.807000000,7.807000000,0.000000000,7.998763918,7.807000000,7.807000000,0.000000000,8.081229849,7.807000000,7.807000000,0.000000000,7.807000000,-0.154904640,0.154904640,0.101814674,0.194579178,1.000000000,204,1.000000000,-0.152675466,0.152675466,0.153451741,0.215269945,244,1.000000000,-0.155877613,0.155877613,0.068083580,0.175417054,,,5.730324534,6.002122387,false,false,,fused roof height_error_abs_median_m,false,true,pointcloud_unusable_no_points,score-region and coverage mask opened after Roofer input finalization,LoD2 and supplied footprint are opened by score-job only after fused extraction and Roofer LAS/roofprint construction,EPSG:25832,results/tum_transfer/e5_s3ap_phase3/jobs/gs_e5_C001_s3ap_b4907199_a0_r2/extraction_manifest.json,results/tum_transfer/e5_s3ap_phase3/jobs/gs_e5_C001_s3ap_b4907199_a0_r2/roofer_input_manifest.json
gs_e5_C001_s3ap_b4907199_a1_dz_m4_r1,DEBY_LOD2_4907199,a1,r1,height,-4.000000000,complete,,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a1_dz_m4_r1/ckpt/final.pt,d6e2a618814519468f440650d6efa48d59609b08df02a8f81daf07c4ceca55ef,results/tum_transfer/e5_s3ap_phase2/prepared/DEBY_LOD2_4907199,6,DJI_20241217095141_0077_D.png;DJI_20241217095145_0079_D.png;DJI_20241217095147_0080_D.png;DJI_20241217095149_0081_D.png;DJI_20241217095441_0023_D.png;DJI_20241217095531_0048_D.png,0.500000000,0.050000000,3,20,2.000000000,223413,11543,11243,198868,19670,18904,median,18904,-43.342000000,clean exterior 1m-cell q10 lower-mode median,elevation: SfM points3D.bin + dense-init PLY; supplied footprints_aoi geometry used for target exterior/exclusion masks; no LoD2 roof height/plane or ALS elevation,1.500000000,346.500000000,false,true,193,0.500000000,448,48,0.107142857,1.000000000,154,204,36,0.176470588,39,244,12,0.049180328,4.158000000,4.158000000,0.400000000,4.264058280,4.258000000,4.258000000,0.400000000,4.399452118,3.608000000,3.608000000,0.250000000,3.681087130,failure,lod11_fallback,lod11_fallback,None,true,false,false,0.000000000,11.295934547,false,results/tum_transfer/e5_s3ap_phase3/jobs/gs_e5_C001_s3ap_b4907199_a1_dz_m4_r1/cityjson/gs_e5_C001_s3ap_b4907199_a1_dz_m4_r1.city.json,55,448,55,0.122767857,43,204,43,0.210784314,12,244,12,0.049180328,7.257000000,7.257000000,0.000000000,7.257000000,7.257000000,7.257000000,0.000000000,7.257000000,7.257000000,7.257000000,0.000000000,7.257000000,-0.154904640,0.154904640,0.101814674,0.194579178,1.000000000,204,1.000000000,-0.152675466,0.152675466,0.153451741,0.215269945,244,1.000000000,-0.155877613,0.155877613,0.068083580,0.175417054,false,false,4.105324534,3.452122387,false,false,false,fused roof height_error_abs_median_m,false,true,pointcloud_unusable_no_points,score-region and coverage mask opened after Roofer input finalization,LoD2 and supplied footprint are opened by score-job only after fused extraction and Roofer LAS/roofprint construction,EPSG:25832,results/tum_transfer/e5_s3ap_phase3/jobs/gs_e5_C001_s3ap_b4907199_a1_dz_m4_r1/extraction_manifest.json,results/tum_transfer/e5_s3ap_phase3/jobs/gs_e5_C001_s3ap_b4907199_a1_dz_m4_r1/roofer_input_manifest.json
gs_e5_C001_s3ap_b4907199_a1_dz_m2_r1,DEBY_LOD2_4907199,a1,r1,height,-2.000000000,complete,,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a1_dz_m2_r1/ckpt/final.pt,6e6cd66bc561570390c6074c68901f4d836915eb7089424e198ab0c99bcc8943,results/tum_transfer/e5_s3ap_phase2/prepared/DEBY_LOD2_4907199,6,DJI_20241217095141_0077_D.png;DJI_20241217095145_0079_D.png;DJI_20241217095147_0080_D.png;DJI_20241217095149_0081_D.png;DJI_20241217095441_0023_D.png;DJI_20241217095531_0048_D.png,0.500000000,0.050000000,3,20,2.000000000,234278,10043,9922,202219,18125,17422,median,17422,-43.342000000,clean exterior 1m-cell q10 lower-mode median,elevation: SfM points3D.bin + dense-init PLY; supplied footprints_aoi geometry used for target exterior/exclusion masks; no LoD2 roof height/plane or ALS elevation,1.500000000,285.500000000,false,true,112,0.500000000,448,32,0.071428571,1.000000000,24,204,9,0.044117647,88,244,23,0.094262295,8.058000000,8.058000000,0.400000000,7.901000540,8.133000000,8.133000000,0.675000000,6.806384062,8.058000000,8.058000000,0.375000000,8.174131822,failure,lod11_fallback,lod11_fallback,None,true,false,false,0.000000000,11.319124585,false,results/tum_transfer/e5_s3ap_phase3/jobs/gs_e5_C001_s3ap_b4907199_a1_dz_m2_r1/cityjson/gs_e5_C001_s3ap_b4907199_a1_dz_m2_r1.city.json,35,448,35,0.078125000,12,204,12,0.058823529,23,244,23,0.094262295,8.708000000,8.708000000,0.000000000,8.481873100,7.658000000,7.658000000,0.351000000,8.030685540,8.708000000,8.708000000,0.000000000,8.708000000,-0.154904640,0.154904640,0.101814674,0.194579178,1.000000000,204,1.000000000,-0.152675466,0.152675466,0.153451741,0.215269945,244,1.000000000,-0.155877613,0.155877613,0.068083580,0.175417054,false,false,7.980324534,7.902122387,false,false,false,fused roof height_error_abs_median_m,false,true,pointcloud_unusable_no_points,score-region and coverage mask opened after Roofer input finalization,LoD2 and supplied footprint are opened by score-job only after fused extraction and Roofer LAS/roofprint construction,EPSG:25832,results/tum_transfer/e5_s3ap_phase3/jobs/gs_e5_C001_s3ap_b4907199_a1_dz_m2_r1/extraction_manifest.json,results/tum_transfer/e5_s3ap_phase3/jobs/gs_e5_C001_s3ap_b4907199_a1_dz_m2_r1/roofer_input_manifest.json
gs_e5_C001_s3ap_b4907199_a1_dz_m1_r1,DEBY_LOD2_4907199,a1,r1,height,-1.000000000,complete,,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a1_dz_m1_r1/ckpt/final.pt,125181ffa1fbe68be619bc224b73237568b3122702c337018eb69c7f7e296200,results/tum_transfer/e5_s3ap_phase2/prepared/DEBY_LOD2_4907199,6,DJI_20241217095141_0077_D.png;DJI_20241217095145_0079_D.png;DJI_20241217095147_0080_D.png;DJI_20241217095149_0081_D.png;DJI_20241217095441_0023_D.png;DJI_20241217095531_0048_D.png,0.500000000,0.050000000,3,20,2.000000000,231914,10094,9931,204304,18001,17330,median,17330,-43.342000000,clean exterior 1m-cell q10 lower-mode median,elevation: SfM points3D.bin + dense-init PLY; supplied footprints_aoi geometry used for target exterior/exclusion masks; no LoD2 roof height/plane or ALS elevation,1.500000000,283.000000000,false,true,333,0.500000000,448,37,0.082589286,1.000000000,294,204,28,0.137254902,39,244,9,0.036885246,5.758000000,5.758000000,0.850000000,6.040806534,5.958000000,5.958000000,0.900000000,6.160920815,4.958000000,4.958000000,0.200000000,5.044101648,failure,lod11_fallback,lod11_fallback,None,true,false,false,0.000000000,11.759326923,false,results/tum_transfer/e5_s3ap_phase3/jobs/gs_e5_C001_s3ap_b4907199_a1_dz_m1_r1/cityjson/gs_e5_C001_s3ap_b4907199_a1_dz_m1_r1.city.json,42,448,42,0.093750000,33,204,33,0.161764706,9,244,9,0.036885246,8.608000000,8.608000000,0.000000000,8.608000000,8.608000000,8.608000000,0.000000000,8.608000000,8.608000000,8.608000000,0.000000000,8.608000000,-0.154904640,0.154904640,0.101814674,0.194579178,1.000000000,204,1.000000000,-0.152675466,0.152675466,0.153451741,0.215269945,244,1.000000000,-0.155877613,0.155877613,0.068083580,0.175417054,false,false,5.805324534,4.802122387,false,false,false,fused roof height_error_abs_median_m,false,true,pointcloud_unusable_no_points,score-region and coverage mask opened after Roofer input finalization,LoD2 and supplied footprint are opened by score-job only after fused extraction and Roofer LAS/roofprint construction,EPSG:25832,results/tum_transfer/e5_s3ap_phase3/jobs/gs_e5_C001_s3ap_b4907199_a1_dz_m1_r1/extraction_manifest.json,results/tum_transfer/e5_s3ap_phase3/jobs/gs_e5_C001_s3ap_b4907199_a1_dz_m1_r1/roofer_input_manifest.json
gs_e5_C001_s3ap_b4907199_a1_dz_m0p5_r1,DEBY_LOD2_4907199,a1,r1,height,-0.500000000,complete,,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a1_dz_m0p5_r1/ckpt/final.pt,46b02b06053076deba4f664f5066d4e31caf3a4839680e179fb7c4e338ae3475,results/tum_transfer/e5_s3ap_phase2/prepared/DEBY_LOD2_4907199,6,DJI_20241217095141_0077_D.png;DJI_20241217095145_0079_D.png;DJI_20241217095147_0080_D.png;DJI_20241217095149_0081_D.png;DJI_20241217095441_0023_D.png;DJI_20241217095531_0048_D.png,0.500000000,0.050000000,3,20,2.000000000,232139,10489,10286,202714,19364,18582,median,18582,-43.342000000,clean exterior 1m-cell q10 lower-mode median,elevation: SfM points3D.bin + dense-init PLY; supplied footprints_aoi geometry used for target exterior/exclusion masks; no LoD2 roof height/plane or ALS elevation,1.500000000,303.750000000,false,true,217,0.500000000,448,43,0.095982143,1.000000000,202,204,33,0.161764706,15,244,10,0.040983607,4.708000000,4.708000000,0.950000000,5.210872446,4.758000000,4.758000000,1.100000000,5.262942194,4.458000000,4.458000000,0.250000000,4.450717995,failure,lod11_fallback,lod11_fallback,None,true,false,false,0.000000000,11.383118462,false,results/tum_transfer/e5_s3ap_phase3/jobs/gs_e5_C001_s3ap_b4907199_a1_dz_m0p5_r1/cityjson/gs_e5_C001_s3ap_b4907199_a1_dz_m0p5_r1.city.json,50,448,50,0.111607143,40,204,40,0.196078431,10,244,10,0.040983607,8.208000000,8.208000000,0.000000000,8.208000000,8.208000000,8.208000000,0.000000000,8.208000000,8.208000000,8.208000000,0.000000000,8.208000000,-0.154904640,0.154904640,0.101814674,0.194579178,1.000000000,204,1.000000000,-0.152675466,0.152675466,0.153451741,0.215269945,244,1.000000000,-0.155877613,0.155877613,0.068083580,0.175417054,false,false,4.605324534,4.302122387,false,false,false,fused roof height_error_abs_median_m,false,true,pointcloud_unusable_no_points,score-region and coverage mask opened after Roofer input finalization,LoD2 and supplied footprint are opened by score-job only after fused extraction and Roofer LAS/roofprint construction,EPSG:25832,results/tum_transfer/e5_s3ap_phase3/jobs/gs_e5_C001_s3ap_b4907199_a1_dz_m0p5_r1/extraction_manifest.json,results/tum_transfer/e5_s3ap_phase3/jobs/gs_e5_C001_s3ap_b4907199_a1_dz_m0p5_r1/roofer_input_manifest.json
gs_e5_C001_s3ap_b4907199_a1_r1,DEBY_LOD2_4907199,a1,r1,none,0.000000000,complete,,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a1_r1/ckpt/final.pt,34d97b2f0497984884bfd283d246d4647c116cefda77f6fa3e8aba3db4fd2092,results/tum_transfer/e5_s3ap_phase2/prepared/DEBY_LOD2_4907199,6,DJI_20241217095141_0077_D.png;DJI_20241217095145_0079_D.png;DJI_20241217095147_0080_D.png;DJI_20241217095149_0081_D.png;DJI_20241217095441_0023_D.png;DJI_20241217095531_0048_D.png,0.500000000,0.050000000,3,20,2.000000000,225143,11642,11440,197987,19694,18981,median,18981,-43.342000000,clean exterior 1m-cell q10 lower-mode median,elevation: SfM points3D.bin + dense-init PLY; supplied footprints_aoi geometry used for target exterior/exclusion masks; no LoD2 roof height/plane or ALS elevation,1.500000000,293.500000000,false,true,469,0.500000000,448,55,0.122767857,1.000000000,450,204,45,0.220588235,19,244,10,0.040983607,5.658000000,5.658000000,0.800000000,5.937635146,5.708000000,5.708000000,0.825000000,5.982332990,4.858000000,4.858000000,0.100000000,4.757797567,failure,lod11_fallback,lod11_fallback,None,true,false,false,0.000000000,11.648505738,false,results/tum_transfer/e5_s3ap_phase3/jobs/gs_e5_C001_s3ap_b4907199_a1_r1/cityjson/gs_e5_C001_s3ap_b4907199_a1_r1.city.json,64,448,64,0.142857143,54,204,54,0.264705882,10,244,10,0.040983607,8.208000000,8.208000000,0.000000000,7.815330448,8.208000000,8.208000000,0.000000000,7.793765951,8.208000000,8.208000000,0.000000000,7.930765568,-0.154904640,0.154904640,0.101814674,0.194579178,1.000000000,204,1.000000000,-0.152675466,0.152675466,0.153451741,0.215269945,244,1.000000000,-0.155877613,0.155877613,0.068083580,0.175417054,false,false,5.555324534,4.702122387,false,false,false,fused roof height_error_abs_median_m,false,true,pointcloud_unusable_no_points,score-region and coverage mask opened after Roofer input finalization,LoD2 and supplied footprint are opened by score-job only after fused extraction and Roofer LAS/roofprint construction,EPSG:25832,results/tum_transfer/e5_s3ap_phase3/jobs/gs_e5_C001_s3ap_b4907199_a1_r1/extraction_manifest.json,results/tum_transfer/e5_s3ap_phase3/jobs/gs_e5_C001_s3ap_b4907199_a1_r1/roofer_input_manifest.json
gs_e5_C001_s3ap_b4907199_a1_dz_p0p5_r1,DEBY_LOD2_4907199,a1,r1,height,0.500000000,complete,,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a1_dz_p0p5_r1/ckpt/final.pt,2009b331189497a2798db606c3d08f9487fd15e2dc349aa111715e8584ca75ac,results/tum_transfer/e5_s3ap_phase2/prepared/DEBY_LOD2_4907199,6,DJI_20241217095141_0077_D.png;DJI_20241217095145_0079_D.png;DJI_20241217095147_0080_D.png;DJI_20241217095149_0081_D.png;DJI_20241217095441_0023_D.png;DJI_20241217095531_0048_D.png,0.500000000,0.050000000,3,20,2.000000000,232540,10511,10336,201085,19638,18935,median,18935,-43.342000000,clean exterior 1m-cell q10 lower-mode median,elevation: SfM points3D.bin + dense-init PLY; supplied footprints_aoi geometry used for target exterior/exclusion masks; no LoD2 roof height/plane or ALS elevation,1.500000000,351.750000000,false,true,412,0.500000000,448,50,0.111607143,1.000000000,342,204,38,0.186274510,70,244,12,0.049180328,5.558000000,5.558000000,0.750000000,5.712849226,5.783000000,5.783000000,0.675000000,5.906768094,4.458000000,4.458000000,0.350000000,4.650574895,failure,lod11_fallback,lod11_fallback,None,true,false,false,0.000000000,10.914677067,false,results/tum_transfer/e5_s3ap_phase3/jobs/gs_e5_C001_s3ap_b4907199_a1_dz_p0p5_r1/cityjson/gs_e5_C001_s3ap_b4907199_a1_dz_p0p5_r1.city.json,54,448,54,0.120535714,42,204,42,0.205882353,12,244,12,0.049180328,8.208000000,8.208000000,0.000000000,8.208000000,8.208000000,8.208000000,0.000000000,8.208000000,8.208000000,8.208000000,0.000000000,8.208000000,-0.154904640,0.154904640,0.101814674,0.194579178,1.000000000,204,1.000000000,-0.152675466,0.152675466,0.153451741,0.215269945,244,1.000000000,-0.155877613,0.155877613,0.068083580,0.175417054,false,false,5.630324534,4.302122387,false,false,false,fused roof height_error_abs_median_m,false,true,pointcloud_unusable_no_points,score-region and coverage mask opened after Roofer input finalization,LoD2 and supplied footprint are opened by score-job only after fused extraction and Roofer LAS/roofprint construction,EPSG:25832,results/tum_transfer/e5_s3ap_phase3/jobs/gs_e5_C001_s3ap_b4907199_a1_dz_p0p5_r1/extraction_manifest.json,results/tum_transfer/e5_s3ap_phase3/jobs/gs_e5_C001_s3ap_b4907199_a1_dz_p0p5_r1/roofer_input_manifest.json
gs_e5_C001_s3ap_b4907199_a1_dz_p1_r1,DEBY_LOD2_4907199,a1,r1,height,1.000000000,complete,,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a1_dz_p1_r1/ckpt/final.pt,6e8301d74d9becb8fa73dc0bbc9b5327ba6dce791d479d694da82b127f81178b,results/tum_transfer/e5_s3ap_phase2/prepared/DEBY_LOD2_4907199,6,DJI_20241217095141_0077_D.png;DJI_20241217095145_0079_D.png;DJI_20241217095147_0080_D.png;DJI_20241217095149_0081_D.png;DJI_20241217095441_0023_D.png;DJI_20241217095531_0048_D.png,0.500000000,0.050000000,3,20,2.000000000,226950,9878,9718,197187,19312,18627,median,18627,-43.342000000,clean exterior 1m-cell q10 lower-mode median,elevation: SfM points3D.bin + dense-init PLY; supplied footprints_aoi geometry used for target exterior/exclusion masks; no LoD2 roof height/plane or ALS elevation,1.500000000,312.750000000,false,true,146,0.500000000,448,32,0.071428571,1.000000000,146,204,29,0.142156863,0,244,3,0.012295082,5.908000000,5.908000000,0.650000000,5.761963816,5.908000000,5.908000000,0.650000000,5.761963816,,,,,failure,lod11_fallback,lod11_fallback,None,true,false,false,0.000000000,11.654820261,false,results/tum_transfer/e5_s3ap_phase3/jobs/gs_e5_C001_s3ap_b4907199_a1_dz_p1_r1/cityjson/gs_e5_C001_s3ap_b4907199_a1_dz_p1_r1.city.json,40,448,40,0.089285714,37,204,37,0.181372549,3,244,3,0.012295082,7.708000000,7.708000000,0.000000000,7.708000000,7.708000000,7.708000000,0.000000000,7.708000000,7.708000000,7.708000000,0.000000000,7.708000000,-0.154904640,0.154904640,0.101814674,0.194579178,1.000000000,204,1.000000000,-0.152675466,0.152675466,0.153451741,0.215269945,244,1.000000000,-0.155877613,0.155877613,0.068083580,0.175417054,false,,5.755324534,,false,false,false,fused roof height_error_abs_median_m,false,true,pointcloud_unusable_no_points,score-region and coverage mask opened after Roofer input finalization,LoD2 and supplied footprint are opened by score-job only after fused extraction and Roofer LAS/roofprint construction,EPSG:25832,results/tum_transfer/e5_s3ap_phase3/jobs/gs_e5_C001_s3ap_b4907199_a1_dz_p1_r1/extraction_manifest.json,results/tum_transfer/e5_s3ap_phase3/jobs/gs_e5_C001_s3ap_b4907199_a1_dz_p1_r1/roofer_input_manifest.json
gs_e5_C001_s3ap_b4907199_a1_dz_p2_r1,DEBY_LOD2_4907199,a1,r1,height,2.000000000,complete,,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a1_dz_p2_r1/ckpt/final.pt,8b1e37e6ea1f29aa80d1bd1fc2d6ee9ed3ab8ef66b11b7d613d3ed927465ccc7,results/tum_transfer/e5_s3ap_phase2/prepared/DEBY_LOD2_4907199,6,DJI_20241217095141_0077_D.png;DJI_20241217095145_0079_D.png;DJI_20241217095147_0080_D.png;DJI_20241217095149_0081_D.png;DJI_20241217095441_0023_D.png;DJI_20241217095531_0048_D.png,0.500000000,0.050000000,3,20,2.000000000,225184,11478,11289,198498,20135,19419,median,19419,-43.342000000,clean exterior 1m-cell q10 lower-mode median,elevation: SfM points3D.bin + dense-init PLY; supplied footprints_aoi geometry used for target exterior/exclusion masks; no LoD2 roof height/plane or ALS elevation,1.500000000,301.000000000,false,true,269,0.500000000,448,37,0.082589286,1.000000000,31,204,9,0.044117647,238,244,28,0.114754098,6.608000000,6.608000000,0.950000000,6.729646808,6.608000000,6.608000000,1.050000000,6.666531680,6.608000000,6.608000000,0.950000000,6.737824167,failure,lod11_fallback,lod11_fallback,None,true,false,false,0.000000000,11.522893285,false,results/tum_transfer/e5_s3ap_phase3/jobs/gs_e5_C001_s3ap_b4907199_a1_dz_p2_r1/cityjson/gs_e5_C001_s3ap_b4907199_a1_dz_p2_r1.city.json,45,448,45,0.100446429,17,204,17,0.083333333,28,244,28,0.114754098,8.507000000,8.507000000,0.000000000,8.225506212,8.458000000,8.458000000,0.000000000,8.048697640,8.507000000,8.507000000,0.000000000,8.331023747,-0.154904640,0.154904640,0.101814674,0.194579178,1.000000000,204,1.000000000,-0.152675466,0.152675466,0.153451741,0.215269945,244,1.000000000,-0.155877613,0.155877613,0.068083580,0.175417054,false,false,6.455324534,6.452122387,false,false,false,fused roof height_error_abs_median_m,false,true,pointcloud_unusable_no_points,score-region and coverage mask opened after Roofer input finalization,LoD2 and supplied footprint are opened by score-job only after fused extraction and Roofer LAS/roofprint construction,EPSG:25832,results/tum_transfer/e5_s3ap_phase3/jobs/gs_e5_C001_s3ap_b4907199_a1_dz_p2_r1/extraction_manifest.json,results/tum_transfer/e5_s3ap_phase3/jobs/gs_e5_C001_s3ap_b4907199_a1_dz_p2_r1/roofer_input_manifest.json
