sequence,job_id,job_class,building_id,arm,replicate,random_seed,height_delta_m,tilt_deg,config_path,config_sha256,data_root,surface_seed_npz,surface_seed_sha256,out_dir,final_checkpoint,iterations,gt_used,lod2_used,als_used,status
1,gs_e5_C001_s3ap_b4907199_a0_r1,base,4907199,a0,r1,2001,0.0,0.0,phases/p2-gsjso/runs/20260715_e5_c001_s3ap_phase2_prepare/configs/gs_e5_C001_s3ap_b4907199_a0_r1.yaml,411f43273dccb996d076f783934c8f1bd8803b764407082da4d905318187425c,results/tum_transfer/e5_s3ap_phase2/prepared/DEBY_LOD2_4907199,phases/p2-gsjso/runs/20260715_e5_c001_s3ap_phase1_seedprep/seeds/DEBY_LOD2_4907199_p0_surface_seed.npz,146a5134cb8958a98296ce5252852326f58a796bb1f6d58707d4655b0bec39ce,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a0_r1,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a0_r1/ckpt/final.pt,30000,False,False,False,prepared
2,gs_e5_C001_s3ap_b4907199_a0_r2,base,4907199,a0,r2,2002,0.0,0.0,phases/p2-gsjso/runs/20260715_e5_c001_s3ap_phase2_prepare/configs/gs_e5_C001_s3ap_b4907199_a0_r2.yaml,c3530ddb2454a38d4eddbfc7038905dc394c093d06974a668c78cb99d0cfa928,results/tum_transfer/e5_s3ap_phase2/prepared/DEBY_LOD2_4907199,phases/p2-gsjso/runs/20260715_e5_c001_s3ap_phase1_seedprep/seeds/DEBY_LOD2_4907199_p0_surface_seed.npz,146a5134cb8958a98296ce5252852326f58a796bb1f6d58707d4655b0bec39ce,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a0_r2,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a0_r2/ckpt/final.pt,30000,False,False,False,prepared
3,gs_e5_C001_s3ap_b4907199_a1_r1,base,4907199,a1,r1,2001,0.0,0.0,phases/p2-gsjso/runs/20260715_e5_c001_s3ap_phase2_prepare/configs/gs_e5_C001_s3ap_b4907199_a1_r1.yaml,d3aebe98c82e763726cda048458d94fdc58985e825b7778018013444eb216b7c,results/tum_transfer/e5_s3ap_phase2/prepared/DEBY_LOD2_4907199,results/tum_transfer/e5_s3ap_phase2/prepared/DEBY_LOD2_4907199/seeds/DEBY_LOD2_4907199_a1a2_surface_seed.npz,709ca995719da80d2d586a99264d39a1164ca0f46e3960df01acc111a21fc90e,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a1_r1,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a1_r1/ckpt/final.pt,30000,False,False,False,prepared
4,gs_e5_C001_s3ap_b4907199_a1_r2,base,4907199,a1,r2,2002,0.0,0.0,phases/p2-gsjso/runs/20260715_e5_c001_s3ap_phase2_prepare/configs/gs_e5_C001_s3ap_b4907199_a1_r2.yaml,fef217863f1c3daee6de6100a8e8cf5039134755f9246053c6f6cd7dcf7f6c11,results/tum_transfer/e5_s3ap_phase2/prepared/DEBY_LOD2_4907199,results/tum_transfer/e5_s3ap_phase2/prepared/DEBY_LOD2_4907199/seeds/DEBY_LOD2_4907199_a1a2_surface_seed.npz,709ca995719da80d2d586a99264d39a1164ca0f46e3960df01acc111a21fc90e,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a1_r2,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a1_r2/ckpt/final.pt,30000,False,False,False,prepared
5,gs_e5_C001_s3ap_b4907199_a2_r1,base,4907199,a2,r1,2001,0.0,0.0,phases/p2-gsjso/runs/20260715_e5_c001_s3ap_phase2_prepare/configs/gs_e5_C001_s3ap_b4907199_a2_r1.yaml,dbf6dbcccd8f9e686c6b6371c0502d7dbb6205c82ef72d44d80d82004738db1d,results/tum_transfer/e5_s3ap_phase2/prepared/DEBY_LOD2_4907199,results/tum_transfer/e5_s3ap_phase2/prepared/DEBY_LOD2_4907199/seeds/DEBY_LOD2_4907199_a1a2_surface_seed.npz,709ca995719da80d2d586a99264d39a1164ca0f46e3960df01acc111a21fc90e,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a2_r1,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a2_r1/ckpt/final.pt,30000,False,False,False,prepared
6,gs_e5_C001_s3ap_b4907199_a2_r2,base,4907199,a2,r2,2002,0.0,0.0,phases/p2-gsjso/runs/20260715_e5_c001_s3ap_phase2_prepare/configs/gs_e5_C001_s3ap_b4907199_a2_r2.yaml,ffb65e94d725114e4beab4de70907223d9f841aa4071a0a456e2e87e44f7f148,results/tum_transfer/e5_s3ap_phase2/prepared/DEBY_LOD2_4907199,results/tum_transfer/e5_s3ap_phase2/prepared/DEBY_LOD2_4907199/seeds/DEBY_LOD2_4907199_a1a2_surface_seed.npz,709ca995719da80d2d586a99264d39a1164ca0f46e3960df01acc111a21fc90e,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a2_r2,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a2_r2/ckpt/final.pt,30000,False,False,False,prepared
7,gs_e5_C001_s3ap_b8568391_a0_r1,base,8568391,a0,r1,2001,0.0,0.0,phases/p2-gsjso/runs/20260715_e5_c001_s3ap_phase2_prepare/configs/gs_e5_C001_s3ap_b8568391_a0_r1.yaml,7b0334151538d3bb268e226af7f7d6b1133f955eb5d874df6af24b45bea17af9,results/tum_transfer/e5_s3ap_phase2/prepared/DEBY_LOD2_8568391,phases/p2-gsjso/runs/20260715_e5_c001_s3ap_phase1_seedprep/seeds/DEBY_LOD2_8568391_p0_surface_seed.npz,237fbb2f4a4737cef95874f73bc46b365bc55c574a65c52dfebabd92b1fbf33e,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b8568391_a0_r1,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b8568391_a0_r1/ckpt/final.pt,30000,False,False,False,prepared
8,gs_e5_C001_s3ap_b8568391_a0_r2,base,8568391,a0,r2,2002,0.0,0.0,phases/p2-gsjso/runs/20260715_e5_c001_s3ap_phase2_prepare/configs/gs_e5_C001_s3ap_b8568391_a0_r2.yaml,6de75b0cff917fdcb47d26df56509168d9e89ff03a02f027fffc60ea2a691bdc,results/tum_transfer/e5_s3ap_phase2/prepared/DEBY_LOD2_8568391,phases/p2-gsjso/runs/20260715_e5_c001_s3ap_phase1_seedprep/seeds/DEBY_LOD2_8568391_p0_surface_seed.npz,237fbb2f4a4737cef95874f73bc46b365bc55c574a65c52dfebabd92b1fbf33e,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b8568391_a0_r2,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b8568391_a0_r2/ckpt/final.pt,30000,False,False,False,prepared
9,gs_e5_C001_s3ap_b8568391_a1_r1,base,8568391,a1,r1,2001,0.0,0.0,phases/p2-gsjso/runs/20260715_e5_c001_s3ap_phase2_prepare/configs/gs_e5_C001_s3ap_b8568391_a1_r1.yaml,090b372c7311d7f6ff1307356cfcc4d305b1d090bc1add6bfd137cf3ee346a82,results/tum_transfer/e5_s3ap_phase2/prepared/DEBY_LOD2_8568391,results/tum_transfer/e5_s3ap_phase2/prepared/DEBY_LOD2_8568391/seeds/DEBY_LOD2_8568391_a1a2_surface_seed.npz,ed5c5f90fb9adc2853c0b8744905e5a2f951bca8ffdf96095e0ca6a49eb7247a,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b8568391_a1_r1,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b8568391_a1_r1/ckpt/final.pt,30000,False,False,False,prepared
10,gs_e5_C001_s3ap_b8568391_a1_r2,base,8568391,a1,r2,2002,0.0,0.0,phases/p2-gsjso/runs/20260715_e5_c001_s3ap_phase2_prepare/configs/gs_e5_C001_s3ap_b8568391_a1_r2.yaml,674991e3e8e1c2db3f6adce773b5cbb7405947046ff5d5ed12f4b21d1f33d2ad,results/tum_transfer/e5_s3ap_phase2/prepared/DEBY_LOD2_8568391,results/tum_transfer/e5_s3ap_phase2/prepared/DEBY_LOD2_8568391/seeds/DEBY_LOD2_8568391_a1a2_surface_seed.npz,ed5c5f90fb9adc2853c0b8744905e5a2f951bca8ffdf96095e0ca6a49eb7247a,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b8568391_a1_r2,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b8568391_a1_r2/ckpt/final.pt,30000,False,False,False,prepared
11,gs_e5_C001_s3ap_b8568391_a2_r1,base,8568391,a2,r1,2001,0.0,0.0,phases/p2-gsjso/runs/20260715_e5_c001_s3ap_phase2_prepare/configs/gs_e5_C001_s3ap_b8568391_a2_r1.yaml,cc185b9e4c25c88fb804cc2874337a17ed44b005a490f9a54cedf913c125ce8e,results/tum_transfer/e5_s3ap_phase2/prepared/DEBY_LOD2_8568391,results/tum_transfer/e5_s3ap_phase2/prepared/DEBY_LOD2_8568391/seeds/DEBY_LOD2_8568391_a1a2_surface_seed.npz,ed5c5f90fb9adc2853c0b8744905e5a2f951bca8ffdf96095e0ca6a49eb7247a,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b8568391_a2_r1,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b8568391_a2_r1/ckpt/final.pt,30000,False,False,False,prepared
12,gs_e5_C001_s3ap_b8568391_a2_r2,base,8568391,a2,r2,2002,0.0,0.0,phases/p2-gsjso/runs/20260715_e5_c001_s3ap_phase2_prepare/configs/gs_e5_C001_s3ap_b8568391_a2_r2.yaml,f02156afea5834a54523149b2d5e573dc56108a086ee58c73442b632d13b6f47,results/tum_transfer/e5_s3ap_phase2/prepared/DEBY_LOD2_8568391,results/tum_transfer/e5_s3ap_phase2/prepared/DEBY_LOD2_8568391/seeds/DEBY_LOD2_8568391_a1a2_surface_seed.npz,ed5c5f90fb9adc2853c0b8744905e5a2f951bca8ffdf96095e0ca6a49eb7247a,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b8568391_a2_r2,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b8568391_a2_r2/ckpt/final.pt,30000,False,False,False,prepared
13,gs_e5_C001_s3ap_b8568392_a0_r1,base,8568392,a0,r1,2001,0.0,0.0,phases/p2-gsjso/runs/20260715_e5_c001_s3ap_phase2_prepare/configs/gs_e5_C001_s3ap_b8568392_a0_r1.yaml,c0188c075a366ba0ff244b216c9dff3074daa83aafa4904761dc00d51ef7bd76,results/tum_transfer/e5_s3ap_phase2/prepared/DEBY_LOD2_8568392,phases/p2-gsjso/runs/20260715_e5_c001_s3ap_phase1_seedprep/seeds/DEBY_LOD2_8568392_p0_surface_seed.npz,2c4a6a4b48b14658ac84c3d3f827099e7043e81f7bc443c27d9c436f95178c5e,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b8568392_a0_r1,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b8568392_a0_r1/ckpt/final.pt,30000,False,False,False,prepared
14,gs_e5_C001_s3ap_b8568392_a0_r2,base,8568392,a0,r2,2002,0.0,0.0,phases/p2-gsjso/runs/20260715_e5_c001_s3ap_phase2_prepare/configs/gs_e5_C001_s3ap_b8568392_a0_r2.yaml,e661b5f4ecd7026f66367003292b2e41b8d6f9a0c705581affe5cd74dfd5c0ac,results/tum_transfer/e5_s3ap_phase2/prepared/DEBY_LOD2_8568392,phases/p2-gsjso/runs/20260715_e5_c001_s3ap_phase1_seedprep/seeds/DEBY_LOD2_8568392_p0_surface_seed.npz,2c4a6a4b48b14658ac84c3d3f827099e7043e81f7bc443c27d9c436f95178c5e,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b8568392_a0_r2,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b8568392_a0_r2/ckpt/final.pt,30000,False,False,False,prepared
