building_id,attempt,is_final,view_order,view,registration_split,diagnostic_only,valid,registration_usable,status_reason,median_residual_px,p90_residual_px,median_residual_m,p90_residual_m,residual_px,residual_m,registration_candidate_e_m,registration_candidate_n_m,registration_candidate_norm_m,equivalent_dE_m,equivalent_dN_m,coherent_fit_median_abs_error_px,coherent_fit_p90_abs_error_px,edge_localization_uncertainty_p90_m,forward_median_residual_px,forward_p90_residual_px,reverse_median_residual_px,reverse_p90_residual_px,forward_median_residual_m,forward_p90_residual_m,reverse_median_residual_m,reverse_p90_residual_m,translation_diagnostic_dx_px,translation_diagnostic_dy_px,translation_diagnostic_relative_margin,translation_diagnostic_ambiguous,translation_diagnostic_border_hit,spatial_null_pvalue,spatial_null_q10_median_px,spatial_null_separation_px,spatial_null_valid_trials,building_median_m,building_p90_m,building_median_px,building_p90_px,n_selected_views,n_valid_views,n_als_class6_total,n_als_class6_inframe,n_als_class2_total,n_als_class2_inframe,n_boundary,n_boundary_source,n_boundary_matched,boundary_visible_fraction,oriented_match_fraction,reverse_match_fraction,n_edge_points,edge_high_threshold,edge_low_threshold,xy_jacobian_condition_median,xy_jacobian_condition_max,normal_sensitivity_px_per_m_median,view_nadir_deg,frame_radius,observability_p90_m_per_px,predicted_metric_uncertainty_m,azimuth_bin,micro_shift_e_m,micro_shift_n_m,micro_shift_norm_m,crs,input_vertical_datum,orthometric_geoid_m,projection_datum_config,pose_source,pose_sha256,camera_source,camera_sha256,footprint_source_kind,footprint_gt_derived,gt_xy_exception_used,als_classes_used,edge_residual_driver,als_class2_role,forbidden_gt_used,lod2_z_used,roofsurface_used,roof_type_used,semantic_class_used,final_roof_model_used
DEBY_LOD2_42364659,raw,false,1,DJI_20241217091211_0128_D.JPG,fit,true,false,false,reverse_edge_match_fraction_below_lock;view_p90_minus_median_px_above_lock;translation_diagnostic_ambiguous;spatial_null_confidence_not_met;normal_equation_median_coherence_above_lock;normal_equation_p90_coherence_above_lock,2.633008,43.384867,0.200847,3.098365,2.633008,0.200847,-0.076740,0.002307,0.076775,-0.076740,0.002307,2.127674,28.491815,0.053772,2.633008,43.384867,80.000000,80.000000,0.200847,3.098365,5.440267,6.431933,66.977425,56.146407,0.042904,true,false,0.054054,3.518702,0.885694,36,,,,,30,0,847,847,1807,1726,84,120,81,0.700000,0.964286,0.269443,8578,24.585389,9.834156,1.005172,1.005742,12.867311,24.995430,0.957193,0.080446,0.008045,0,0.000000,0.000000,0.000000,EPSG:25832,orthometric,45.700000,configs/projection_datum.json,phases/p0-audit/data/work/mvs/colmap_dense/sparse/images.bin,dfc779496ee3b13f8df5dd28fae465746ce0adf4aca7922d38cbed275a2fd951,phases/p0-audit/data/work/mvs/colmap_dense/sparse/cameras.bin,652bbe3f674512358edcb148527131581475f0a30b93a8b5250718e30e388f99,lod2_groundsurface_xy_scoped_exception,true,true,2;6,visible_eave_direct_signed_normal_point_to_edge,projected_ground_context_and_class_contract_audit,false,false,false,false,false,false
DEBY_LOD2_42364659,raw,false,2,DJI_20241217091203_0124_D.JPG,fit,true,false,false,reverse_edge_match_fraction_below_lock;view_p90_minus_median_px_above_lock;normal_equation_p90_coherence_above_lock,1.542164,10.711843,0.122584,0.788192,1.542164,0.122584,-0.019286,-0.004193,0.019736,-0.019286,-0.004193,1.469458,10.742710,0.061968,1.542164,10.711843,80.000000,80.000000,0.122584,0.788192,5.704325,6.465824,-1.198314,1.938176,0.190482,false,false,0.027027,3.803907,2.261743,36,,,,,30,0,847,847,1807,1807,106,120,106,0.883333,1.000000,0.364655,11313,25.288912,10.115565,1.004074,1.005396,12.543618,10.311198,0.606283,0.080654,0.008065,1,0.000000,0.000000,0.000000,EPSG:25832,orthometric,45.700000,configs/projection_datum.json,phases/p0-audit/data/work/mvs/colmap_dense/sparse/images.bin,dfc779496ee3b13f8df5dd28fae465746ce0adf4aca7922d38cbed275a2fd951,phases/p0-audit/data/work/mvs/colmap_dense/sparse/cameras.bin,652bbe3f674512358edcb148527131581475f0a30b93a8b5250718e30e388f99,lod2_groundsurface_xy_scoped_exception,true,true,2;6,visible_eave_direct_signed_normal_point_to_edge,projected_ground_context_and_class_contract_audit,false,false,false,false,false,false
DEBY_LOD2_42364659,raw,false,3,DJI_20241217091013_0069_D.JPG,heldout,true,false,false,reverse_edge_match_fraction_below_lock;view_p90_minus_median_px_above_lock;spatial_null_confidence_not_met;normal_equation_median_coherence_above_lock;normal_equation_p90_coherence_above_lock,6.042568,24.702582,0.461049,1.993221,6.042568,0.461049,0.114865,-0.065755,0.132354,0.114865,-0.065755,7.254042,23.151535,0.067159,6.042568,24.702582,80.000000,80.000000,0.461049,1.993221,6.160242,6.529045,-61.774877,60.086706,0.080029,false,false,0.054054,7.766043,1.723476,36,,,,,30,0,847,847,1807,1807,115,120,115,0.958333,1.000000,0.257740,11352,31.023306,12.409322,1.006911,1.008631,12.418343,27.536100,0.924160,0.081335,0.008134,3,0.000000,0.000000,0.000000,EPSG:25832,orthometric,45.700000,configs/projection_datum.json,phases/p0-audit/data/work/mvs/colmap_dense/sparse/images.bin,dfc779496ee3b13f8df5dd28fae465746ce0adf4aca7922d38cbed275a2fd951,phases/p0-audit/data/work/mvs/colmap_dense/sparse/cameras.bin,652bbe3f674512358edcb148527131581475f0a30b93a8b5250718e30e388f99,lod2_groundsurface_xy_scoped_exception,true,true,2;6,visible_eave_direct_signed_normal_point_to_edge,projected_ground_context_and_class_contract_audit,false,false,false,false,false,false
DEBY_LOD2_42364659,raw,false,4,DJI_20241217091017_0071_D.JPG,fit,true,false,false,reverse_edge_match_fraction_below_lock;view_p90_minus_median_px_above_lock;translation_diagnostic_ambiguous;normal_equation_median_coherence_above_lock;normal_equation_p90_coherence_above_lock,3.198501,25.531012,0.242928,2.062960,3.198501,0.242928,0.024344,-0.004446,0.024747,0.024344,-0.004446,3.297336,25.230055,0.076397,3.198501,25.531012,80.000000,80.000000,0.242928,2.062960,5.510079,6.520523,14.133234,20.259533,0.037195,true,false,0.027027,6.860710,3.662209,36,,,,,30,0,847,847,1807,1807,117,120,117,0.975000,1.000000,0.293108,12466,31.031927,12.412771,1.009029,1.011650,12.502770,30.008836,1.155943,0.080848,0.008085,4,0.000000,0.000000,0.000000,EPSG:25832,orthometric,45.700000,configs/projection_datum.json,phases/p0-audit/data/work/mvs/colmap_dense/sparse/images.bin,dfc779496ee3b13f8df5dd28fae465746ce0adf4aca7922d38cbed275a2fd951,phases/p0-audit/data/work/mvs/colmap_dense/sparse/cameras.bin,652bbe3f674512358edcb148527131581475f0a30b93a8b5250718e30e388f99,lod2_groundsurface_xy_scoped_exception,true,true,2;6,visible_eave_direct_signed_normal_point_to_edge,projected_ground_context_and_class_contract_audit,false,false,false,false,false,false
DEBY_LOD2_42364659,raw,false,5,DJI_20241217091155_0120_D.JPG,fit,true,false,false,reverse_edge_match_fraction_below_lock;view_p90_minus_median_px_above_lock;spatial_null_confidence_not_met;normal_equation_p90_coherence_above_lock,1.544920,9.351196,0.118665,0.749944,1.544920,0.118665,-0.019699,0.008327,0.021387,-0.019699,0.008327,1.439819,9.608266,0.055298,1.544920,9.351196,80.000000,80.000000,0.118665,0.749944,5.531102,6.507525,-2.015093,-2.716071,0.115258,false,false,0.027027,2.249726,0.704806,36,,,,,30,0,847,847,1807,1807,108,120,108,0.900000,1.000000,0.393914,9611,29.724725,11.889890,1.001329,1.002647,12.474807,9.902121,0.461686,0.081215,0.008122,5,0.000000,0.000000,0.000000,EPSG:25832,orthometric,45.700000,configs/projection_datum.json,phases/p0-audit/data/work/mvs/colmap_dense/sparse/images.bin,dfc779496ee3b13f8df5dd28fae465746ce0adf4aca7922d38cbed275a2fd951,phases/p0-audit/data/work/mvs/colmap_dense/sparse/cameras.bin,652bbe3f674512358edcb148527131581475f0a30b93a8b5250718e30e388f99,lod2_groundsurface_xy_scoped_exception,true,true,2;6,visible_eave_direct_signed_normal_point_to_edge,projected_ground_context_and_class_contract_audit,false,false,false,false,false,false
DEBY_LOD2_42364659,raw,false,6,DJI_20241217091233_0139_D.JPG,heldout,true,false,false,reverse_edge_match_fraction_below_lock;view_p90_minus_median_px_above_lock;translation_diagnostic_ambiguous;spatial_null_confidence_not_met;normal_equation_median_coherence_above_lock;normal_equation_p90_coherence_above_lock,12.084018,45.706534,0.950847,3.444687,12.084018,0.950847,-0.242423,-0.317998,0.399864,-0.242423,-0.317998,11.733969,45.489012,0.088059,12.084018,45.706534,80.000000,80.000000,0.950847,3.444687,6.305298,6.572354,70.473637,-24.076402,0.039942,true,false,0.727273,4.697923,-7.386095,21,,,,,30,0,847,586,1807,1046,67,120,67,0.971014,1.000000,0.284506,4884,33.509916,13.403966,1.012838,1.014135,12.678375,38.972837,1.373024,0.079881,0.007988,6,0.000000,0.000000,0.000000,EPSG:25832,orthometric,45.700000,configs/projection_datum.json,phases/p0-audit/data/work/mvs/colmap_dense/sparse/images.bin,dfc779496ee3b13f8df5dd28fae465746ce0adf4aca7922d38cbed275a2fd951,phases/p0-audit/data/work/mvs/colmap_dense/sparse/cameras.bin,652bbe3f674512358edcb148527131581475f0a30b93a8b5250718e30e388f99,lod2_groundsurface_xy_scoped_exception,true,true,2;6,visible_eave_direct_signed_normal_point_to_edge,projected_ground_context_and_class_contract_audit,false,false,false,false,false,false
DEBY_LOD2_42364659,raw,false,7,DJI_20241217091223_0134_D.JPG,heldout,true,false,false,GateContractError:robust translation IRLS did not converge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,0,847,,1807,,,,,,,,,,,,,,32.103079,1.018520,0.080379,0.008038,7,0.000000,0.000000,0.000000,EPSG:25832,orthometric,45.700000,configs/projection_datum.json,phases/p0-audit/data/work/mvs/colmap_dense/sparse/images.bin,dfc779496ee3b13f8df5dd28fae465746ce0adf4aca7922d38cbed275a2fd951,phases/p0-audit/data/work/mvs/colmap_dense/sparse/cameras.bin,652bbe3f674512358edcb148527131581475f0a30b93a8b5250718e30e388f99,lod2_groundsurface_xy_scoped_exception,true,true,2;6,visible_eave_direct_signed_normal_point_to_edge,projected_ground_context_and_class_contract_audit,false,false,false,false,false,false
DEBY_LOD2_42364659,raw,false,8,DJI_20241217091209_0127_D.JPG,fit,true,false,false,reverse_edge_match_fraction_below_lock;view_p90_minus_median_px_above_lock;translation_diagnostic_ambiguous;normal_equation_p90_coherence_above_lock,1.644672,38.158036,0.123503,3.043508,1.644672,0.123503,-0.061179,-0.086384,0.105854,-0.061179,-0.086384,1.596748,31.667837,0.052292,1.644672,38.158036,80.000000,80.000000,0.123503,3.043508,5.447962,6.446734,-40.219048,0.106067,0.029710,true,false,0.027027,2.645679,1.001008,36,,,,,30,0,847,847,1807,1807,109,120,105,0.908333,0.963303,0.362934,9351,27.135896,10.854359,1.003567,1.004034,12.561050,18.655556,0.700514,0.080497,0.008050,0,0.000000,0.000000,0.000000,EPSG:25832,orthometric,45.700000,configs/projection_datum.json,phases/p0-audit/data/work/mvs/colmap_dense/sparse/images.bin,dfc779496ee3b13f8df5dd28fae465746ce0adf4aca7922d38cbed275a2fd951,phases/p0-audit/data/work/mvs/colmap_dense/sparse/cameras.bin,652bbe3f674512358edcb148527131581475f0a30b93a8b5250718e30e388f99,lod2_groundsurface_xy_scoped_exception,true,true,2;6,visible_eave_direct_signed_normal_point_to_edge,projected_ground_context_and_class_contract_audit,false,false,false,false,false,false
DEBY_LOD2_42364659,raw,false,9,DJI_20241217091201_0123_D.JPG,heldout,true,false,false,reverse_edge_match_fraction_below_lock;view_p90_minus_median_px_above_lock;spatial_null_confidence_not_met;normal_equation_p90_coherence_above_lock,1.583199,7.952488,0.123862,0.593225,1.583199,0.123862,-0.018601,-0.026747,0.032579,-0.018601,-0.026747,1.546653,8.135231,0.052607,1.583199,7.952488,80.000000,80.000000,0.123862,0.593225,5.642330,6.470860,-1.416188,1.045195,0.167955,false,false,0.027027,2.413861,0.830662,36,,,,,30,0,847,847,1807,1807,107,120,107,0.891667,1.000000,0.380152,10017,23.904193,9.561677,1.004193,1.005595,12.536232,10.069261,0.607783,0.080709,0.008071,1,0.000000,0.000000,0.000000,EPSG:25832,orthometric,45.700000,configs/projection_datum.json,phases/p0-audit/data/work/mvs/colmap_dense/sparse/images.bin,dfc779496ee3b13f8df5dd28fae465746ce0adf4aca7922d38cbed275a2fd951,phases/p0-audit/data/work/mvs/colmap_dense/sparse/cameras.bin,652bbe3f674512358edcb148527131581475f0a30b93a8b5250718e30e388f99,lod2_groundsurface_xy_scoped_exception,true,true,2;6,visible_eave_direct_signed_normal_point_to_edge,projected_ground_context_and_class_contract_audit,false,false,false,false,false,false
DEBY_LOD2_42364659,raw,false,10,DJI_20241217091011_0068_D.JPG,heldout,true,false,false,reverse_edge_match_fraction_below_lock;view_p90_minus_median_px_above_lock;normal_equation_median_coherence_above_lock;normal_equation_p90_coherence_above_lock,4.271907,25.367305,0.344745,2.064876,4.271907,0.344745,0.082431,-0.100697,0.130134,0.082431,-0.100697,3.441302,24.124530,0.061989,4.271907,25.367305,80.000000,80.000000,0.344745,2.064876,6.165313,6.569015,-79.092727,4.916248,0.124052,false,false,0.027027,8.013680,3.741773,36,,,,,30,0,847,847,1807,1807,115,120,115,0.958333,1.000000,0.261284,10401,30.956451,12.382580,1.006070,1.007345,12.388420,27.419420,0.885073,0.081458,0.008146,3,0.000000,0.000000,0.000000,EPSG:25832,orthometric,45.700000,configs/projection_datum.json,phases/p0-audit/data/work/mvs/colmap_dense/sparse/images.bin,dfc779496ee3b13f8df5dd28fae465746ce0adf4aca7922d38cbed275a2fd951,phases/p0-audit/data/work/mvs/colmap_dense/sparse/cameras.bin,652bbe3f674512358edcb148527131581475f0a30b93a8b5250718e30e388f99,lod2_groundsurface_xy_scoped_exception,true,true,2;6,visible_eave_direct_signed_normal_point_to_edge,projected_ground_context_and_class_contract_audit,false,false,false,false,false,false
