selection_order,building_id,image_name,image_id,camera_id,width,height,class6_inframe_n,class6_visible_n,frame_radius,nadir_deg,azimuth_bin,corrected_pose_source_sha256,image_path,image_sha256,selection_used_image_intensity
1,DEBY_LOD2_42364609,DJI_20241217084827_0177_D.JPG,168,1,1400,1013,349,345,1.161063782448,34.633816386586,0,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/images/DJI_20241217084827_0177_D.JPG,ec27f0832e3c31fb7157d63081e7c9a30c09a1c7e4da9c0dfd537105c053019f,false
2,DEBY_LOD2_42364609,DJI_20241217095127_0070_D.JPG,428,1,1400,1013,349,139,0.963683771430,81.817488122734,5,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/images/DJI_20241217095127_0070_D.JPG,48ec231f9c3e8685b5ccecdc0cbfca672e61775447c311d4f5fb83650598ea57,false
3,DEBY_LOD2_42364609,DJI_20241217102933_0012_D.JPG,827,1,1400,1013,349,349,1.293451127279,70.807915812808,6,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/images/DJI_20241217102933_0012_D.JPG,97448116b2b6c438c46d7ce84aec2a568315e873ce889de673465d593ad580b9,false
4,DEBY_LOD2_42364609,DJI_20241217084829_0178_D.JPG,169,1,1400,1013,349,348,1.036028486909,33.102396867174,7,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/images/DJI_20241217084829_0178_D.JPG,a9f49d7c211e710ed71e9214f2e275c29e513b52118f89f7827c51855669e82d,false
5,DEBY_LOD2_42364609,DJI_20241217084825_0176_D.JPG,167,1,1400,1013,348,344,1.230072128987,36.652676399301,0,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/images/DJI_20241217084825_0176_D.JPG,5a09641c9cf94068e7cd346cfbd0545aa694fa5a608f56dbdc7b3b60e1de85e3,false
6,DEBY_LOD2_42364609,DJI_20241217095139_0076_D.JPG,432,1,1400,1013,349,129,0.897528672491,81.652723664003,5,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/images/DJI_20241217095139_0076_D.JPG,673a57be9542fd143a9d3ca48b8db7f5bf8f0e1733d7dbd941bdae371bc40e9e,false
7,DEBY_LOD2_42364609,DJI_20241217102935_0013_D.JPG,828,1,1400,1013,349,347,1.044908136991,69.983730649015,6,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/images/DJI_20241217102935_0013_D.JPG,0fd8c69aa35cabdb07bc87aff631d4301656d992897c2c4ba9d2603596b2f4c7,false
8,DEBY_LOD2_42364609,DJI_20241217102939_0015_D.JPG,831,1,1400,1013,349,347,0.676498251960,69.317429679614,7,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/images/DJI_20241217102939_0015_D.JPG,99cabf47846e2dd58a12d4d76c4e48fee91b14a707607e6358fbc247a3e18027,false
9,DEBY_LOD2_42364609,DJI_20241217095141_0077_D.JPG,433,1,1400,1013,349,127,0.390295672721,81.615785385447,5,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/images/DJI_20241217095141_0077_D.JPG,cab69d6ec2996b46a7c0221c50cc9d1a9c34e0f0bd88471e440e2ed0637ca1ab,false
10,DEBY_LOD2_42364609,DJI_20241217084837_0182_D.JPG,173,1,1400,1013,297,296,1.136172577836,37.796597434113,6,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/images/DJI_20241217084837_0182_D.JPG,9dfbc15a20db845015dd03e7b58b178d0f0530bfa416d0271b6d5b172999d846,false
11,DEBY_LOD2_42364609,DJI_20241217084833_0180_D.JPG,171,1,1400,1013,349,347,0.981238550651,33.580999536760,7,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/images/DJI_20241217084833_0180_D.JPG,2bcd64268b4345738b97d4d0514a1217ec23dd20a4c82fec494274821f70475a,false
12,DEBY_LOD2_42364609,DJI_20241217095125_0069_D.JPG,426,1,1400,1013,349,127,0.738319827427,81.838298603923,5,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/images/DJI_20241217095125_0069_D.JPG,4402a3ce97d54038b914c518d842b847aa587b21a4aba0ad3550ce05db176307,false
13,DEBY_LOD2_42364609,DJI_20241217102529_0017_D.JPG,763,1,1400,1013,349,169,0.770745630732,80.542992685473,6,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/images/DJI_20241217102529_0017_D.JPG,d7343642217aa33e7fb56f57d8fceb21bc5b257df49a268ec47d62589fcba7bb,false
14,DEBY_LOD2_42364609,DJI_20241217102937_0014_D.JPG,829,1,1400,1013,349,346,0.824101487336,69.536380474585,7,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/images/DJI_20241217102937_0014_D.JPG,ab02c74065e34d00675a8cf9fbb2bb0ad7753264b07a923827828820de56124b,false
15,DEBY_LOD2_42364609,DJI_20241217095121_0067_D.JPG,425,1,1400,1013,349,124,0.710012534509,81.885481060311,5,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/images/DJI_20241217095121_0067_D.JPG,97305ecffb319ebe8678f694bc27948955d05d5340db747bb9a36ffea452fb87,false
16,DEBY_LOD2_42364609,DJI_20241217094536_0024_D.JPG,376,1,1400,1013,349,160,1.012037489704,83.854678864348,6,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/images/DJI_20241217094536_0024_D.JPG,504b084466a0bb13dd16a389606a90e2422ba237a0c15e2121033e71f8258cfd,false
17,DEBY_LOD2_42364609,DJI_20241217084835_0181_D.JPG,172,1,1400,1013,348,345,1.041831962225,35.378465138615,7,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/images/DJI_20241217084835_0181_D.JPG,c1e334ad871f0d39a0e381b65b7e67f464536266459420feedef226825403aac,false
18,DEBY_LOD2_42364609,DJI_20241217095149_0081_D.JPG,437,1,1400,1013,349,118,0.386254635724,81.604209035635,5,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/images/DJI_20241217095149_0081_D.JPG,4881a8f2dcdb0924001ee5f5475f9921363d4770b1085638f20c9f506c3677f5,false
19,DEBY_LOD2_42364609,DJI_20241217094953_0023_D.JPG,404,1,1400,1013,349,149,1.098985853042,82.906088977409,6,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/images/DJI_20241217094953_0023_D.JPG,18231b9ff668bada57bbe3cd421aa8346d17674395a7ed3cf6f2ce4bb7b56b0e,false
20,DEBY_LOD2_42364609,DJI_20241217084831_0179_D.JPG,170,1,1400,1013,349,344,0.974161519019,32.791668448798,7,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/images/DJI_20241217084831_0179_D.JPG,baf2bb255d62977b2486c2c72311af909dab3ae6c43eb3932a57ff39b98cb17b,false
21,DEBY_LOD2_42364609,DJI_20241217095123_0068_D.JPG,427,1,1400,1013,349,117,0.626943221904,81.860152729291,5,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/images/DJI_20241217095123_0068_D.JPG,4ed592488c488870fcf943fb80a79fec8b78e121cf174276a31d8958e1a8e2d1,false
22,DEBY_LOD2_42364609,DJI_20241217095013_0033_D.JPG,411,1,1400,1013,349,148,1.183270085468,82.724100745261,6,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/images/DJI_20241217095013_0033_D.JPG,7cfd860c5e00339ba20ea22d9c129855ca1964ce181f7c7f0a3998c196d3921a,false
23,DEBY_LOD2_42364609,DJI_20241217101453_0037_D.JPG,659,1,1400,1013,349,179,0.673789962245,78.218421659999,7,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/images/DJI_20241217101453_0037_D.JPG,b789af9e854326221f7fcca5c9a8c5a7ba1c582d56e13eee5d7e3d14a1078d98,false
24,DEBY_LOD2_42364609,DJI_20241217095145_0079_D.JPG,435,1,1400,1013,349,116,0.383650507559,81.604002908027,5,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/images/DJI_20241217095145_0079_D.JPG,72536c9d3b595c104c741eb92d25fae66af4e510194347b922046f247ca4b824,false
25,DEBY_LOD2_42364609,DJI_20241217095011_0032_D.JPG,412,1,1400,1013,349,145,1.239403711785,82.726476905830,6,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/images/DJI_20241217095011_0032_D.JPG,c8e5a08023e957144bc616ef8cecc97eca533807efa6248fa1433e3ea2084ac3,false
26,DEBY_LOD2_42364609,DJI_20241217101341_0023_D.JPG,647,1,1400,1013,347,162,1.078627211034,82.813727231293,7,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/images/DJI_20241217101341_0023_D.JPG,e3ee9755a353a24309d3d4d372729cb65ac87938315da82462ab2a9667dcc857,false
27,DEBY_LOD2_42364609,DJI_20241217095143_0078_D.JPG,434,1,1400,1013,349,114,0.381608144535,81.601865292631,5,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/images/DJI_20241217095143_0078_D.JPG,e1150573bc6f9110b7e2fc6b4d05de4f5a0d50facbf87ed568ba3746f020386e,false
28,DEBY_LOD2_42364609,DJI_20241217095103_0058_D.JPG,424,1,1400,1013,349,144,1.236113229261,82.141700572850,6,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/images/DJI_20241217095103_0058_D.JPG,550f2b31f789d7dae2d62c1321b724909344d04eef02ec41df5d640406abfe31,false
29,DEBY_LOD2_42364609,DJI_20241217101542_0008_D.JPG,667,1,1400,1013,348,156,1.078074000212,81.752024596787,7,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/images/DJI_20241217101542_0008_D.JPG,7f4645281d2beb03c50f387dcf258d6fb9baf108b53ffba9a2f3584dbade0481,false
30,DEBY_LOD2_42364609,DJI_20241217095147_0080_D.JPG,436,1,1400,1013,349,114,0.385110260927,81.605793015015,5,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/images/DJI_20241217095147_0080_D.JPG,d0ed3f7b90b28f4affd54e4156b50cf06daedff8c34fb0651599f735a28fcbb1,false
