selection_rank,building_id,tier,role,calibration_exposed,later_extension_judgment_eligible,centroid_x_m,centroid_y_m,core_footprint_distance_m,als_density_pts_m2,dim_density_pts_m2,support_geomean_pts_m2,maximin_distance_m,stable_tie_sha256,selection_reason,screen_uses_correspondence_residuals,screen_roof_fixed_points,screen_roof_moving_points,screen_roof_fixed_valid_normals,screen_roof_moving_valid_normals,screen_roof_pass,screen_ground_fixed_points,screen_ground_moving_points,screen_ground_fixed_valid_normals,screen_ground_moving_valid_normals,screen_ground_pass,geometry_feasibility_pass,prior_lock1_role,prior_fit_residual_exposed
1,DEBY_LOD2_42364665,surface,fit,true,false,690891.827746121,5336059.473244866,34.355572137,30.424242000,833.696960000,159.262670032,,27349f27cd78df94962f6d6800a92656f1fc32c47ebfba0eef4895bcf758071f,extension_allowed_tier_both_assembled;positive_density;no_core_overlap;core_distance_ge_20m;pre_role_geometry_feasibility_pass;support_seed_then_centroid_maximin,False,351,789,348,673,true,1231,2500,1223,1901,true,true,fit,true
2,DEBY_LOD2_8573848,surface,fit,true,false,691074.087978874,5336344.530686059,23.601143334,18.682571000,90.047043000,41.015975841,338.343815109,e77dec6af858cb84d83a8f08ba7cab0c47753344fa19675d1f2099fb0ca54fef,extension_allowed_tier_both_assembled;positive_density;no_core_overlap;core_distance_ge_20m;pre_role_geometry_feasibility_pass;support_seed_then_centroid_maximin,False,2500,2500,1882,2304,true,2500,2500,2482,2122,true,true,fit,true
3,DEBY_LOD2_4959320,surface,fit,true,false,691150.755619553,5335975.462855347,179.711248952,18.434700000,100.514679000,43.045998106,272.215703418,35a6a21490b43f454ca2ee61dcc2852bf93bc9d947ac6b0b4dca7cc0aa15fe8f,extension_allowed_tier_both_assembled;positive_density;no_core_overlap;core_distance_ge_20m;pre_role_geometry_feasibility_pass;support_seed_then_centroid_maximin,False,2500,2500,794,2170,true,2500,2500,2428,2481,true,true,fit,true
4,DEBY_LOD2_4907519,surface,fit,true,false,690935.379155655,5335866.099570357,51.462033354,18.151335000,100.921539000,42.800241391,198.217313234,56d9623ae2b5be28748d406b981df7616caef440f0b5f8928133df3f48b642b6,extension_allowed_tier_both_assembled;positive_density;no_core_overlap;core_distance_ge_20m;pre_role_geometry_feasibility_pass;support_seed_then_centroid_maximin,False,2500,2500,621,1069,true,2500,2500,2460,2236,true,true,fit,true
5,DEBY_LOD2_4906982,surface,fit,true,false,690950.537189507,5336221.640733213,39.066102939,11.336961000,362.202179000,64.080199574,172.467657894,c8c0d1c290e300793119af60d62480c61cc29cb0083e07125347743f973a6efb,extension_allowed_tier_both_assembled;positive_density;no_core_overlap;core_distance_ge_20m;pre_role_geometry_feasibility_pass;support_seed_then_centroid_maximin,False,2500,2500,2438,2331,true,2500,2500,2482,1995,true,true,fit,true
6,DEBY_LOD2_4959323,surface,fit,true,false,691066.460401454,5336095.945430933,121.235677443,19.324005000,504.358337000,98.722960987,147.043309315,789df02f59cc74aaa83cb88ec89bfe437238bb24024708ecb0b779e5ff2b3bca,extension_allowed_tier_both_assembled;positive_density;no_core_overlap;core_distance_ge_20m;pre_role_geometry_feasibility_pass;support_seed_then_centroid_maximin,False,2500,2500,2442,2388,true,2500,2500,2496,2319,true,true,fit,true
7,DEBY_LOD2_4907505,surface,fit,true,false,690818.108224352,5335936.415542078,25.409082254,18.839907000,102.405800000,43.923976918,136.736268808,aed49dee29a931961aa73274c6c5d8f112d85d7baf06ea48e0772314c4f0ff70,extension_allowed_tier_both_assembled;positive_density;no_core_overlap;core_distance_ge_20m;pre_role_geometry_feasibility_pass;support_seed_then_centroid_maximin,False,1766,751,1739,711,true,1635,639,1635,593,true,true,fit,true
8,DEBY_LOD2_108580335,surface,fit,true,false,691113.037048200,5336234.442409679,33.967498657,10.847725000,145.979919000,39.793843957,116.775248223,7463aa4be759efbe883c7f4ec06367e98648e2a49b79e8cb4e5e3b81fbd908e2,extension_allowed_tier_both_assembled;positive_density;no_core_overlap;core_distance_ge_20m;pre_role_geometry_feasibility_pass;support_seed_then_centroid_maximin,False,2500,2500,2467,2384,true,2500,2500,2500,2363,true,true,fit,true
9,DEBY_LOD2_4906989,surface,fit,true,false,690977.555138818,5336338.674281734,71.226723889,18.886631000,124.195457000,48.431743395,96.710323548,98b9306e1476d9c5b6f1401140b0c0468c9711b76948a0be982b079ed4d6cf3f,extension_allowed_tier_both_assembled;positive_density;no_core_overlap;core_distance_ge_20m;pre_role_geometry_feasibility_pass;support_seed_then_centroid_maximin,False,2428,2287,2375,2222,true,2143,2500,2143,2433,true,true,fit,true
10,DEBY_LOD2_4959461,surface,fit,true,false,691036.050681992,5336263.537687234,36.761686972,11.240254000,162.683350000,42.762158219,82.300885523,337a1d36aa4fe9c501f332c12d9366a595c806f03a3ec8176280f9dac1f582aa,extension_allowed_tier_both_assembled;positive_density;no_core_overlap;core_distance_ge_20m;pre_role_geometry_feasibility_pass;support_seed_then_centroid_maximin,False,2500,2500,2460,2287,true,2500,2500,2494,2148,true,true,fit,true
