building_id,tier,cohort,cohort_resolution_status,selection_reason,processing_order,queue_status,priority_bucket,source_cell_label,texture_low_gradient_fraction,selection_sources,gs4buildings_overlap_status,gs4buildings_overlap_reason
DEBY_LOD2_42364609,height,core,resolved_core,p0_dim_reconstruction_failure:coverage_control_population=yes;dim_failure_bucket_v1=roof_matching_assembly_failure,1,provisional_gs4_overlap_unresolved,01_p0_dim_failure,cell_2_anchored,0.546000,phases/p0-audit/docs/W3_2c_canonical_paired_status.csv,unresolvable_public_artifact_missing,official_public_per_building_id_or_georeferenced_footprint_crosswalk_not_available;id_inference_allowed=false;overlap_unknown_not_measured_as_zero
DEBY_LOD2_42364659,height,core,resolved_core,p0_dim_reconstruction_failure:coverage_control_population=yes;dim_failure_bucket_v1=roof_matching_assembly_failure,2,provisional_gs4_overlap_unresolved,01_p0_dim_failure,cell_2_anchored,0.522000,phases/p0-audit/docs/W3_2c_canonical_paired_status.csv,unresolvable_public_artifact_missing,official_public_per_building_id_or_georeferenced_footprint_crosswalk_not_available;id_inference_allowed=false;overlap_unknown_not_measured_as_zero
DEBY_LOD2_42364663,surface,core,resolved_core,p0_dim_reconstruction_failure:coverage_control_population=yes;dim_failure_bucket_v1=roof_matching_assembly_failure,3,provisional_gs4_overlap_unresolved,01_p0_dim_failure,cell_1_assembled,0.446000,phases/p0-audit/docs/W3_2c_canonical_paired_status.csv,unresolvable_public_artifact_missing,official_public_per_building_id_or_georeferenced_footprint_crosswalk_not_available;id_inference_allowed=false;overlap_unknown_not_measured_as_zero
DEBY_LOD2_4907182,outline,core,resolved_core,p0_dim_reconstruction_failure:coverage_control_population=yes;dim_failure_bucket_v1=roof_matching_assembly_failure,4,provisional_gs4_overlap_unresolved,01_p0_dim_failure,cell_3_outline_only,0.738000,phases/p0-audit/docs/W3_2c_canonical_paired_status.csv,unresolvable_public_artifact_missing,official_public_per_building_id_or_georeferenced_footprint_crosswalk_not_available;id_inference_allowed=false;overlap_unknown_not_measured_as_zero
DEBY_LOD2_4907510,height,core,resolved_core,p0_dim_reconstruction_failure:coverage_control_population=yes;dim_failure_bucket_v1=roof_matching_assembly_failure,5,provisional_gs4_overlap_unresolved,01_p0_dim_failure,cell_2_anchored,0.554000,phases/p0-audit/docs/W3_2c_canonical_paired_status.csv,unresolvable_public_artifact_missing,official_public_per_building_id_or_georeferenced_footprint_crosswalk_not_available;id_inference_allowed=false;overlap_unknown_not_measured_as_zero
DEBY_LOD2_4908050,outline,core,resolved_core,p0_dim_reconstruction_failure:coverage_control_population=yes;dim_failure_bucket_v1=roof_matching_assembly_failure,6,provisional_gs4_overlap_unresolved,01_p0_dim_failure,cell_3_outline_only,0.244000,phases/p0-audit/docs/W3_2c_canonical_paired_status.csv,unresolvable_public_artifact_missing,official_public_per_building_id_or_georeferenced_footprint_crosswalk_not_available;id_inference_allowed=false;overlap_unknown_not_measured_as_zero
DEBY_LOD2_4908166,height,core,resolved_core,p0_dim_reconstruction_failure:coverage_control_population=yes;dim_failure_bucket_v1=roof_matching_assembly_failure,7,provisional_gs4_overlap_unresolved,01_p0_dim_failure,cell_2_anchored,0.599000,phases/p0-audit/docs/W3_2c_canonical_paired_status.csv,unresolvable_public_artifact_missing,official_public_per_building_id_or_georeferenced_footprint_crosswalk_not_available;id_inference_allowed=false;overlap_unknown_not_measured_as_zero
DEBY_LOD2_4908176,height,core,resolved_core,p0_dim_reconstruction_failure:coverage_control_population=yes;dim_failure_bucket_v1=roof_matching_assembly_failure,8,provisional_gs4_overlap_unresolved,01_p0_dim_failure,cell_2_anchored,0.293000,phases/p0-audit/docs/W3_2c_canonical_paired_status.csv,unresolvable_public_artifact_missing,official_public_per_building_id_or_georeferenced_footprint_crosswalk_not_available;id_inference_allowed=false;overlap_unknown_not_measured_as_zero
DEBY_LOD2_4907184,surface,core,resolved_core,c001_dense_success_pair:row_type=building;dense_has_lod22=true,9,provisional_gs4_overlap_unresolved,03_c001_dense_success,cell_1_assembled,0.198000,docs/qs_rescore_pairs.csv,unresolvable_public_artifact_missing,official_public_per_building_id_or_georeferenced_footprint_crosswalk_not_available;id_inference_allowed=false;overlap_unknown_not_measured_as_zero
DEBY_LOD2_4907185,surface,core,resolved_core,c001_dense_success_pair:row_type=building;dense_has_lod22=true,10,provisional_gs4_overlap_unresolved,03_c001_dense_success,cell_1_assembled,0.338000,docs/qs_rescore_pairs.csv,unresolvable_public_artifact_missing,official_public_per_building_id_or_georeferenced_footprint_crosswalk_not_available;id_inference_allowed=false;overlap_unknown_not_measured_as_zero
DEBY_LOD2_4907186,surface,core,resolved_core,c001_dense_success_pair:row_type=building;dense_has_lod22=true,11,provisional_gs4_overlap_unresolved,03_c001_dense_success,cell_1_assembled,0.610000,docs/qs_rescore_pairs.csv,unresolvable_public_artifact_missing,official_public_per_building_id_or_georeferenced_footprint_crosswalk_not_available;id_inference_allowed=false;overlap_unknown_not_measured_as_zero
DEBY_LOD2_4907188,surface,core,resolved_core,c001_dense_success_pair:row_type=building;dense_has_lod22=true,12,provisional_gs4_overlap_unresolved,03_c001_dense_success,cell_1_assembled,0.598000,docs/qs_rescore_pairs.csv,unresolvable_public_artifact_missing,official_public_per_building_id_or_georeferenced_footprint_crosswalk_not_available;id_inference_allowed=false;overlap_unknown_not_measured_as_zero
DEBY_LOD2_4907195,surface,core,resolved_core,c001_dense_success_pair:row_type=building;dense_has_lod22=true,13,provisional_gs4_overlap_unresolved,03_c001_dense_success,cell_1_assembled,0.732000,docs/qs_rescore_pairs.csv,unresolvable_public_artifact_missing,official_public_per_building_id_or_georeferenced_footprint_crosswalk_not_available;id_inference_allowed=false;overlap_unknown_not_measured_as_zero
DEBY_LOD2_4907198,surface,core,resolved_core,c001_dense_success_pair:row_type=building;dense_has_lod22=true,14,provisional_gs4_overlap_unresolved,03_c001_dense_success,cell_1_assembled,0.641000,docs/qs_rescore_pairs.csv,unresolvable_public_artifact_missing,official_public_per_building_id_or_georeferenced_footprint_crosswalk_not_available;id_inference_allowed=false;overlap_unknown_not_measured_as_zero
DEBY_LOD2_4907202,surface,core,resolved_core,c001_dense_success_pair:row_type=building;dense_has_lod22=true,15,provisional_gs4_overlap_unresolved,03_c001_dense_success,cell_1_assembled,0.562000,docs/qs_rescore_pairs.csv,unresolvable_public_artifact_missing,official_public_per_building_id_or_georeferenced_footprint_crosswalk_not_available;id_inference_allowed=false;overlap_unknown_not_measured_as_zero
DEBY_LOD2_4908168,surface,core,resolved_core,c001_dense_success_pair:row_type=building;dense_has_lod22=true,16,provisional_gs4_overlap_unresolved,03_c001_dense_success,cell_1_assembled,0.694000,docs/qs_rescore_pairs.csv,unresolvable_public_artifact_missing,official_public_per_building_id_or_georeferenced_footprint_crosswalk_not_available;id_inference_allowed=false;overlap_unknown_not_measured_as_zero
DEBY_LOD2_4908178,surface,core,resolved_core,c001_dense_success_pair:row_type=building;dense_has_lod22=true,17,provisional_gs4_overlap_unresolved,03_c001_dense_success,cell_1_assembled,0.406000,docs/qs_rescore_pairs.csv,unresolvable_public_artifact_missing,official_public_per_building_id_or_georeferenced_footprint_crosswalk_not_available;id_inference_allowed=false;overlap_unknown_not_measured_as_zero
DEBY_LOD2_60098,surface,core,resolved_core,c001_dense_success_pair:row_type=building;dense_has_lod22=true,18,provisional_gs4_overlap_unresolved,03_c001_dense_success,cell_1_assembled,0.544000,docs/qs_rescore_pairs.csv,unresolvable_public_artifact_missing,official_public_per_building_id_or_georeferenced_footprint_crosswalk_not_available;id_inference_allowed=false;overlap_unknown_not_measured_as_zero
DEBY_LOD2_4907199,height,core,resolved_core,height_observed_primary4_lock:phases/p2-gsjso/configs/primary4_assembly_validation_v2.json#targets_in_output_order,19,provisional_gs4_overlap_unresolved,04_height_primary,cell_2_anchored,0.656000,phases/p2-gsjso/configs/primary4_assembly_validation_v2.json,unresolvable_public_artifact_missing,official_public_per_building_id_or_georeferenced_footprint_crosswalk_not_available;id_inference_allowed=false;overlap_unknown_not_measured_as_zero
DEBY_LOD2_4908049,height,core,resolved_core,height_observed_primary4_lock:phases/p2-gsjso/configs/primary4_assembly_validation_v2.json#targets_in_output_order,20,provisional_gs4_overlap_unresolved,04_height_primary,cell_2_anchored,0.482000,phases/p2-gsjso/configs/primary4_assembly_validation_v2.json,unresolvable_public_artifact_missing,official_public_per_building_id_or_georeferenced_footprint_crosswalk_not_available;id_inference_allowed=false;overlap_unknown_not_measured_as_zero
DEBY_LOD2_104586480,height,core,resolved_core,height_observed_primary4_lock:phases/p2-gsjso/configs/primary4_assembly_validation_v2.json#targets_in_output_order,21,provisional_gs4_overlap_unresolved,04_height_primary,cell_2_anchored,0.269000,phases/p2-gsjso/configs/primary4_assembly_validation_v2.json,unresolvable_public_artifact_missing,official_public_per_building_id_or_georeferenced_footprint_crosswalk_not_available;id_inference_allowed=false;overlap_unknown_not_measured_as_zero
DEBY_LOD2_4908048,height,core,resolved_core,height_observed_primary4_lock:phases/p2-gsjso/configs/primary4_assembly_validation_v2.json#targets_in_output_order,22,provisional_gs4_overlap_unresolved,04_height_primary,cell_2_anchored,0.374000,phases/p2-gsjso/configs/primary4_assembly_validation_v2.json,unresolvable_public_artifact_missing,official_public_per_building_id_or_georeferenced_footprint_crosswalk_not_available;id_inference_allowed=false;overlap_unknown_not_measured_as_zero
DEBY_LOD2_4908051,outline,core,resolved_core,outline_observed_rank_spread:score=texture_low_gradient_fraction;rank=1/39;fraction=0/3;value=0.197000;existing_core_excluded=true,23,provisional_gs4_overlap_unresolved,05_outline_rank_spread,cell_3_outline_only,0.197000,docs/boundary_map_v4_1_ladder.csv,unresolvable_public_artifact_missing,official_public_per_building_id_or_georeferenced_footprint_crosswalk_not_available;id_inference_allowed=false;overlap_unknown_not_measured_as_zero
DEBY_LOD2_108247350,outline,core,resolved_core,outline_observed_rank_spread:score=texture_low_gradient_fraction;rank=14/39;fraction=1/3;value=0.490000;existing_core_excluded=true,24,provisional_gs4_overlap_unresolved,05_outline_rank_spread,cell_3_outline_only,0.490000,docs/boundary_map_v4_1_ladder.csv,unresolvable_public_artifact_missing,official_public_per_building_id_or_georeferenced_footprint_crosswalk_not_available;id_inference_allowed=false;overlap_unknown_not_measured_as_zero
DEBY_LOD2_4907168,outline,core,resolved_core,outline_observed_rank_spread:score=texture_low_gradient_fraction;rank=26/39;fraction=2/3;value=0.574000;existing_core_excluded=true,25,provisional_gs4_overlap_unresolved,05_outline_rank_spread,cell_3_outline_only,0.574000,docs/boundary_map_v4_1_ladder.csv,unresolvable_public_artifact_missing,official_public_per_building_id_or_georeferenced_footprint_crosswalk_not_available;id_inference_allowed=false;overlap_unknown_not_measured_as_zero
DEBY_LOD2_4908164,outline,core,resolved_core,outline_observed_rank_spread:score=texture_low_gradient_fraction;rank=39/39;fraction=3/3;value=0.734000;existing_core_excluded=true,26,provisional_gs4_overlap_unresolved,05_outline_rank_spread,cell_3_outline_only,0.734000,docs/boundary_map_v4_1_ladder.csv,unresolvable_public_artifact_missing,official_public_per_building_id_or_georeferenced_footprint_crosswalk_not_available;id_inference_allowed=false;overlap_unknown_not_measured_as_zero
DEBY_LOD2_4908023,surface,core,resolved_core,textured_positive_control_anchor:shortlist=4908023-4908028;rule=minimum_numeric_id_in_locked_shortlist,27,provisional_gs4_overlap_unresolved,06_textured_control,cell_1_assembled,0.288000,docs/boundary_map_v4_1_ladder.csv,unresolvable_public_artifact_missing,official_public_per_building_id_or_georeferenced_footprint_crosswalk_not_available;id_inference_allowed=false;overlap_unknown_not_measured_as_zero
DEBY_LOD2_4908028,surface,core,resolved_core,textured_positive_control_best:shortlist=4908023-4908028;metric=texture_low_gradient_fraction;direction=min;value=0.225000,28,provisional_gs4_overlap_unresolved,06_textured_control,cell_1_assembled,0.225000,docs/boundary_map_v4_1_ladder.csv,unresolvable_public_artifact_missing,official_public_per_building_id_or_georeferenced_footprint_crosswalk_not_available;id_inference_allowed=false;overlap_unknown_not_measured_as_zero
DEBY_LOD2_60042,surface,extension,provisional_extension_pending_gs4_overlap,provisional_extension_remaining_population:tier_balanced_round_robin=surface>height>outline,29,provisional_gs4_overlap_unresolved,07_extension_round_robin,cell_1_assembled,0.437000,docs/boundary_map_v4_1_ladder.csv,unresolvable_public_artifact_missing,official_public_per_building_id_or_georeferenced_footprint_crosswalk_not_available;id_inference_allowed=false;overlap_unknown_not_measured_as_zero
DEBY_LOD2_4907013,height,extension,provisional_extension_pending_gs4_overlap,provisional_extension_remaining_population:tier_balanced_round_robin=surface>height>outline,30,provisional_gs4_overlap_unresolved,07_extension_round_robin,cell_2_anchored,0.392000,docs/boundary_map_v4_1_ladder.csv,unresolvable_public_artifact_missing,official_public_per_building_id_or_georeferenced_footprint_crosswalk_not_available;id_inference_allowed=false;overlap_unknown_not_measured_as_zero
DEBY_LOD2_4906999,outline,extension,provisional_extension_pending_gs4_overlap,provisional_extension_remaining_population:tier_balanced_round_robin=surface>height>outline,31,provisional_gs4_overlap_unresolved,07_extension_round_robin,cell_3_outline_only,0.464000,docs/boundary_map_v4_1_ladder.csv,unresolvable_public_artifact_missing,official_public_per_building_id_or_georeferenced_footprint_crosswalk_not_available;id_inference_allowed=false;overlap_unknown_not_measured_as_zero
DEBY_LOD2_60097,surface,extension,provisional_extension_pending_gs4_overlap,provisional_extension_remaining_population:tier_balanced_round_robin=surface>height>outline,32,provisional_gs4_overlap_unresolved,07_extension_round_robin,cell_1_assembled,0.615000,docs/boundary_map_v4_1_ladder.csv,unresolvable_public_artifact_missing,official_public_per_building_id_or_georeferenced_footprint_crosswalk_not_available;id_inference_allowed=false;overlap_unknown_not_measured_as_zero
DEBY_LOD2_4907032,height,extension,provisional_extension_pending_gs4_overlap,provisional_extension_remaining_population:tier_balanced_round_robin=surface>height>outline,33,provisional_gs4_overlap_unresolved,07_extension_round_robin,cell_2_anchored,0.519000,docs/boundary_map_v4_1_ladder.csv,unresolvable_public_artifact_missing,official_public_per_building_id_or_georeferenced_footprint_crosswalk_not_available;id_inference_allowed=false;overlap_unknown_not_measured_as_zero
DEBY_LOD2_4907012,outline,extension,provisional_extension_pending_gs4_overlap,provisional_extension_remaining_population:tier_balanced_round_robin=surface>height>outline,34,provisional_gs4_overlap_unresolved,07_extension_round_robin,cell_3_outline_only,0.658000,docs/boundary_map_v4_1_ladder.csv,unresolvable_public_artifact_missing,official_public_per_building_id_or_georeferenced_footprint_crosswalk_not_available;id_inference_allowed=false;overlap_unknown_not_measured_as_zero
DEBY_LOD2_4906965,surface,extension,provisional_extension_pending_gs4_overlap,provisional_extension_remaining_population:tier_balanced_round_robin=surface>height>outline,35,provisional_gs4_overlap_unresolved,07_extension_round_robin,cell_1_assembled,0.603000,docs/boundary_map_v4_1_ladder.csv,unresolvable_public_artifact_missing,official_public_per_building_id_or_georeferenced_footprint_crosswalk_not_available;id_inference_allowed=false;overlap_unknown_not_measured_as_zero
DEBY_LOD2_4907033,height,extension,provisional_extension_pending_gs4_overlap,provisional_extension_remaining_population:tier_balanced_round_robin=surface>height>outline,36,provisional_gs4_overlap_unresolved,07_extension_round_robin,cell_2_anchored,0.719000,docs/boundary_map_v4_1_ladder.csv,unresolvable_public_artifact_missing,official_public_per_building_id_or_georeferenced_footprint_crosswalk_not_available;id_inference_allowed=false;overlap_unknown_not_measured_as_zero
DEBY_LOD2_4907014,outline,extension,provisional_extension_pending_gs4_overlap,provisional_extension_remaining_population:tier_balanced_round_robin=surface>height>outline,37,provisional_gs4_overlap_unresolved,07_extension_round_robin,cell_3_outline_only,0.389000,docs/boundary_map_v4_1_ladder.csv,unresolvable_public_artifact_missing,official_public_per_building_id_or_georeferenced_footprint_crosswalk_not_available;id_inference_allowed=false;overlap_unknown_not_measured_as_zero
DEBY_LOD2_4906966,surface,extension,provisional_extension_pending_gs4_overlap,provisional_extension_remaining_population:tier_balanced_round_robin=surface>height>outline,38,provisional_gs4_overlap_unresolved,07_extension_round_robin,cell_1_assembled,0.537000,docs/boundary_map_v4_1_ladder.csv,unresolvable_public_artifact_missing,official_public_per_building_id_or_georeferenced_footprint_crosswalk_not_available;id_inference_allowed=false;overlap_unknown_not_measured_as_zero
DEBY_LOD2_4907034,height,extension,provisional_extension_pending_gs4_overlap,provisional_extension_remaining_population:tier_balanced_round_robin=surface>height>outline,39,provisional_gs4_overlap_unresolved,07_extension_round_robin,cell_2_anchored,0.497000,docs/boundary_map_v4_1_ladder.csv,unresolvable_public_artifact_missing,official_public_per_building_id_or_georeferenced_footprint_crosswalk_not_available;id_inference_allowed=false;overlap_unknown_not_measured_as_zero
DEBY_LOD2_4907015,outline,extension,provisional_extension_pending_gs4_overlap,provisional_extension_remaining_population:tier_balanced_round_robin=surface>height>outline,40,provisional_gs4_overlap_unresolved,07_extension_round_robin,cell_3_outline_only,0.291000,docs/boundary_map_v4_1_ladder.csv,unresolvable_public_artifact_missing,official_public_per_building_id_or_georeferenced_footprint_crosswalk_not_available;id_inference_allowed=false;overlap_unknown_not_measured_as_zero
DEBY_LOD2_4906967,surface,extension,provisional_extension_pending_gs4_overlap,provisional_extension_remaining_population:tier_balanced_round_robin=surface>height>outline,41,provisional_gs4_overlap_unresolved,07_extension_round_robin,cell_1_assembled,0.444000,docs/boundary_map_v4_1_ladder.csv,unresolvable_public_artifact_missing,official_public_per_building_id_or_georeferenced_footprint_crosswalk_not_available;id_inference_allowed=false;overlap_unknown_not_measured_as_zero
DEBY_LOD2_4907036,height,extension,provisional_extension_pending_gs4_overlap,provisional_extension_remaining_population:tier_balanced_round_robin=surface>height>outline,42,provisional_gs4_overlap_unresolved,07_extension_round_robin,cell_2_anchored,0.549000,docs/boundary_map_v4_1_ladder.csv,unresolvable_public_artifact_missing,official_public_per_building_id_or_georeferenced_footprint_crosswalk_not_available;id_inference_allowed=false;overlap_unknown_not_measured_as_zero
DEBY_LOD2_4907016,outline,extension,provisional_extension_pending_gs4_overlap,provisional_extension_remaining_population:tier_balanced_round_robin=surface>height>outline,43,provisional_gs4_overlap_unresolved,07_extension_round_robin,cell_3_outline_only,0.585000,docs/boundary_map_v4_1_ladder.csv,unresolvable_public_artifact_missing,official_public_per_building_id_or_georeferenced_footprint_crosswalk_not_available;id_inference_allowed=false;overlap_unknown_not_measured_as_zero
DEBY_LOD2_4906968,surface,extension,provisional_extension_pending_gs4_overlap,provisional_extension_remaining_population:tier_balanced_round_robin=surface>height>outline,44,provisional_gs4_overlap_unresolved,07_extension_round_robin,cell_1_assembled,0.768000,docs/boundary_map_v4_1_ladder.csv,unresolvable_public_artifact_missing,official_public_per_building_id_or_georeferenced_footprint_crosswalk_not_available;id_inference_allowed=false;overlap_unknown_not_measured_as_zero
DEBY_LOD2_4907167,height,extension,provisional_extension_pending_gs4_overlap,provisional_extension_remaining_population:tier_balanced_round_robin=surface>height>outline,45,provisional_gs4_overlap_unresolved,07_extension_round_robin,cell_2_anchored,0.648000,docs/boundary_map_v4_1_ladder.csv,unresolvable_public_artifact_missing,official_public_per_building_id_or_georeferenced_footprint_crosswalk_not_available;id_inference_allowed=false;overlap_unknown_not_measured_as_zero
DEBY_LOD2_4907019,outline,extension,provisional_extension_pending_gs4_overlap,provisional_extension_remaining_population:tier_balanced_round_robin=surface>height>outline,46,provisional_gs4_overlap_unresolved,07_extension_round_robin,cell_3_outline_only,0.671000,docs/boundary_map_v4_1_ladder.csv,unresolvable_public_artifact_missing,official_public_per_building_id_or_georeferenced_footprint_crosswalk_not_available;id_inference_allowed=false;overlap_unknown_not_measured_as_zero
DEBY_LOD2_4906969,surface,extension,provisional_extension_pending_gs4_overlap,provisional_extension_remaining_population:tier_balanced_round_robin=surface>height>outline,47,provisional_gs4_overlap_unresolved,07_extension_round_robin,cell_1_assembled,0.506000,docs/boundary_map_v4_1_ladder.csv,unresolvable_public_artifact_missing,official_public_per_building_id_or_georeferenced_footprint_crosswalk_not_available;id_inference_allowed=false;overlap_unknown_not_measured_as_zero
DEBY_LOD2_4907169,height,extension,provisional_extension_pending_gs4_overlap,provisional_extension_remaining_population:tier_balanced_round_robin=surface>height>outline,48,provisional_gs4_overlap_unresolved,07_extension_round_robin,cell_2_anchored,0.647000,docs/boundary_map_v4_1_ladder.csv,unresolvable_public_artifact_missing,official_public_per_building_id_or_georeferenced_footprint_crosswalk_not_available;id_inference_allowed=false;overlap_unknown_not_measured_as_zero
DEBY_LOD2_4907021,outline,extension,provisional_extension_pending_gs4_overlap,provisional_extension_remaining_population:tier_balanced_round_robin=surface>height>outline,49,provisional_gs4_overlap_unresolved,07_extension_round_robin,cell_3_outline_only,0.239000,docs/boundary_map_v4_1_ladder.csv,unresolvable_public_artifact_missing,official_public_per_building_id_or_georeferenced_footprint_crosswalk_not_available;id_inference_allowed=false;overlap_unknown_not_measured_as_zero
DEBY_LOD2_4906970,surface,extension,provisional_extension_pending_gs4_overlap,provisional_extension_remaining_population:tier_balanced_round_robin=surface>height>outline,50,provisional_gs4_overlap_unresolved,07_extension_round_robin,cell_1_assembled,0.533000,docs/boundary_map_v4_1_ladder.csv,unresolvable_public_artifact_missing,official_public_per_building_id_or_georeferenced_footprint_crosswalk_not_available;id_inference_allowed=false;overlap_unknown_not_measured_as_zero
