selection_rank,building_id,building_id_short,is_core10,centroid_x,centroid_y,centroid_expansion_distance_m,footprint_minx,footprint_miny,footprint_maxx,footprint_maxy,footprint_area_m2,is_small_lt50m2,dense_has_lod22,dense_roof_rms_m,dense_bar_median_m,dense_bar_median_excluding_lt50m2_m,non_small_sensitivity_count,core10_dense_rms_median_m,core10_reproduces_0p990_3dp,scoring_aoi_minx,scoring_aoi_miny,scoring_aoi_maxx,scoring_aoi_maxy,training_crop_aoi_minx,training_crop_aoi_miny,training_crop_aoi_maxx,training_crop_aoi_maxy,training_context_buffer_m,training_bbox_fully_contained_building_count,training_bbox_intersecting_building_count,dense_success_context_only_fully_contained_count,dense_success_context_only_intersecting_count,selection_sha256,population_source_sha256,dense_status_source_sha256,footprint_source_sha256,dense_rms_source_sha256,crs
1,DEBY_LOD2_4906966,4906966,false,690868.902581777,5336059.500182047,0.000000000,690845.610000000,5336017.780000000,690892.670000000,5336102.170000000,1437.016000000,false,true,0.656173811,0.640884566,1.175249793,25,0.989554664,true,690722.296661349,5335966.948661349,690911.966338651,5336172.663338651,690764.890000000,5335918.400000000,690964.530000000,5336202.000000000,20.000000000,78,102,15,35,e98daa670a0753198e8a54502b260a07bcefe2bca42976931c0a08b766c5b3cd,3cabed76b37625fdf8f9a72ed5c5b1f7c90ba23a839d6f1a61fc3727870cee82,4412ee47f8665e1a12663629dd66f9c9612f2e9adca54be38c188f2bc521a9b6,ca7f5b13a52368e1d2ac47b77cc78f12887bad4d598d122ad57b882eb4920a82,a3b89f1907e6e61aead702efe6b742b5c012615df77d90bdb2a859b5418d85ab,EPSG:25832
2,DEBY_LOD2_4907178,4907178,false,690865.276456411,5336140.050582403,0.000000000,690856.670000000,5336131.070000000,690874.280000000,5336148.980000000,192.957000000,false,true,1.465031105,0.640884566,1.175249793,25,0.989554664,true,690722.296661349,5335966.948661349,690911.966338651,5336172.663338651,690764.890000000,5335918.400000000,690964.530000000,5336202.000000000,20.000000000,78,102,15,35,e98daa670a0753198e8a54502b260a07bcefe2bca42976931c0a08b766c5b3cd,3cabed76b37625fdf8f9a72ed5c5b1f7c90ba23a839d6f1a61fc3727870cee82,4412ee47f8665e1a12663629dd66f9c9612f2e9adca54be38c188f2bc521a9b6,ca7f5b13a52368e1d2ac47b77cc78f12887bad4d598d122ad57b882eb4920a82,a3b89f1907e6e61aead702efe6b742b5c012615df77d90bdb2a859b5418d85ab,EPSG:25832
3,DEBY_LOD2_4907183,4907183,false,690857.941991989,5336121.490780269,0.000000000,690847.560000000,5336106.450000000,690869.160000000,5336135.870000000,361.680000000,false,true,0.625595321,0.640884566,1.175249793,25,0.989554664,true,690722.296661349,5335966.948661349,690911.966338651,5336172.663338651,690764.890000000,5335918.400000000,690964.530000000,5336202.000000000,20.000000000,78,102,15,35,e98daa670a0753198e8a54502b260a07bcefe2bca42976931c0a08b766c5b3cd,3cabed76b37625fdf8f9a72ed5c5b1f7c90ba23a839d6f1a61fc3727870cee82,4412ee47f8665e1a12663629dd66f9c9612f2e9adca54be38c188f2bc521a9b6,ca7f5b13a52368e1d2ac47b77cc78f12887bad4d598d122ad57b882eb4920a82,a3b89f1907e6e61aead702efe6b742b5c012615df77d90bdb2a859b5418d85ab,EPSG:25832
4,DEBY_LOD2_4907184,4907184,true,690848.181251239,5336097.134295984,0.000000000,690836.639000000,5336083.195000000,690859.713000000,5336111.925000000,337.875000000,false,true,0.354716522,0.640884566,1.175249793,25,0.989554664,true,690722.296661349,5335966.948661349,690911.966338651,5336172.663338651,690764.890000000,5335918.400000000,690964.530000000,5336202.000000000,20.000000000,78,102,15,35,e98daa670a0753198e8a54502b260a07bcefe2bca42976931c0a08b766c5b3cd,3cabed76b37625fdf8f9a72ed5c5b1f7c90ba23a839d6f1a61fc3727870cee82,4412ee47f8665e1a12663629dd66f9c9612f2e9adca54be38c188f2bc521a9b6,ca7f5b13a52368e1d2ac47b77cc78f12887bad4d598d122ad57b882eb4920a82,a3b89f1907e6e61aead702efe6b742b5c012615df77d90bdb2a859b5418d85ab,EPSG:25832
5,DEBY_LOD2_4907185,4907185,true,690832.315344946,5336096.652240229,0.000000000,690823.749000000,5336088.726000000,690840.839000000,5336104.576000000,160.980000000,false,true,2.613993006,0.640884566,1.175249793,25,0.989554664,true,690722.296661349,5335966.948661349,690911.966338651,5336172.663338651,690764.890000000,5335918.400000000,690964.530000000,5336202.000000000,20.000000000,78,102,15,35,e98daa670a0753198e8a54502b260a07bcefe2bca42976931c0a08b766c5b3cd,3cabed76b37625fdf8f9a72ed5c5b1f7c90ba23a839d6f1a61fc3727870cee82,4412ee47f8665e1a12663629dd66f9c9612f2e9adca54be38c188f2bc521a9b6,ca7f5b13a52368e1d2ac47b77cc78f12887bad4d598d122ad57b882eb4920a82,a3b89f1907e6e61aead702efe6b742b5c012615df77d90bdb2a859b5418d85ab,EPSG:25832
6,DEBY_LOD2_4907186,4907186,true,690805.784170598,5336107.581546322,0.000000000,690797.374000000,5336099.254000000,690814.266000000,5336115.932000000,167.836000000,false,true,3.543989669,0.640884566,1.175249793,25,0.989554664,true,690722.296661349,5335966.948661349,690911.966338651,5336172.663338651,690764.890000000,5335918.400000000,690964.530000000,5336202.000000000,20.000000000,78,102,15,35,e98daa670a0753198e8a54502b260a07bcefe2bca42976931c0a08b766c5b3cd,3cabed76b37625fdf8f9a72ed5c5b1f7c90ba23a839d6f1a61fc3727870cee82,4412ee47f8665e1a12663629dd66f9c9612f2e9adca54be38c188f2bc521a9b6,ca7f5b13a52368e1d2ac47b77cc78f12887bad4d598d122ad57b882eb4920a82,a3b89f1907e6e61aead702efe6b742b5c012615df77d90bdb2a859b5418d85ab,EPSG:25832
7,DEBY_LOD2_4907188,4907188,true,690793.325502401,5336112.235444919,0.000000000,690784.890000000,5336103.990000000,690801.800000000,5336120.410000000,165.881000000,false,true,1.354221199,0.640884566,1.175249793,25,0.989554664,true,690722.296661349,5335966.948661349,690911.966338651,5336172.663338651,690764.890000000,5335918.400000000,690964.530000000,5336202.000000000,20.000000000,78,102,15,35,e98daa670a0753198e8a54502b260a07bcefe2bca42976931c0a08b766c5b3cd,3cabed76b37625fdf8f9a72ed5c5b1f7c90ba23a839d6f1a61fc3727870cee82,4412ee47f8665e1a12663629dd66f9c9612f2e9adca54be38c188f2bc521a9b6,ca7f5b13a52368e1d2ac47b77cc78f12887bad4d598d122ad57b882eb4920a82,a3b89f1907e6e61aead702efe6b742b5c012615df77d90bdb2a859b5418d85ab,EPSG:25832
8,DEBY_LOD2_4907195,4907195,true,690796.332883204,5336083.327433708,0.000000000,690786.440000000,5336074.700000000,690805.030000000,5336091.970000000,177.840000000,false,true,0.269773262,0.640884566,1.175249793,25,0.989554664,true,690722.296661349,5335966.948661349,690911.966338651,5336172.663338651,690764.890000000,5335918.400000000,690964.530000000,5336202.000000000,20.000000000,78,102,15,35,e98daa670a0753198e8a54502b260a07bcefe2bca42976931c0a08b766c5b3cd,3cabed76b37625fdf8f9a72ed5c5b1f7c90ba23a839d6f1a61fc3727870cee82,4412ee47f8665e1a12663629dd66f9c9612f2e9adca54be38c188f2bc521a9b6,ca7f5b13a52368e1d2ac47b77cc78f12887bad4d598d122ad57b882eb4920a82,a3b89f1907e6e61aead702efe6b742b5c012615df77d90bdb2a859b5418d85ab,EPSG:25832
9,DEBY_LOD2_4907196,4907196,false,690833.025622073,5336064.337933906,0.000000000,690821.060000000,5336047.490000000,690845.770000000,5336079.520000000,427.391000000,false,true,0.750791909,0.640884566,1.175249793,25,0.989554664,true,690722.296661349,5335966.948661349,690911.966338651,5336172.663338651,690764.890000000,5335918.400000000,690964.530000000,5336202.000000000,20.000000000,78,102,15,35,e98daa670a0753198e8a54502b260a07bcefe2bca42976931c0a08b766c5b3cd,3cabed76b37625fdf8f9a72ed5c5b1f7c90ba23a839d6f1a61fc3727870cee82,4412ee47f8665e1a12663629dd66f9c9612f2e9adca54be38c188f2bc521a9b6,ca7f5b13a52368e1d2ac47b77cc78f12887bad4d598d122ad57b882eb4920a82,a3b89f1907e6e61aead702efe6b742b5c012615df77d90bdb2a859b5418d85ab,EPSG:25832
10,DEBY_LOD2_4907198,4907198,true,690809.274548593,5336075.068903135,0.000000000,690794.980000000,5336060.480000000,690824.860000000,5336087.310000000,359.797000000,false,true,2.127468875,0.640884566,1.175249793,25,0.989554664,true,690722.296661349,5335966.948661349,690911.966338651,5336172.663338651,690764.890000000,5335918.400000000,690964.530000000,5336202.000000000,20.000000000,78,102,15,35,e98daa670a0753198e8a54502b260a07bcefe2bca42976931c0a08b766c5b3cd,3cabed76b37625fdf8f9a72ed5c5b1f7c90ba23a839d6f1a61fc3727870cee82,4412ee47f8665e1a12663629dd66f9c9612f2e9adca54be38c188f2bc521a9b6,ca7f5b13a52368e1d2ac47b77cc78f12887bad4d598d122ad57b882eb4920a82,a3b89f1907e6e61aead702efe6b742b5c012615df77d90bdb2a859b5418d85ab,EPSG:25832
