image_id,view_id,crop_x0,crop_y0,crop_x1,crop_y1,crop_width,crop_height,visible_selected_buildings,depth_geometric,depth_photometric,normal_geometric,normal_photometric
32,DJI_20241217084355_0041_D.JPG,0,0,976,878,976,878,1,True,True,True,True
33,DJI_20241217084357_0042_D.JPG,0,0,1088,958,1088,958,1,True,True,True,True
34,DJI_20241217084359_0043_D.JPG,0,0,1147,1013,1147,1013,1,True,True,True,True
35,DJI_20241217084401_0044_D.JPG,0,0,1198,1013,1198,1013,2,True,True,True,True
36,DJI_20241217084403_0045_D.JPG,0,0,1192,1013,1192,1013,2,True,True,True,True
37,DJI_20241217084405_0046_D.JPG,0,0,1212,1013,1212,1013,2,True,True,True,True
38,DJI_20241217084407_0047_D.JPG,0,0,1254,1013,1254,1013,2,True,True,True,True
39,DJI_20241217084409_0048_D.JPG,0,0,1310,1013,1310,1013,2,True,True,True,True
40,DJI_20241217084411_0049_D.JPG,0,0,1204,1013,1204,1013,2,True,True,True,True
41,DJI_20241217084413_0050_D.JPG,0,0,1145,1013,1145,1013,2,True,True,True,True
42,DJI_20241217084415_0051_D.JPG,0,126,1107,1013,1107,887,1,True,True,True,True
43,DJI_20241217084417_0052_D.JPG,0,0,1080,1013,1080,1013,1,True,True,True,True
44,DJI_20241217084419_0053_D.JPG,0,0,719,1013,719,1013,1,True,True,True,True
45,DJI_20241217084421_0054_D.JPG,0,0,741,1013,741,1013,1,True,True,True,True
46,DJI_20241217084423_0055_D.JPG,0,0,764,1013,764,1013,1,True,True,True,True
85,DJI_20241217084541_0094_D.JPG,395,0,1400,935,1005,935,2,True,True,True,True
86,DJI_20241217084543_0095_D.JPG,377,0,1400,1013,1023,1013,2,True,True,True,True
87,DJI_20241217084545_0096_D.JPG,351,0,1400,1013,1049,1013,2,True,True,True,True
88,DJI_20241217084547_0097_D.JPG,300,0,1400,1013,1100,1013,2,True,True,True,True
89,DJI_20241217084549_0098_D.JPG,363,0,1400,1013,1037,1013,2,True,True,True,True
90,DJI_20241217084551_0099_D.JPG,163,0,1400,1013,1237,1013,1,True,True,True,True
91,DJI_20241217084553_0100_D.JPG,105,0,1400,1013,1295,1013,1,True,True,True,True
92,DJI_20241217084555_0101_D.JPG,20,0,1400,1013,1380,1013,1,True,True,True,True
93,DJI_20241217084557_0102_D.JPG,0,0,1400,1013,1400,1013,1,True,True,True,True
94,DJI_20241217084559_0103_D.JPG,0,0,1400,1013,1400,1013,1,True,True,True,True
95,DJI_20241217084601_0104_D.JPG,0,0,1400,1013,1400,1013,1,True,True,True,True
96,DJI_20241217084603_0105_D.JPG,0,0,1400,1013,1400,1013,1,True,True,True,True
97,DJI_20241217084605_0106_D.JPG,0,0,1400,1013,1400,1013,1,True,True,True,True
98,DJI_20241217084607_0107_D.JPG,0,0,1400,1013,1400,1013,2,True,True,True,True
99,DJI_20241217084609_0108_D.JPG,0,0,1400,1013,1400,1013,2,True,True,True,True
100,DJI_20241217084611_0109_D.JPG,0,0,1400,1013,1400,1013,2,True,True,True,True
101,DJI_20241217084613_0110_D.JPG,0,0,1400,1013,1400,1013,2,True,True,True,True
102,DJI_20241217084615_0111_D.JPG,0,0,1400,1013,1400,1013,2,True,True,True,True
103,DJI_20241217084617_0112_D.JPG,0,0,1400,1013,1400,1013,2,True,True,True,True
104,DJI_20241217084619_0113_D.JPG,0,0,1400,1013,1400,1013,2,True,True,True,True
105,DJI_20241217084621_0114_D.JPG,0,0,1400,1013,1400,1013,2,True,True,True,True
106,DJI_20241217084623_0115_D.JPG,0,0,1400,1013,1400,1013,1,True,True,True,True
107,DJI_20241217084625_0116_D.JPG,0,0,1400,1013,1400,1013,1,True,True,True,True
108,DJI_20241217084627_0117_D.JPG,0,0,1400,1013,1400,1013,1,True,True,True,True
110,DJI_20241217084631_0119_D.JPG,695,0,1400,1013,705,1013,1,True,True,True,True
111,DJI_20241217084633_0120_D.JPG,516,0,1400,1013,884,1013,1,True,True,True,True
112,DJI_20241217084635_0121_D.JPG,510,0,1400,1013,890,1013,1,True,True,True,True
113,DJI_20241217084637_0122_D.JPG,350,0,1400,1013,1050,1013,1,True,True,True,True
114,DJI_20241217084639_0123_D.JPG,327,0,1400,1013,1073,1013,1,True,True,True,True
115,DJI_20241217084641_0124_D.JPG,291,0,1400,1013,1109,1013,1,True,True,True,True
116,DJI_20241217084643_0125_D.JPG,295,0,1400,1013,1105,1013,1,True,True,True,True
118,DJI_20241217084647_0127_D.JPG,0,0,1400,1013,1400,1013,1,True,True,True,True
119,DJI_20241217084649_0128_D.JPG,0,0,1400,1013,1400,1013,1,True,True,True,True
120,DJI_20241217084651_0129_D.JPG,0,0,1400,1013,1400,1013,1,True,True,True,True
121,DJI_20241217084653_0130_D.JPG,0,0,1400,1013,1400,1013,1,True,True,True,True
122,DJI_20241217084655_0131_D.JPG,0,0,1400,1013,1400,1013,1,True,True,True,True
123,DJI_20241217084657_0132_D.JPG,0,0,1400,1013,1400,1013,2,True,True,True,True
124,DJI_20241217084659_0133_D.JPG,0,0,1400,1013,1400,1013,2,True,True,True,True
125,DJI_20241217084701_0134_D.JPG,0,0,1400,1013,1400,1013,3,True,True,True,True
126,DJI_20241217084703_0135_D.JPG,0,0,1400,1013,1400,1013,3,True,True,True,True
127,DJI_20241217084705_0136_D.JPG,0,0,1400,1013,1400,1013,3,True,True,True,True
129,DJI_20241217084707_0137_D.JPG,0,0,1400,1013,1400,1013,3,True,True,True,True
128,DJI_20241217084709_0138_D.JPG,0,0,1400,1013,1400,1013,4,True,True,True,True
130,DJI_20241217084711_0139_D.JPG,0,0,1400,1013,1400,1013,4,True,True,True,True
131,DJI_20241217084713_0140_D.JPG,0,0,1400,1013,1400,1013,3,True,True,True,True
132,DJI_20241217084715_0141_D.JPG,0,0,1400,1013,1400,1013,3,True,True,True,True
133,DJI_20241217084717_0142_D.JPG,0,0,1400,1013,1400,1013,4,True,True,True,True
134,DJI_20241217084719_0143_D.JPG,0,0,1400,1013,1400,1013,4,True,True,True,True
135,DJI_20241217084721_0144_D.JPG,0,0,1400,1013,1400,1013,5,True,True,True,True
136,DJI_20241217084723_0145_D.JPG,0,0,1400,1013,1400,1013,5,True,True,True,True
