schema_version,row_type,source_id,source_role,condition_id,seed,stratum,population_count,metric_available_count,rms_measurable_count,roof_rms_median_m,roof_rms_max_m,rms_le_0p3_count,rms_le_0p3_rate,rms_le_1p0_count,rms_le_1p0_rate,als_approach_measurable_count,als_gap_closed_fraction_median,rms_gap_to_als_m_median,hausdorff_measurable_count,roof_hausdorff_median_m,roof_hausdorff_max_m,face_count_ratio_measurable_count,face_count_ratio_median,face_count_ratio_target_abs_deviation,completeness_measurable_count,roof_completeness_min,roof_completeness_median,completeness_ge_0p8_count,completeness_ge_0p8_rate,completeness_ge_0p9_count,completeness_ge_0p9_rate,completeness_ge_0p95_count,completeness_ge_0p95_rate,val3dity_valid_count,val3dity_valid_rate,lod2_count,lod2_rate,rms_lt_dense_measurable_count,rms_lt_dense_count,rms_lt_dense_rate,dense_bar_median_m,run_provenance_validated,run_eligible_20k_full_state,run_partial,run_guard_status,run_last_completed_steps,run_process_completed_steps,rule_a_rms_below_dense_bar,rule_b_structural_improvement,rule_c_all_metrics_nonworse,rule_d_completeness_floor_0p9,rule_d_completeness_floor_0p8_sensitivity,rule_d_completeness_floor_0p95_sensitivity,rule_abcd
jointbuildgs.pilot_1wave.scoring.v1,source_stratum_summary,01_seed1001,honest,01,1001,all,30,30,22,46.523225975,82.989799236,0,0.000000000,0,0.000000000,22,19.164472405,45.372689306,22,50.077577199,96.869366494,30,1.000000000,0.000000000,30,0.000000000,0.904283625,17,0.566666667,16,0.533333333,13,0.433333333,26,0.866666667,22,0.733333333,22,0,0.000000000,0.640884566,true,true,false,not_triggered,20000,20000,false,true,false,false,false,false,false
jointbuildgs.pilot_1wave.scoring.v1,source_stratum_summary,01_seed1001,honest,01,1001,small_lt50m2,5,5,4,45.796667395,46.659766079,0,0.000000000,0,0.000000000,4,-935.202145477,45.561711836,4,46.091264317,47.612065135,5,1.000000000,0.000000000,5,0.000000000,0.999593782,4,0.800000000,4,0.800000000,4,0.800000000,5,1.000000000,4,0.800000000,4,0,0.000000000,0.640884566,true,true,false,not_triggered,20000,20000,,,,,,,
jointbuildgs.pilot_1wave.scoring.v1,source_stratum_summary,01_seed1001,honest,01,1001,non_small_ge50m2,25,25,18,46.574875437,82.989799236,0,0.000000000,0,0.000000000,18,19.164472405,45.339754333,18,50.946494269,96.869366494,25,1.000000000,0.000000000,25,0.000000000,0.876533441,13,0.520000000,12,0.480000000,9,0.360000000,21,0.840000000,18,0.720000000,18,0,0.000000000,0.640884566,true,true,false,not_triggered,20000,20000,,,,,,,
jointbuildgs.pilot_1wave.scoring.v1,source_stratum_summary,01_seed1001,honest,01,1001,observation_low,8,8,5,46.575807605,49.009023752,0,0.000000000,0,0.000000000,5,-192.575985447,46.072058818,5,50.501607329,55.480206219,8,0.750000000,0.250000000,8,0.000000000,0.548696696,3,0.375000000,2,0.250000000,1,0.125000000,7,0.875000000,5,0.625000000,5,0,0.000000000,0.640884566,true,true,false,not_triggered,20000,20000,,,,,,,
jointbuildgs.pilot_1wave.scoring.v1,source_stratum_summary,01_seed1001,honest,01,1001,size_area_low,8,8,5,45.845416349,48.827129092,0,0.000000000,0,0.000000000,5,18.845529886,45.400352880,5,46.235941214,58.010105468,8,0.583333333,0.416666667,8,0.000000000,0.980018848,5,0.625000000,5,0.625000000,5,0.625000000,7,0.875000000,5,0.625000000,5,0,0.000000000,0.640884566,true,true,false,not_triggered,20000,20000,,,,,,,
jointbuildgs.pilot_1wave.scoring.v1,source_stratum_summary,01_seed1001,honest,01,1001,observation_mid,10,10,6,46.869613407,82.989799236,0,0.000000000,0,0.000000000,6,33.233397102,45.532117435,6,49.808586060,96.869366494,10,0.154761905,0.845238095,10,0.000000000,0.353738749,4,0.400000000,4,0.400000000,3,0.300000000,9,0.900000000,6,0.600000000,6,0,0.000000000,0.640884566,true,true,false,not_triggered,20000,20000,,,,,,,
jointbuildgs.pilot_1wave.scoring.v1,source_stratum_summary,01_seed1001,honest,01,1001,size_area_mid,12,12,8,47.018017210,82.989799236,0,0.000000000,0,0.000000000,8,-0.055011136,45.548111427,8,50.555691081,96.869366494,12,0.750000000,0.250000000,12,0.000000000,0.782352825,6,0.500000000,5,0.416666667,4,0.333333333,12,1.000000000,8,0.666666667,8,0,0.000000000,0.640884566,true,true,false,not_triggered,20000,20000,,,,,,,
jointbuildgs.pilot_1wave.scoring.v1,source_stratum_summary,01_seed1001,honest,01,1001,observation_high,12,12,11,46.132160783,49.229682742,0,0.000000000,0,0.000000000,11,41.736249554,45.334482936,11,49.653547069,70.395826068,12,2.438405797,1.438405797,12,0.000000000,0.997660273,10,0.833333333,10,0.833333333,9,0.750000000,10,0.833333333,11,0.916666667,11,0,0.000000000,0.640884566,true,true,false,not_triggered,20000,20000,,,,,,,
jointbuildgs.pilot_1wave.scoring.v1,source_stratum_summary,01_seed1001,honest,01,1001,size_area_high,10,10,9,46.279000000,49.229682742,0,0.000000000,0,0.000000000,9,19.844628164,45.334482936,9,50.900558657,70.395826068,10,2.021739131,1.021739131,10,0.000000000,0.921706725,6,0.600000000,6,0.600000000,4,0.400000000,7,0.700000000,9,0.900000000,9,0,0.000000000,0.640884566,true,true,false,not_triggered,20000,20000,,,,,,,
jointbuildgs.pilot_1wave.scoring.v1,source_stratum_summary,01_seed1001,honest,01,1001,observation_low__size_area_low,1,1,0,,,0,,0,,0,,,0,,,1,0.000000000,1.000000000,1,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0,0.000000000,1,1.000000000,0,0.000000000,0,0,,0.640884566,true,true,false,not_triggered,20000,20000,,,,,,,
jointbuildgs.pilot_1wave.scoring.v1,source_stratum_summary,01_seed1001,honest,01,1001,observation_low__size_area_mid,5,5,3,46.575807605,49.009023752,0,0.000000000,0,0.000000000,3,-192.575985447,45.345025731,3,49.502175054,55.480206219,5,0.500000000,0.500000000,5,0.000000000,0.596230055,2,0.400000000,1,0.200000000,1,0.200000000,5,1.000000000,3,0.600000000,3,0,0.000000000,0.640884566,true,true,false,not_triggered,20000,20000,,,,,,,
jointbuildgs.pilot_1wave.scoring.v1,source_stratum_summary,01_seed1001,honest,01,1001,observation_low__size_area_high,2,2,2,47.366502243,48.260495807,0,0.000000000,0,0.000000000,2,-114.397678149,46.875588899,2,50.747018605,50.992429881,2,1.500000000,0.500000000,2,0.501163338,0.720958496,1,0.500000000,1,0.500000000,0,0.000000000,1,0.500000000,2,1.000000000,2,0,0.000000000,0.640884566,true,true,false,not_triggered,20000,20000,,,,,,,
jointbuildgs.pilot_1wave.scoring.v1,source_stratum_summary,01_seed1001,honest,01,1001,observation_mid__size_area_low,2,2,1,48.827129092,48.827129092,0,0.000000000,0,0.000000000,1,18.845529886,45.060238658,1,58.010105468,58.010105468,2,0.083333333,0.916666667,2,0.000000000,0.499912442,1,0.500000000,1,0.500000000,1,0.500000000,1,0.500000000,1,0.500000000,1,0,0.000000000,0.640884566,true,true,false,not_triggered,20000,20000,,,,,,,
jointbuildgs.pilot_1wave.scoring.v1,source_stratum_summary,01_seed1001,honest,01,1001,observation_mid__size_area_mid,6,6,4,46.795810086,82.989799236,0,0.000000000,0,0.000000000,4,51.908877226,45.532117435,4,49.808586060,96.869366494,6,0.916666666,0.083333334,6,0.000000000,0.797039832,3,0.500000000,3,0.500000000,2,0.333333333,6,1.000000000,4,0.666666667,4,0,0.000000000,0.640884566,true,true,false,not_triggered,20000,20000,,,,,,,
