bid,bid_int,stratum,gt_type_eval_only,footprint_exists,footprint_area,gt_height,n_gt_faces
B0,0,OK_CONTROL,tri-slope,True,77.848782,15.968,21
B1,1,OK_CONTROL,flat,True,122.7785485,16.61,8
B2,2,OK_CONTROL,flat,True,70.84369949999996,13.635,8
B8,8,OK_CONTROL,gable,True,77.04649649999999,13.981,12
B6,6,HIP,hip,True,66.970709,19.912,28
B3,3,COMPLEX,complex,True,842.1079220000003,25.78,127
B123,123,SHARED_WALL,complex,True,550.0763910000001,17.622,63
B126,126,SHARED_WALL,complex,True,375.2337334999999,19.683,129
B50,50,GROUND_EVIDENCE,complex,True,80.06946999999998,17.907,32
B104,104,GROUND_EVIDENCE,flat,True,17.49016700000002,3.611,6
