bid,source,n_roof_groups,roof_group_purity,roof_plane_residual,wall_support_cov,ground_support_cov,group_semantic_entropy,status
B0,E2_Mutual_rendered,16,1.0,0.16210511353266804,0.7948717948717948,0.2426470588235294,0.02497193421950914,OK
B0,E4_Mutual_primitive,16,1.0,0.6201526075331256,0.8589743589743589,0.2426470588235294,0.01634456182863018,OK
B1,E2_Mutual_rendered,16,1.0,0.11058097417484261,1.0,0.11067193675889328,0.029614673053433276,OK
B1,E4_Mutual_primitive,16,1.0,0.7472588481776481,1.0,0.06719367588932806,0.014863058382381602,OK
B2,E2_Mutual_rendered,16,1.0,0.11791875063716677,0.4383561643835616,0.08778625954198473,0.0229952926902272,OK
B2,E4_Mutual_primitive,16,1.0,0.5054414982545382,0.6438356164383562,0.04961832061068702,0.021463205739708592,UNSTABLE_GROUPS
B8,E2_Mutual_rendered,16,1.0,0.23714471622329536,0.7432432432432432,0.0625,0.02486343899334463,OK
B8,E4_Mutual_primitive,16,1.0,0.44165641520014237,0.8783783783783784,0.0661764705882353,0.01874142189117452,OK
B6,E2_Mutual_rendered,16,1.0,0.3098798928484692,1.0,0.09473684210526316,0.056303936850734176,OK
B6,E4_Mutual_primitive,16,1.0,0.35882118003716046,1.0,0.06315789473684211,0.0215819607292509,OK
B3,E2_Mutual_rendered,16,1.0,0.7492464754766031,0.8942307692307693,0.07526881720430108,0.03412118383547774,OK
B3,E4_Mutual_primitive,16,1.0,1.021082144254792,0.9350961538461539,0.010752688172043012,0.01741223920903738,UNSTABLE_GROUPS
B123,E2_Mutual_rendered,16,1.0,1.6846565522089028,0.9305555555555556,0.1103448275862069,0.030837850204077488,OK
B123,E4_Mutual_primitive,16,1.0,1.9119823230132886,0.8611111111111112,0.05862068965517241,0.0148731700097764,OK
B126,E2_Mutual_rendered,16,1.0,1.5379546562471837,0.8282208588957055,0.06872852233676977,0.04492839850720461,OK
B126,E4_Mutual_primitive,16,1.0,2.571161921408244,0.7852760736196319,0.054982817869415807,0.025605069195481566,OK
B50,E2_Mutual_rendered,16,1.0,0.3647567108779888,0.9054054054054054,0.015209125475285171,0.04476896492889887,UNSTABLE_GROUPS
B50,E4_Mutual_primitive,16,1.0,0.6389158374496933,0.9054054054054054,0.0038022813688212928,0.023567312197154116,UNSTABLE_GROUPS
B104,E2_Mutual_rendered,16,1.0,0.28624142184519386,0.9722222222222222,0.5362903225806451,0.1276953683943638,OK
