path,size_bytes,loadable,keys,n_points,n_roof,n_wall,n_ground,bbox_min,bbox_max,compatibility_notes,role_guess,mtime
results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase1_evidence/E2_Mutual_rendered/B0/evidence.npz,301396,True,points;normals;classes;weights;sem_probs;confidence;view_count;normal_consistency;semantic_entropy,4922,1873,2734,315,"[-100.9066162109375, -17.109697341918945, -79.14219665527344]","[-89.00975036621094, 0.01615142822265625, -63.55494689941406]","Mutual rendered evidence, useful only as E2 reference.",E2_OR_MUTUAL_RENDERED,2026-05-06 23:33:04
results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase1_evidence/E2_Mutual_rendered/B1/evidence.npz,294647,True,points;normals;classes;weights;sem_probs;confidence;view_count;normal_consistency;semantic_entropy,4859,3547,1232,80,"[-95.01243591308594, -19.31287956237793, -45.711612701416016]","[-80.44400024414062, -0.0013198598753660917, -25.066757202148438]","Mutual rendered evidence, useful only as E2 reference.",E2_OR_MUTUAL_RENDERED,2026-05-06 23:33:19
results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase1_evidence/E2_Mutual_rendered/B104/evidence.npz,40567,True,points;normals;classes;weights;sem_probs;confidence;view_count;normal_consistency;semantic_entropy,604,420,83,101,"[65.5240707397461, -15.734481811523438, 72.57460021972656]","[71.946044921875, 1.0721958875656128, 80.84033203125]","Mutual rendered evidence, useful only as E2 reference.",E2_OR_MUTUAL_RENDERED,2026-05-06 23:36:43
results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase1_evidence/E2_Mutual_rendered/B123/evidence.npz,1592204,True,points;normals;classes;weights;sem_probs;confidence;view_count;normal_consistency;semantic_entropy,26052,18397,6846,809,"[-50.92005157470703, -19.07488250732422, -92.51361846923828]","[-16.67641258239746, 0.5570383667945862, -60.33123016357422]","Mutual rendered evidence, useful only as E2 reference.",E2_OR_MUTUAL_RENDERED,2026-05-06 23:35:23
results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase1_evidence/E2_Mutual_rendered/B126/evidence.npz,1059354,True,points;normals;classes;weights;sem_probs;confidence;view_count;normal_consistency;semantic_entropy,17179,12999,3813,367,"[-65.52671813964844, -20.62230682373047, -102.4200210571289]","[-39.53386688232422, 0.1408015340566635, -73.48007202148438]","Mutual rendered evidence, useful only as E2 reference.",E2_OR_MUTUAL_RENDERED,2026-05-06 23:36:05
results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase1_evidence/E2_Mutual_rendered/B2/evidence.npz,233715,True,points;normals;classes;weights;sem_probs;confidence;view_count;normal_consistency;semantic_entropy,3748,2612,1051,85,"[-85.78252410888672, -14.768939971923828, -5.402878761291504]","[-73.40542602539062, 0.042724609375, 8.84615421295166]","Mutual rendered evidence, useful only as E2 reference.",E2_OR_MUTUAL_RENDERED,2026-05-06 23:33:30
results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase1_evidence/E2_Mutual_rendered/B3/evidence.npz,1708242,True,points;normals;classes;weights;sem_probs;confidence;view_count;normal_consistency;semantic_entropy,27799,21962,5152,685,"[-87.68944549560547, -26.659896850585938, -53.22414016723633]","[6.604780197143555, 0.31269213557243347, -2.0074660778045654]","Mutual rendered evidence, useful only as E2 reference.",E2_OR_MUTUAL_RENDERED,2026-05-06 23:33:53
results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase1_evidence/E2_Mutual_rendered/B50/evidence.npz,257784,True,points;normals;classes;weights;sem_probs;confidence;view_count;normal_consistency;semantic_entropy,4146,3275,850,21,"[-27.701229095458984, -19.45135498046875, 27.004695892333984]","[-11.39604377746582, 0.02347564697265625, 39.218177795410156]","Mutual rendered evidence, useful only as E2 reference.",E2_OR_MUTUAL_RENDERED,2026-05-06 23:36:40
results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase1_evidence/E2_Mutual_rendered/B6/evidence.npz,199088,True,points;normals;classes;weights;sem_probs;confidence;view_count;normal_consistency;semantic_entropy,3205,2086,1056,63,"[-84.3067626953125, -20.211164474487305, -58.30320739746094]","[-70.85783386230469, 0.1730804443359375, -46.903770446777344]","Mutual rendered evidence, useful only as E2 reference.",E2_OR_MUTUAL_RENDERED,2026-05-06 23:33:39
results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase1_evidence/E2_Mutual_rendered/B8/evidence.npz,271841,True,points;normals;classes;weights;sem_probs;confidence;view_count;normal_consistency;semantic_entropy,4372,2784,1513,75,"[-64.00155639648438, -15.306326866149902, 4.5577192306518555]","[-51.565670013427734, 0.06841278076171875, 19.327392578125]","Mutual rendered evidence, useful only as E2 reference.",E2_OR_MUTUAL_RENDERED,2026-05-06 23:33:35
results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase1_evidence/E3_Baseline_primitive/B0/evidence.npz,558229,True,points;normals;classes;weights;sem_probs;opacities;areas,8349,2443,5856,50,"[-100.64857482910156, -16.932395935058594, -78.77478790283203]","[-89.24263000488281, 0.31920838356018066, -63.51799774169922]",Not Baseline rendered evidence.,BASELINE_PRIMITIVE_NOT_RENDERED,2026-05-06 23:33:07
results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase1_evidence/E3_Baseline_primitive/B1/evidence.npz,432857,True,points;normals;classes;weights;sem_probs;opacities;areas,6462,2930,3512,20,"[-94.3371810913086, -18.877147674560547, -45.612098693847656]","[-80.5792236328125, 0.26974812150001526, -25.471342086791992]",Not Baseline rendered evidence.,BASELINE_PRIMITIVE_NOT_RENDERED,2026-05-06 23:33:21
results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase1_evidence/E3_Baseline_primitive/B104/evidence.npz,12648,True,points;normals;classes;weights;sem_probs;opacities;areas,163,109,51,3,"[66.1967544555664, -3.9834742546081543, 72.80062103271484]","[71.25654602050781, 1.7963007688522339, 79.96527862548828]",Not Baseline rendered evidence.,BASELINE_PRIMITIVE_NOT_RENDERED,2026-05-06 23:36:44
results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase1_evidence/E3_Baseline_primitive/B123/evidence.npz,944094,True,points;normals;classes;weights;sem_probs;opacities;areas,14060,6786,7184,90,"[-50.85567092895508, -18.715652465820312, -92.47799682617188]","[-17.128143310546875, 0.4426996409893036, -60.54745101928711]",Not Baseline rendered evidence.,BASELINE_PRIMITIVE_NOT_RENDERED,2026-05-06 23:35:41
results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase1_evidence/E3_Baseline_primitive/B126/evidence.npz,703687,True,points;normals;classes;weights;sem_probs;opacities;areas,10488,5553,4867,68,"[-65.5313491821289, -20.258560180664062, -101.68518829345703]","[-40.42348861694336, 0.3595879375934601, -73.37699890136719]",Not Baseline rendered evidence.,BASELINE_PRIMITIVE_NOT_RENDERED,2026-05-06 23:36:19
results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase1_evidence/E3_Baseline_primitive/B2/evidence.npz,185460,True,points;normals;classes;weights;sem_probs;opacities;areas,2727,1250,1460,17,"[-85.7212905883789, -14.649852752685547, -5.070065021514893]","[-73.42780303955078, 0.26776427030563354, 8.5780611038208]",Not Baseline rendered evidence.,BASELINE_PRIMITIVE_NOT_RENDERED,2026-05-06 23:33:32
results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase1_evidence/E3_Baseline_primitive/B3/evidence.npz,1246388,True,points;normals;classes;weights;sem_probs;opacities;areas,18445,11080,7256,109,"[-87.65617370605469, -26.313596725463867, -53.21015167236328]","[6.154741287231445, 0.6438403129577637, -2.0708518028259277]",Not Baseline rendered evidence.,BASELINE_PRIMITIVE_NOT_RENDERED,2026-05-06 23:34:33
results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase1_evidence/E3_Baseline_primitive/B50/evidence.npz,181176,True,points;normals;classes;weights;sem_probs;opacities;areas,2678,1495,1183,0,"[-27.68861198425293, -18.570249557495117, 27.15396499633789]","[-11.828228950500488, -1.3452534675598145, 39.09962844848633]",Not Baseline rendered evidence.,BASELINE_PRIMITIVE_NOT_RENDERED,2026-05-06 23:36:41
results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase1_evidence/E3_Baseline_primitive/B6/evidence.npz,268368,True,points;normals;classes;weights;sem_probs;opacities;areas,3998,1965,2026,7,"[-83.89878845214844, -19.949697494506836, -58.539432525634766]","[-71.60014343261719, 0.1670059859752655, -46.88485336303711]",Not Baseline rendered evidence.,BASELINE_PRIMITIVE_NOT_RENDERED,2026-05-06 23:33:42
results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase1_evidence/E3_Baseline_primitive/B8/evidence.npz,186093,True,points;normals;classes;weights;sem_probs;opacities;areas,2743,1206,1521,16,"[-63.98657989501953, -15.115280151367188, 5.026763916015625]","[-51.99940872192383, 0.18780723214149475, 18.926725387573242]",Not Baseline rendered evidence.,BASELINE_PRIMITIVE_NOT_RENDERED,2026-05-06 23:33:36
results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase1_evidence/E4_Mutual_primitive/B0/evidence.npz,498043,True,points;normals;classes;weights;sem_probs;opacities;areas,7503,2422,5028,48,"[-100.63865661621094, -16.97544288635254, -79.04058837890625]","[-89.13206481933594, 0.7870610356330872, -63.812171936035156]",,OTHER,2026-05-06 23:33:12
results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase1_evidence/E4_Mutual_primitive/B1/evidence.npz,418103,True,points;normals;classes;weights;sem_probs;opacities;areas,6295,2836,3437,21,"[-94.34012603759766, -18.81430435180664, -45.63328552246094]","[-80.42672729492188, 0.350393146276474, -25.377342224121094]",,OTHER,2026-05-06 23:33:25
