bid,source,stage3_algo_version,status,n_faces,n_roof_faces,n_wall_faces,n_ground_faces,export_status,failure_reason,patch_applied,patch_reason,readout_artifact_dir
B0,E1_Baseline_rendered,Stage3Algo-v0,OK,23,10,12,1,CITYJSON_WRITTEN,,,,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_readout/Stage3Algo-v0/E1_Baseline_rendered/B0
B0,E1_Baseline_rendered,Stage3Algo-v1,OK,23,10,12,1,CITYJSON_WRITTEN,,False,ground evidence already present,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_readout/Stage3Algo-v1/E1_Baseline_rendered/B0
B1,E1_Baseline_rendered,Stage3Algo-v0,OK,11,4,6,1,CITYJSON_WRITTEN,,,,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_readout/Stage3Algo-v0/E1_Baseline_rendered/B1
B1,E1_Baseline_rendered,Stage3Algo-v1,OK,11,4,6,1,CITYJSON_WRITTEN,,False,ground evidence already present,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_readout/Stage3Algo-v1/E1_Baseline_rendered/B1
B2,E1_Baseline_rendered,Stage3Algo-v0,OK,11,4,6,1,CITYJSON_WRITTEN,,,,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_readout/Stage3Algo-v0/E1_Baseline_rendered/B2
B2,E1_Baseline_rendered,Stage3Algo-v1,OK,11,4,6,1,CITYJSON_WRITTEN,,False,ground evidence already present,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_readout/Stage3Algo-v1/E1_Baseline_rendered/B2
B8,E1_Baseline_rendered,Stage3Algo-v0,OK,15,6,8,1,CITYJSON_WRITTEN,,,,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_readout/Stage3Algo-v0/E1_Baseline_rendered/B8
B8,E1_Baseline_rendered,Stage3Algo-v1,OK,15,6,8,1,CITYJSON_WRITTEN,,False,ground evidence already present,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_readout/Stage3Algo-v1/E1_Baseline_rendered/B8
B6,E1_Baseline_rendered,Stage3Algo-v0,OK,23,10,12,1,CITYJSON_WRITTEN,,,,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_readout/Stage3Algo-v0/E1_Baseline_rendered/B6
B6,E1_Baseline_rendered,Stage3Algo-v1,OK,23,10,12,1,CITYJSON_WRITTEN,,False,ground evidence already present,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_readout/Stage3Algo-v1/E1_Baseline_rendered/B6
