bid,source,stage3_algo_version,metric_version,status,n_faces,n_roof_faces,n_wall_faces,n_ground_faces,roof_cov,wall_cov,ground_cov,semantic_face_acc,face_planarity_mean,face_planarity_max,support_coverage,roof_support_cov,wall_support_cov,ground_support_cov,F,precision,recall,h_err,vol_ratio,hausdorff,chamfer,footprint_IoU,edge_ok,open_edges,nonmanifold_edges,roof_wall_adjacency_count,wall_ground_adjacency_count,shell_completeness,metric_artifact_dir,readout_artifact_dir,failure_reason
B0,E1_Baseline_rendered,Stage3Algo-v0,Metric-v0,OK,23,10,12,1,0.7103333333333334,0.969,1.0,0.9318333333333333,1.9237778930714862e-15,9.821561306426032e-15,0.561,0.748,0.696,0.252,0.9438149880836789,0.9281666666666667,0.96,0.46317344274640604,1.1036941585190114,2.117391593632996,0.23996493451886758,1.0,True,0,0,12,12,CLOSED,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_metric_v0/Stage3Algo-v0/E1_Baseline_rendered/B0,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_readout/Stage3Algo-v0/E1_Baseline_rendered/B0,
B0,E1_Baseline_rendered,Stage3Algo-v0,Metric-v1,OK,23,10,12,1,0.7083333333333334,0.9666666666666667,1.0,0.9468333333333333,1.9237778930714862e-15,9.821561306426032e-15,0.5643333333333334,0.749,0.675,0.251,0.9431012572505374,0.9261666666666667,0.9606666666666667,0.46317344274640604,1.1037195319762478,2.032316039035035,0.24164808654486314,1.0,True,0,0,12,12,CLOSED,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_metric_v1/Stage3Algo-v0/E1_Baseline_rendered/B0,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_readout/Stage3Algo-v0/E1_Baseline_rendered/B0,
B0,E1_Baseline_rendered,Stage3Algo-v1,Metric-v1,OK,23,10,12,1,0.7083333333333334,0.9666666666666667,1.0,0.9468333333333333,1.9237778930714862e-15,9.821561306426032e-15,0.5643333333333334,0.749,0.675,0.251,0.9431012572505374,0.9261666666666667,0.9606666666666667,0.46317344274640604,1.1037195319762478,2.032316039035035,0.24164808654486314,1.0,True,0,0,12,12,CLOSED,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_metric_v1/Stage3Algo-v1/E1_Baseline_rendered/B0,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_readout/Stage3Algo-v1/E1_Baseline_rendered/B0,
B0,E1_Baseline_rendered,Stage3Algo-v1,Metric-v0,OK,23,10,12,1,0.7103333333333334,0.969,1.0,0.9318333333333333,1.9237778930714862e-15,9.821561306426032e-15,0.561,0.748,0.696,0.252,0.9438149880836789,0.9281666666666667,0.96,0.46317344274640604,1.1036941585190114,2.117391593632996,0.23996493451886758,1.0,True,0,0,12,12,CLOSED,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_metric_v0/Stage3Algo-v1/E1_Baseline_rendered/B0,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_readout/Stage3Algo-v1/E1_Baseline_rendered/B0,
B1,E1_Baseline_rendered,Stage3Algo-v0,Metric-v0,OK,11,4,6,1,0.8896666666666667,0.8623333333333333,0.0,0.9083333333333333,2.5912085159055575e-15,7.822965893790503e-15,0.5013333333333333,0.978,0.507,0.007,0.8238111772820564,0.8638333333333333,0.7873333333333333,1.6901273512442305,0.7913714879041356,1.8186214544906545,0.4115549791638201,1.0,True,0,0,6,6,CLOSED,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_metric_v0/Stage3Algo-v0/E1_Baseline_rendered/B1,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_readout/Stage3Algo-v0/E1_Baseline_rendered/B1,
B1,E1_Baseline_rendered,Stage3Algo-v0,Metric-v1,OK,11,4,6,1,0.876,0.8636666666666667,0.0,0.9076666666666666,2.5912085159055575e-15,7.822965893790503e-15,0.4983333333333333,0.981,0.536,0.004,0.8391250330425588,0.8766666666666667,0.8046666666666666,1.6901273512442305,0.791373106324835,1.815001553346551,0.39348311830437976,1.0,True,0,0,6,6,CLOSED,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_metric_v1/Stage3Algo-v0/E1_Baseline_rendered/B1,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_readout/Stage3Algo-v0/E1_Baseline_rendered/B1,
B1,E1_Baseline_rendered,Stage3Algo-v1,Metric-v1,OK,11,4,6,1,0.876,0.8636666666666667,0.0,0.9076666666666666,2.5912085159055575e-15,7.822965893790503e-15,0.4983333333333333,0.981,0.536,0.004,0.8391250330425588,0.8766666666666667,0.8046666666666666,1.6901273512442305,0.791373106324835,1.815001553346551,0.39348311830437976,1.0,True,0,0,6,6,CLOSED,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_metric_v1/Stage3Algo-v1/E1_Baseline_rendered/B1,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_readout/Stage3Algo-v1/E1_Baseline_rendered/B1,
B1,E1_Baseline_rendered,Stage3Algo-v1,Metric-v0,OK,11,4,6,1,0.8896666666666667,0.8623333333333333,0.0,0.9083333333333333,2.5912085159055575e-15,7.822965893790503e-15,0.5013333333333333,0.978,0.507,0.007,0.8238111772820564,0.8638333333333333,0.7873333333333333,1.6901273512442305,0.7913714879041356,1.8186214544906545,0.4115549791638201,1.0,True,0,0,6,6,CLOSED,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_metric_v0/Stage3Algo-v1/E1_Baseline_rendered/B1,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_readout/Stage3Algo-v1/E1_Baseline_rendered/B1,
B2,E1_Baseline_rendered,Stage3Algo-v0,Metric-v0,OK,11,4,6,1,1.0,0.989,1.0,0.9551666666666667,1.1842351594773425e-15,6.69808929350998e-15,0.5283333333333333,1.0,0.44,0.107,0.9959989959839357,0.995,0.997,0.5234961877382975,2.0719442463119613,0.8116188382356456,0.1952473871654925,1.0,True,0,0,6,6,CLOSED,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_metric_v0/Stage3Algo-v0/E1_Baseline_rendered/B2,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_readout/Stage3Algo-v0/E1_Baseline_rendered/B2,
B2,E1_Baseline_rendered,Stage3Algo-v0,Metric-v1,OK,11,4,6,1,1.0,0.987,1.0,0.9745,1.1842351594773425e-15,6.69808929350998e-15,0.5056666666666667,1.0,0.428,0.136,0.9964135931532435,0.9946666666666667,0.9981666666666666,0.5234961877382975,2.071946822557437,0.8350199114506536,0.19720129823536003,1.0,True,0,0,6,6,CLOSED,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_metric_v1/Stage3Algo-v0/E1_Baseline_rendered/B2,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_readout/Stage3Algo-v0/E1_Baseline_rendered/B2,
B2,E1_Baseline_rendered,Stage3Algo-v1,Metric-v1,OK,11,4,6,1,1.0,0.987,1.0,0.9745,1.1842351594773425e-15,6.69808929350998e-15,0.5056666666666667,1.0,0.428,0.136,0.9964135931532435,0.9946666666666667,0.9981666666666666,0.5234961877382975,2.071946822557437,0.8350199114506536,0.19720129823536003,1.0,True,0,0,6,6,CLOSED,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_metric_v1/Stage3Algo-v1/E1_Baseline_rendered/B2,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_readout/Stage3Algo-v1/E1_Baseline_rendered/B2,
B2,E1_Baseline_rendered,Stage3Algo-v1,Metric-v0,OK,11,4,6,1,1.0,0.989,1.0,0.9551666666666667,1.1842351594773425e-15,6.69808929350998e-15,0.5283333333333333,1.0,0.44,0.107,0.9959989959839357,0.995,0.997,0.5234961877382975,2.0719442463119613,0.8116188382356456,0.1952473871654925,1.0,True,0,0,6,6,CLOSED,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_metric_v0/Stage3Algo-v1/E1_Baseline_rendered/B2,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_readout/Stage3Algo-v1/E1_Baseline_rendered/B2,
B8,E1_Baseline_rendered,Stage3Algo-v0,Metric-v0,OK,15,6,8,1,0.984,0.977,1.0,0.9553333333333334,1.4743677862870585e-15,4.167089298285007e-15,0.49300000000000005,1.0,0.401,0.047,0.995665969199866,0.9948333333333333,0.9965,0.2493086345062192,1.5898156104220635,0.776632106452834,0.19345767632718336,1.0,True,0,0,8,8,CLOSED,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_metric_v0/Stage3Algo-v0/E1_Baseline_rendered/B8,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_readout/Stage3Algo-v0/E1_Baseline_rendered/B8,
B8,E1_Baseline_rendered,Stage3Algo-v0,Metric-v1,OK,15,6,8,1,0.9816666666666667,0.9816666666666667,1.0,0.9668333333333333,1.4743677862870585e-15,4.167089298285007e-15,0.496,1.0,0.404,0.068,0.9959158229436867,0.995,0.9968333333333333,0.2493086345062192,1.589819017680507,0.7714359738555728,0.19343811126845106,1.0,True,0,0,8,8,CLOSED,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_metric_v1/Stage3Algo-v0/E1_Baseline_rendered/B8,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_readout/Stage3Algo-v0/E1_Baseline_rendered/B8,
B8,E1_Baseline_rendered,Stage3Algo-v1,Metric-v1,OK,15,6,8,1,0.9816666666666667,0.9816666666666667,1.0,0.9668333333333333,1.4743677862870585e-15,4.167089298285007e-15,0.496,1.0,0.404,0.068,0.9959158229436867,0.995,0.9968333333333333,0.2493086345062192,1.589819017680507,0.7714359738555728,0.19343811126845106,1.0,True,0,0,8,8,CLOSED,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_metric_v1/Stage3Algo-v1/E1_Baseline_rendered/B8,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_readout/Stage3Algo-v1/E1_Baseline_rendered/B8,
B8,E1_Baseline_rendered,Stage3Algo-v1,Metric-v0,OK,15,6,8,1,0.984,0.977,1.0,0.9553333333333334,1.4743677862870585e-15,4.167089298285007e-15,0.49300000000000005,1.0,0.401,0.047,0.995665969199866,0.9948333333333333,0.9965,0.2493086345062192,1.5898156104220635,0.776632106452834,0.19345767632718336,1.0,True,0,0,8,8,CLOSED,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_metric_v0/Stage3Algo-v1/E1_Baseline_rendered/B8,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_readout/Stage3Algo-v1/E1_Baseline_rendered/B8,
B6,E1_Baseline_rendered,Stage3Algo-v0,Metric-v0,OK,23,10,12,1,0.6816666666666666,0.941,1.0,0.9255,1.5163540457066645e-15,5.11940160046375e-15,0.46,0.92,0.388,0.056,0.9489831401475237,0.953,0.945,3.627471515617838,0.6782734428959982,3.556887719042508,0.24020307919769546,1.0,True,0,0,12,12,CLOSED,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_metric_v0/Stage3Algo-v0/E1_Baseline_rendered/B6,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_readout/Stage3Algo-v0/E1_Baseline_rendered/B6,
B6,E1_Baseline_rendered,Stage3Algo-v0,Metric-v1,OK,23,10,12,1,0.6693333333333333,0.9326666666666666,1.0,0.9273333333333333,1.5163540457066645e-15,5.11940160046375e-15,0.4626666666666666,0.898,0.421,0.071,0.947825830842272,0.9505,0.9451666666666667,3.627471515617838,0.6782715244356421,3.5667136390646914,0.23813073131969748,1.0,True,0,0,12,12,CLOSED,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_metric_v1/Stage3Algo-v0/E1_Baseline_rendered/B6,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_readout/Stage3Algo-v0/E1_Baseline_rendered/B6,
