bid,source,status,classification_hint,readout_artifact_dir,metric_artifact_dir,ground_y,edge_ok,open_edges,nonmanifold_edges,roof_cov,wall_cov,ground_cov,support_coverage,roof_support_cov,wall_support_cov,ground_support_cov,F,h_err,vol_ratio,chamfer,roof_wall_adjacency_count,wall_ground_adjacency_count,gt_y_min,gt_y_max,gt_height,gt_roof_faces,gt_roof_y_min,gt_roof_y_max,gt_roof_y_median,gt_wall_faces,gt_wall_y_min,gt_wall_y_max,gt_wall_y_median,gt_ground_faces,gt_ground_y_min,gt_ground_y_max,gt_ground_y_median,pred_y_min,pred_y_max,pred_height,pred_roof_faces,pred_roof_area,pred_roof_y_min,pred_roof_y_max,pred_roof_y_median,pred_wall_faces,pred_wall_area,pred_wall_y_min,pred_wall_y_max,pred_wall_y_median,pred_ground_faces,pred_ground_area,pred_ground_y_min,pred_ground_y_max,pred_ground_y_median,evidence_roof_n,evidence_roof_y_mean,evidence_roof_y_median,evidence_roof_y_p05,evidence_roof_y_p95,evidence_roof_y_min,evidence_roof_y_max,evidence_wall_n,evidence_wall_y_mean,evidence_wall_y_median,evidence_wall_y_p05,evidence_wall_y_p95,evidence_wall_y_min,evidence_wall_y_max,evidence_ground_n,evidence_ground_y_mean,evidence_ground_y_median,evidence_ground_y_p05,evidence_ground_y_p95,evidence_ground_y_min,evidence_ground_y_max
B104,E0_GT_clean_upper_bound,OK,,results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E0_GT_clean_upper_bound/B104,results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_metric_v1_audit/E0_GT_clean_upper_bound/B104,-0.194,True,0,0,1.0,1.0,1.0,0.9976666666666666,0.999,0.991,1.0,1.0,0.0,1.0000000000000238,0.06410338281314854,4,4,-3.805,-0.194,3.611,1,-3.805,-3.646,-3.7515,4,-3.805,-0.194,-1.92,1,-0.194,-0.194,-0.194,-3.805,-0.194,3.611,2,17.499453849444727,-3.805,-3.646,-3.7515,4,65.60283225930223,-3.805,-0.194,-1.92,1,17.490167000000017,-0.194,-0.194,-0.194,80,-3.7361831900724605,-3.739404672701869,-3.783426356995057,-3.679926034117635,-3.805,-3.646,320,-1.9304788455250073,-1.9540710277323838,-3.6265327337264184,-0.26025721159957915,-3.805,-0.194,80,-0.19399999999999998,-0.194,-0.194,-0.194,-0.194,-0.194
B104,E1_Baseline_rendered,OK,,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_readout/Stage3Algo-v1/E1_Baseline_rendered/B104,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_metric_v1/Stage3Algo-v1/E1_Baseline_rendered/B104,-0.5240575199453045,True,0,0,1.0,0.9996666666666667,1.0,0.7943333333333333,1.0,0.775,0.545,1.0,0.2308115401708064,0.8649605297263258,0.13417468555339113,4,4,-3.805,-0.194,3.611,1,-3.805,-3.646,-3.7515,4,-3.805,-0.194,-1.92,1,-0.194,-0.194,-0.194,-3.9042459797744984,-0.5240575199453045,3.380188459829194,2,17.66003266885161,-3.9042459797744984,-3.176762740639039,-3.752216271389523,4,57.474144841136,-3.9042459797744984,-0.5240575199453045,-1.8504101302921718,1,17.490167000000017,-0.5240575199453045,-0.5240575199453045,-0.5240575199453045,445,-3.754807813515824,-3.7817490100860596,-4.107121372222901,-3.3054523468017583,-4.970301151275635,-2.4890079498291016,83,-2.7175221572439354,-2.250654935836792,-3.544179391860962,-1.122160339355469,-13.996748924255371,-0.9550628662109375,160,-0.4975447198143229,-0.3065163344144821,-1.710988825559616,0.21239061430096623,-9.263548851013184,0.8467563390731812
B104,E2_Mutual_rendered,OK,,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_readout/Stage3Algo-v1/E2_Mutual_rendered/B104,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_metric_v1/Stage3Algo-v1/E2_Mutual_rendered/B104,-0.9314214232200776,True,0,0,1.0,0.9166666666666666,0.0,0.745,1.0,0.831,0.386,0.8275055271682864,0.6116163007342417,0.7344306125677919,0.2219298171623314,4,4,-3.805,-0.194,3.611,1,-3.805,-3.646,-3.7515,4,-3.805,-0.194,-1.92,1,-0.194,-0.194,-0.194,-3.930805122485836,-0.9314214232200776,2.9993836992657585,2,17.623170445642604,-3.930805122485836,-3.308026756122236,-3.5652157564838616,4,48.974802347463616,-3.930805122485836,-0.9314214232200776,-2.119724089671157,1,17.490167000000017,-0.9314214232200776,-0.9314214232200776,-0.9314214232200776,420,-3.7973982453346253,-3.767803192138672,-4.133304476737976,-3.3925128459930423,-9.003584861755371,-2.359773635864258,83,-3.328430787626519,-2.6133804321289062,-11.525266075134276,-1.6507713317871093,-15.734481811523438,-1.0700302124023438,101,-0.8647480344787093,-0.6662593483924866,-2.7659096717834473,0.4730478823184967,-8.78608512878418,1.0721958875656128
B104,E4_Mutual_primitive,OK,,results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E4_Mutual_primitive/B104,results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_metric_v1_audit/E4_Mutual_primitive/B104,-2.826666426658629,True,0,0,1.0,0.38366666666666666,0.0,0.536,0.959,0.621,0.0,0.5650348470724019,2.5578893592527616,0.26621816464941617,0.6787855365428839,4,4,-3.805,-0.194,3.611,1,-3.805,-3.646,-3.7515,4,-3.805,-0.194,-1.92,1,-0.194,-0.194,-0.194,-3.879777067405868,-2.826666426658629,1.0531106407472386,2,17.499750838800146,-3.879777067405868,-3.65262770652771,-3.8005878925323486,4,17.567155357695775,-3.879777067405868,-2.826666426658629,-3.23964706659317,1,17.490167000000017,-2.826666426658629,-2.826666426658629,-2.826666426658629,110,-3.652093349803578,-3.679220199584961,-3.9196586489677427,-3.3221874237060547,-4.3225321769714355,-2.5007126331329346,39,-3.1824150513380003,-3.122370958328247,-3.526338744163513,-2.826666426658629,-3.7575254440307617,-2.1646816730499268,0,,,,,,
B6,E0_GT_clean_upper_bound,OK,,results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E0_GT_clean_upper_bound/B6,results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_metric_v1_audit/E0_GT_clean_upper_bound/B6,-0.5490000000000002,True,0,0,0.5756666666666667,0.9346666666666666,1.0,0.7676666666666666,0.515,0.917,0.84,0.9374104455504207,3.6069999999999993,0.6464930438014105,0.24119812354740283,12,12,-20.461,-0.549,19.912,4,-20.461,-13.546,-16.4865,23,-20.461,-0.549,-16.299500000000002,1,-0.549,-0.549,-0.549,-16.854,-0.5490000000000002,16.305,10,89.76876815397245,-16.854,-13.578,-16.611,12,553.962143578327,-16.854,-0.5490000000000002,-7.0634999999999994,1,66.97070900000003,-0.5490000000000002,-0.5490000000000002,-0.5490000000000002,320,-15.85574317717958,-16.449384664660222,-17.50745176727009,-13.58904504672252,-20.461,-13.546,1884,-12.026289486286712,-13.94351447528546,-18.07199454105897,-1.6942730022615744,-20.461,-0.549,80,-0.5490000000000002,-0.549,-0.549,-0.549,-0.5490000000000002,-0.549
B6,E1_Baseline_rendered,OK,,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_readout/Stage3Algo-v1/E1_Baseline_rendered/B6,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_metric_v1/Stage3Algo-v1/E1_Baseline_rendered/B6,-0.8238140060470058,True,0,0,0.6693333333333333,0.9326666666666666,1.0,0.4626666666666666,0.898,0.421,0.071,0.947825830842272,3.627471515617838,0.6782715244356421,0.23813073131969748,12,12,-20.461,-0.549,19.912,4,-20.461,-13.546,-16.4865,23,-20.461,-0.549,-16.299500000000002,1,-0.549,-0.549,-0.549,-17.108342490429166,-0.8238140060470058,16.28452848438216,10,79.82494517869816,-17.108342490429166,-13.736962260097663,-16.038375761136308,12,571.3114833732318,-17.108342490429166,-0.8238140060470058,-7.280388133072334,1,66.97070900000003,-0.8238140060470058,-0.8238140060470058,-0.8238140060470058,2065,-16.443359521399397,-16.687828063964844,-17.556430053710937,-13.757847213745118,-19.88199806213379,-12.185562133789062,1117,-11.647332799573402,-12.932625770568848,-18.632588958740236,-2.5240062713623046,-20.206647872924805,-0.8079304695129395,90,-0.8444353543221951,-0.6751038432121277,-1.5385457873344421,0.15511665344238276,-11.370132446289062,0.21953582763671875
B6,E2_Mutual_rendered,OK,,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_readout/Stage3Algo-v1/E2_Mutual_rendered/B6,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_metric_v1/Stage3Algo-v1/E2_Mutual_rendered/B6,-0.6171388027683306,True,0,0,0.5246666666666666,0.932,1.0,0.41733333333333333,0.74,0.381,0.064,0.931374727863768,3.38937412340141,0.6638984274781619,0.23824001664625477,12,12,-20.461,-0.549,19.912,4,-20.461,-13.546,-16.4865,23,-20.461,-0.549,-16.299500000000002,1,-0.549,-0.549,-0.549,-17.13976467936692,-0.6171388027683306,16.52262587659859,10,86.93648241634482,-17.13976467936692,-13.347174574514453,-15.611697600181254,12,569.1816389535782,-17.13976467936692,-0.6171388027683306,-6.982156688641392,1,66.97070900000003,-0.6171388027683306,-0.6171388027683306,-0.6171388027683306,2086,-16.431449058986235,-16.693015098571777,-17.559006214141846,-13.750291585922241,-19.897748947143555,-12.291610717773438,1056,-11.977853487161072,-13.109691143035889,-18.487267017364502,-3.3268399238586426,-20.211164474487305,-1.0262802839279175,63,-0.6312533574444907,-0.3299576938152313,-1.5639180183410644,0.1447364807128906,-8.248031616210938,0.1730804443359375
B3,E0_GT_clean_upper_bound,OK,,results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E0_GT_clean_upper_bound/B3,results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_metric_v1_audit/E0_GT_clean_upper_bound/B3,-0.4650000000000002,True,0,0,0.13733333333333334,0.618,0.9216666666666666,0.6306666666666666,0.137,0.923,0.846,0.4328029749310765,0.0,1.0238178731397176,1.1354435661182025,42,42,-26.245,-0.465,25.78,25,-26.245,-2.063,-4.1205,101,-26.245,-0.465,-3.726,1,-0.465,-0.465,-0.465,-26.245,-0.4650000000000002,25.78,40,2549.8626824975645,-26.245,-2.076,-4.1690000000000005,42,1685.9154901656425,-26.245,-0.4650000000000002,-1.2705000000000002,1,868.0365199999999,-0.4650000000000002,-0.4650000000000002,-0.4650000000000002,2205,-8.176007650750101,-4.123292273829799,-23.20444712419948,-2.1238111815665084,-26.245,-2.063,8466,-6.178883583877849,-4.021875,-19.537039769676483,-0.8997564738274065,-26.245,-0.465,1011,-0.4649999999999999,-0.465,-0.465,-0.465,-0.465,-0.46499999999999997
B3,E1_Baseline_rendered,OK,,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_readout/Stage3Algo-v1/E1_Baseline_rendered/B3,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_metric_v1/Stage3Algo-v1/E1_Baseline_rendered/B3,-0.7966431872233092,True,0,0,0.14966666666666667,0.609,0.7763333333333333,0.25266666666666665,0.321,0.407,0.065,0.40331385102574696,2.4719599680153728,0.9650653233730663,1.0849839789180125,42,42,-26.245,-0.465,25.78,25,-26.245,-2.063,-4.1205,101,-26.245,-0.465,-3.726,1,-0.465,-0.465,-0.465,-24.10468321920794,-0.7966431872233092,23.30804003198463,40,2228.177140981188,-24.10468321920794,-2.232650177370293,-5.176292110723922,42,1701.613011895641,-24.10468321920794,-0.7966431872233092,-1.5146466822968012,1,868.0365199999999,-0.7966431872233092,-0.7966431872233092,-0.7966431872233092,21917,-9.483587856388889,-5.208770751953125,-23.28672676086426,-2.899235725402832,-26.734960556030273,-1.4608306884765625,5062,-13.082218724352623,-13.021454811096191,-23.89341793060303,-2.5956832528114337,-26.269014358520508,-0.5203768610954285,788,-0.7641503160549351,-0.290134072303772,-2.370002770423889,0.03580894470214839,-12.496356964111328,0.17131029069423676
B3,E2_Mutual_rendered,OK,,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_readout/Stage3Algo-v1/E2_Mutual_rendered/B3,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_metric_v1/Stage3Algo-v1/E2_Mutual_rendered/B3,-0.6424182688472431,True,0,0,0.156,0.6216666666666667,0.896,0.25533333333333336,0.301,0.443,0.066,0.43840797720797725,1.8207417446001521,0.9731816247712521,1.0762153717867158,42,42,-26.245,-0.465,25.78,25,-26.245,-2.063,-4.1205,101,-26.245,-0.465,-3.726,1,-0.465,-0.465,-0.465,-24.601676524247093,-0.6424182688472431,23.95925825539985,40,2246.8525976540654,-24.601676524247093,-2.3092096411606153,-4.9567632357651386,42,1764.0034167631948,-24.601676524247093,-0.6424182688472431,-1.4758139550039293,1,868.0365199999999,-0.6424182688472431,-0.6424182688472431,-0.6424182688472431,21962,-9.498667639783253,-5.214962005615234,-23.29120225906372,-2.911013257503509,-26.659896850585938,-1.414703369140625,5152,-12.954517078817307,-12.863039493560791,-23.909847736358643,-2.5898216009140014,-26.363025665283203,-0.4918857514858246,685,-0.6243135208494275,-0.22781768441200256,-2.0007781982421875,0.0550947330892086,-10.222220420837402,0.31269213557243347
