split,metric,n_bids,n_both_ok,e1_mean,e2_mean,raw_delta_mean_e2_minus_e1,directional_delta_mean_positive_favors_e2,e2_wins,e1_wins,ties,missing
all_10,ok,10,10,1.0,1.0,0.0,0.0,0,0,10,0
all_10,F,10,10,0.8216835986580682,0.803260939990199,-0.018422658667869306,-0.018422658667869306,4,6,0,0
all_10,precision,10,10,0.8259833333333333,0.8114833333333333,-0.01450000000000003,-0.01450000000000003,4,6,0,0
all_10,recall,10,10,0.8179666666666666,0.79625,-0.02171666666666667,-0.02171666666666667,4,6,0,0
all_10,roof_cov,10,10,0.6241,0.6090333333333333,-0.015066666666666667,-0.015066666666666667,5,3,2,0
all_10,wall_cov,10,10,0.8554666666666666,0.8542666666666665,-0.001200000000000001,-0.001200000000000001,5,4,1,0
all_10,ground_cov,10,10,0.8743000000000001,0.8374333333333333,-0.03686666666666667,-0.03686666666666667,2,4,4,0
all_10,support_cov,10,10,0.4591333333333333,0.4493666666666667,-0.009766666666666684,-0.009766666666666684,4,6,0,0
all_10,roof_support_cov,10,10,0.7358,0.7205,-0.015299999999999994,-0.015299999999999994,3,4,3,0
all_10,wall_support_cov,10,10,0.5050000000000001,0.507,0.0019999999999999853,0.0019999999999999853,4,6,0,0
all_10,ground_support_cov,10,10,0.1376,0.1123,-0.0253,-0.0253,3,7,0,0
all_10,h_err,10,10,1.091747398531087,0.907610764592986,-0.18413663393810115,0.18413663393810115,6,4,0,0
all_10,vol_ratio,10,10,1.0343683439795315,1.0194911575493755,-0.014877186430156097,-0.012656915777515243,6,4,0,0
all_10,chamfer,10,10,0.4580980326302438,0.4575642266537601,-0.0005338059764837422,0.0005338059764837422,4,6,0,0
all_10,hausdorff,10,10,3.284226250656796,3.2801975332836113,-0.004028717373185192,0.004028717373185192,3,7,0,0
all_10,open_edges,10,10,0.0,0.0,0.0,0.0,0,0,10,0
all_10,non_manifold_edges,10,10,0.0,0.0,0.0,0.0,0,0,10,0
hard_diagnostic,ok,5,5,1.0,1.0,0.0,0.0,0,0,5,0
hard_diagnostic,F,5,5,0.7018258720767093,0.6627687628012451,-0.03905710927546424,-0.03905710927546424,1,4,0,0
hard_diagnostic,precision,5,5,0.7060666666666666,0.6812666666666666,-0.02480000000000001,-0.02480000000000001,1,4,0,0
hard_diagnostic,recall,5,5,0.6980000000000001,0.6465333333333334,-0.051466666666666674,-0.051466666666666674,1,4,0,0
hard_diagnostic,roof_cov,5,5,0.4254666666666667,0.3972666666666666,-0.028200000000000013,-0.028200000000000013,2,2,1,0
hard_diagnostic,wall_cov,5,5,0.7621333333333333,0.7466,-0.015533333333333333,-0.015533333333333333,1,3,1,0
hard_diagnostic,ground_cov,5,5,0.9486000000000001,0.7610666666666667,-0.18753333333333333,-0.18753333333333333,1,3,1,0
hard_diagnostic,support_cov,5,5,0.4173333333333333,0.3953333333333333,-0.022,-0.022,2,3,0,0
hard_diagnostic,roof_support_cov,5,5,0.5369999999999999,0.503,-0.03399999999999999,-0.03399999999999999,1,3,1,0
hard_diagnostic,wall_support_cov,5,5,0.5342,0.5317999999999999,-0.0024000000000000245,-0.0024000000000000245,2,3,0,0
hard_diagnostic,ground_support_cov,5,5,0.17220000000000002,0.1274,-0.04480000000000001,-0.04480000000000001,2,3,0,0
hard_diagnostic,h_err,5,5,1.5711891579719601,1.4038240511538151,-0.16736510681814504,0.16736510681814504,4,1,0,0
hard_diagnostic,vol_ratio,5,5,0.7554465138779329,0.7198215267597813,-0.03562498711815161,-0.03562498711815161,2,3,0,0
hard_diagnostic,chamfer,5,5,0.6644246764752383,0.6875409702923232,0.023116293817084965,-0.023116293817084965,1,4,0,0
hard_diagnostic,hausdorff,5,5,5.174541042658818,5.270140240757807,0.09559919809898837,-0.09559919809898837,0,5,0,0
hard_diagnostic,open_edges,5,5,0.0,0.0,0.0,0.0,0,0,5,0
hard_diagnostic,non_manifold_edges,5,5,0.0,0.0,0.0,0.0,0,0,5,0
easier_control,ok,5,5,1.0,1.0,0.0,0.0,0,0,5,0
easier_control,F,5,5,0.941541325239427,0.9437531171791527,0.002211791939725627,0.002211791939725627,3,2,0,0
easier_control,precision,5,5,0.9459000000000002,0.9417,-0.004200000000000048,-0.004200000000000048,3,2,0,0
easier_control,recall,5,5,0.9379333333333333,0.9459666666666667,0.008033333333333337,0.008033333333333337,3,2,0,0
easier_control,roof_cov,5,5,0.8227333333333332,0.8208,-0.0019333333333333203,-0.0019333333333333203,3,1,1,0
easier_control,wall_cov,5,5,0.9488000000000001,0.9619333333333333,0.01313333333333333,0.01313333333333333,4,1,0,0
easier_control,ground_cov,5,5,0.8,0.9138,0.11379999999999998,0.11379999999999998,1,1,3,0
easier_control,support_cov,5,5,0.5009333333333333,0.5034,0.0024666666666666283,0.0024666666666666283,2,3,0,0
easier_control,roof_support_cov,5,5,0.9346,0.938,0.003400000000000003,0.003400000000000003,2,1,2,0
easier_control,wall_support_cov,5,5,0.4758000000000001,0.4822,0.006399999999999994,0.006399999999999994,2,3,0,0
easier_control,ground_support_cov,5,5,0.10300000000000001,0.09720000000000001,-0.005799999999999991,-0.005799999999999991,1,4,0,0
easier_control,h_err,5,5,0.612305639090214,0.41139747803215665,-0.20090816105805728,0.20090816105805728,2,3,0,0
easier_control,vol_ratio,5,5,1.3132901740811302,1.3191607883389695,0.005870614257839413,0.010311155563121122,4,1,0,0
easier_control,chamfer,5,5,0.2517713887852493,0.22758748301519685,-0.02418390577005245,0.02418390577005245,3,2,0,0
easier_control,hausdorff,5,5,1.3939114586547743,1.2902548258094158,-0.10365663284535875,0.10365663284535875,3,2,0,0
easier_control,open_edges,5,5,0.0,0.0,0.0,0.0,0,0,5,0
easier_control,non_manifold_edges,5,5,0.0,0.0,0.0,0.0,0,0,5,0
roof_complex_candidate,ok,3,3,1.0,1.0,0.0,0.0,0,0,3,0
roof_complex_candidate,F,3,3,0.5204345098470916,0.5183211863247238,-0.002113323522367853,-0.002113323522367853,1,2,0,0
roof_complex_candidate,precision,3,3,0.526611111111111,0.5258333333333334,-0.0007777777777777847,-0.0007777777777777847,1,2,0,0
roof_complex_candidate,recall,3,3,0.5149444444444445,0.5117222222222223,-0.0032222222222222188,-0.0032222222222222188,1,2,0,0
roof_complex_candidate,roof_cov,3,3,0.15266666666666664,0.15388888888888888,0.0012222222222222172,0.0012222222222222172,2,1,0,0
roof_complex_candidate,wall_cov,3,3,0.6261111111111112,0.6281111111111111,0.0020000000000000018,0.0020000000000000018,1,1,1,0
roof_complex_candidate,ground_cov,3,3,0.9143333333333334,0.9351111111111111,0.020777777777777784,0.020777777777777784,1,2,0,0
roof_complex_candidate,support_cov,3,3,0.27655555555555555,0.27144444444444443,-0.005111111111111122,-0.005111111111111122,2,1,0,0
roof_complex_candidate,roof_support_cov,3,3,0.26066666666666666,0.254,-0.0066666666666666445,-0.0066666666666666445,1,2,0,0
roof_complex_candidate,wall_support_cov,3,3,0.504,0.49300000000000005,-0.01100000000000001,-0.01100000000000001,1,2,0,0
roof_complex_candidate,ground_support_cov,3,3,0.08266666666666667,0.066,-0.016666666666666666,-0.016666666666666666,1,2,0,0
roof_complex_candidate,h_err,3,3,1.3325542446903853,1.0060432772111412,-0.32651096747924413,0.32651096747924413,3,0,0,0
roof_complex_candidate,vol_ratio,3,3,0.7446668384092322,0.7335928645843176,-0.011073973824914632,-0.011073973824914632,2,1,0,0
roof_complex_candidate,chamfer,3,3,0.9832726551677009,0.9925116725510099,0.009239017383309086,-0.009239017383309086,1,2,0,0
roof_complex_candidate,hausdorff,3,3,7.28099569884979,7.316574162038381,0.03557846318859189,-0.03557846318859189,0,3,0,0
roof_complex_candidate,open_edges,3,3,0.0,0.0,0.0,0.0,0,0,3,0
roof_complex_candidate,non_manifold_edges,3,3,0.0,0.0,0.0,0.0,0,0,3,0
ground_sensitive,ok,3,3,1.0,1.0,0.0,0.0,0,0,3,0
ground_sensitive,F,3,3,0.9603255835497935,0.8979272934170589,-0.0623982901327346,-0.0623982901327346,1,2,0,0
ground_sensitive,precision,3,3,0.9625,0.9225,-0.040000000000000036,-0.040000000000000036,1,2,0,0
ground_sensitive,recall,3,3,0.9581666666666667,0.8762222222222222,-0.08194444444444444,-0.08194444444444444,1,2,0,0
ground_sensitive,roof_cov,3,3,0.739,0.6925555555555555,-0.046444444444444434,-0.046444444444444434,1,1,1,0
ground_sensitive,wall_cov,3,3,0.959111111111111,0.932,-0.027111111111111086,-0.027111111111111086,1,2,0,0
ground_sensitive,ground_cov,3,3,1.0,0.6666666666666666,-0.3333333333333333,-0.3333333333333333,0,1,2,0
ground_sensitive,support_cov,3,3,0.5657777777777778,0.5315555555555554,-0.034222222222222244,-0.034222222222222244,0,3,0,0
