bid,bid_int,delta_F_e2_minus_e1,delta_support_cov_e2_minus_e1,delta_ground_cov_e2_minus_e1,delta_roof_cov_e2_minus_e1,delta_wall_cov_e2_minus_e1,e1_ground_entropy_mean,e2_ground_entropy_mean,e1_ground_distance_to_gt_mean,e2_ground_distance_to_gt_mean,alignment_note
B0,0,0.016009342228176626,0.027999999999999914,0.0,0.06233333333333335,-0.0043333333333333,0.07985323002762118,0.08126463028602302,0.4880981311893026,0.4289325345104649,neutral
B1,1,0.07493586030292887,-0.008999999999999952,0.963,-0.09566666666666668,0.06566666666666665,0.25943905384889965,0.26865041749551893,1.5091596927360642,0.8392922212520848,neutral
B2,2,-0.003255009498267958,-0.015666666666666718,0.0,0.0,0.0013333333333332975,0.10154581242479765,0.0911903078065199,0.5059744506420997,0.47676003868947997,lower entropy did not translate to final support/geometry gain
B8,8,-0.07838193874622323,0.017000000000000015,-0.394,0.018333333333333313,0.0006666666666665932,0.09026924934964832,0.048943988000197954,0.6901645865353991,0.5005370613050459,ground final metric worsened; ground/terrain mutual component is a candidate
B6,6,-0.01645110297850405,-0.04533333333333328,0.0,-0.14466666666666672,-0.0006666666666665932,0.2703018472012546,0.2169604612484811,0.6082006869163779,0.5442848901786501,lower entropy did not translate to final support/geometry gain
B3,3,0.03509412618223029,0.002666666666666706,0.1196666666666667,0.00633333333333333,0.012666666666666715,0.2054393570221973,0.21807716310425343,0.7061029465586954,0.6078456348187059,neutral
B123,123,-0.020319948666267185,-0.02966666666666673,-0.02966666666666673,-0.017000000000000015,-0.00666666666666671,0.129295875650734,0.12569684981622034,0.7091715958046363,0.5311414773840369,lower entropy did not translate to final support/geometry gain
B126,126,-0.021114148083066664,0.011666666666666659,-0.027666666666666617,0.014333333333333337,0.0,0.12287399983442455,0.10258626552363376,0.7091311802121515,0.5958760143005027,lower entropy did not translate to final support/geometry gain
B50,50,0.001750705412013831,-0.008000000000000118,0.0,0.005333333333333412,0.0023333333333334094,0.2756699181627482,0.14062958308273837,0.347682189175859,0.5514614657064278,lower entropy did not translate to final support/geometry gain
B104,104,-0.1724944728317136,-0.04933333333333334,-1.0,0.0,-0.08300000000000007,0.23553807088173925,0.33492627363688876,0.4700500450948254,0.9561251593187894,ground final metric worsened; ground/terrain mutual component is a candidate
