bid,bid_int,source,roof_y_count,roof_y_min,roof_y_p05,roof_y_p10,roof_y_p25,roof_y_median,roof_y_mean,roof_y_p75,roof_y_p90,roof_y_p95,roof_y_max,roof_z_count,roof_z_min,roof_z_p05,roof_z_p10,roof_z_p25,roof_z_median,roof_z_mean,roof_z_p75,roof_z_p90,roof_z_p95,roof_z_max
B0,0,E1_Baseline_rendered,1866,-17.038488388061523,-16.728838443756104,-16.654980659484863,-16.540109634399414,-16.401256561279297,-16.289538131521702,-16.28137493133545,-16.14351177215576,-15.03507924079895,-11.512989044189453,1866,-78.87954711914062,-77.06282234191895,-76.25615310668945,-74.60342597961426,-71.75696182250977,-71.5269601562271,-68.36467170715332,-66.42227172851562,-65.60082244873047,-63.75021743774414
B0,0,E2_Mutual_rendered,1873,-17.109697341918945,-16.736861801147462,-16.6634822845459,-16.544448852539062,-16.39807891845703,-16.279389656360177,-16.279823303222656,-16.129835510253905,-14.820901489257816,-11.2550048828125,1873,-78.85548400878906,-77.08073120117187,-76.26433563232422,-74.69985961914062,-71.78834533691406,-71.58146387233622,-68.46468353271484,-66.43260040283204,-65.62345275878907,-63.71685791015625
B1,1,E1_Baseline_rendered,3562,-19.28938102722168,-17.450835037231446,-17.37278652191162,-17.2603497505188,-17.182252883911133,-17.16022844973205,-17.066009521484375,-16.970367431640625,-16.855767440795898,-12.818283081054688,3562,-45.57426071166992,-43.25996627807617,-42.30617790222168,-39.67804431915283,-35.47200584411621,-35.44825502970726,-31.132990837097168,-28.498076248168946,-27.43881435394287,-25.460710525512695
B1,1,E2_Mutual_rendered,3547,-19.31287956237793,-17.45786476135254,-17.368693161010743,-17.260247230529785,-17.18108558654785,-17.157346766062915,-17.06113052368164,-16.971229553222656,-16.85158519744873,-12.71633529663086,3547,-45.5920295715332,-43.23328819274902,-42.29470291137695,-39.6787166595459,-35.545654296875,-35.46873985077584,-31.26107883453369,-28.602859497070312,-27.442586326599123,-25.436002731323242
B2,2,E1_Baseline_rendered,2613,-14.827516555786133,-14.424751663208008,-14.347517204284667,-14.23389720916748,-14.146615028381348,-14.148568426746087,-14.068890571594238,-13.972706604003907,-13.931288146972657,-11.816417694091797,2613,-5.247471332550049,-3.3974380970001223,-2.653480863571167,-0.8673890233039856,2.010236978530884,2.004884713019825,4.969760417938232,6.74518575668335,7.357438278198243,8.84615421295166
B2,2,E2_Mutual_rendered,2612,-14.768939971923828,-14.41649670600891,-14.332613849639893,-14.2337486743927,-14.146361351013184,-14.146628670816582,-14.061065435409546,-13.971448516845703,-13.92573585510254,-11.689247131347656,2612,-5.214206695556641,-3.427548849582672,-2.6672250509262083,-0.8476582765579224,2.0051932334899902,2.007679055306731,4.9644153118133545,6.7396797180175785,7.346664071083069,8.62729263305664
B8,8,E1_Baseline_rendered,2783,-15.314453125,-14.859630107879639,-14.795747184753418,-14.708945751190186,-14.563102722167969,-14.51585663560051,-14.406940460205078,-14.05349292755127,-13.947278594970703,-12.77397632598877,2783,4.862639427185059,6.4649943828582765,7.4525374412536625,9.2304048538208,12.342413902282715,12.254015258778097,15.20945119857788,16.980812072753906,17.639686393737794,19.235166549682617
B8,8,E2_Mutual_rendered,2784,-15.306326866149902,-14.857490968704223,-14.79348964691162,-14.708579063415527,-14.567569732666016,-14.516273264227243,-14.392624378204346,-14.063394260406493,-13.955704498291016,-12.944435119628906,2784,4.863109111785889,6.5184564113616945,7.464437198638916,9.263624668121338,12.354465961456299,12.282173618845556,15.228448390960693,17.00322608947754,17.635496807098388,19.327392578125
B6,6,E1_Baseline_rendered,2065,-19.88199806213379,-17.556430053710937,-17.301837158203124,-16.96074867248535,-16.687828063964844,-16.443359521399397,-16.409507751464844,-14.929337501525877,-13.757847213745118,-12.185562133789062,2065,-58.24779510498047,-56.67788391113281,-56.0440559387207,-54.750789642333984,-52.798057556152344,-52.72673505917011,-50.7397575378418,-49.289451599121094,-48.505855560302734,-46.903907775878906
B6,6,E2_Mutual_rendered,2086,-19.897748947143555,-17.559006214141846,-17.30486488342285,-16.931394577026367,-16.693015098571777,-16.431449058986235,-16.381901741027832,-14.761420726776123,-13.750291585922241,-12.291610717773438,2086,-58.30320739746094,-56.6087121963501,-56.0551700592041,-54.70652484893799,-52.73394203186035,-52.68766150469977,-50.6448335647583,-49.26848602294922,-48.501708030700684,-46.903770446777344
