bid,source,stage3_algo_version,metric_version,status,n_faces,n_roof_faces,n_wall_faces,n_ground_faces,roof_cov,wall_cov,ground_cov,semantic_face_acc,face_planarity_mean,face_planarity_max,support_coverage,F,precision,recall,h_err,vol_ratio,hausdorff,chamfer,footprint_IoU,edge_ok,open_edges,nonmanifold_edges,roof_wall_adjacency_count,wall_ground_adjacency_count,shell_completeness,metric_artifact_dir,readout_artifact_dir,failure_reason
B0,E0_GT_clean_upper_bound,Stage3Algo-v0,Metric-v0,OK,23,10,12,1,0.365,0.9573333333333334,1.0,0.9203333333333333,1.865487181730847e-15,9.821561306426032e-15,0.6893333333333334,0.9024049619847939,0.9056666666666666,0.8991666666666667,0.0,2.1983548431372073,2.331414284506052,0.27012476370815514,1.0,True,0,0,12,12,CLOSED,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase2_readout/E0_GT_clean_upper_bound/B0,
B0,E1_Baseline_rendered,Stage3Algo-v0,Metric-v0,SOURCE_MISSING,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase2_readout/E1_Baseline_rendered/B0,source artifact unavailable
B0,E2_Mutual_rendered,Stage3Algo-v0,Metric-v0,OK,23,10,12,1,0.7703333333333333,0.9676666666666667,1.0,0.928,1.851991012631141e-15,9.829558326425327e-15,0.595,0.9603541287057121,0.9526666666666667,0.9681666666666666,0.5267500991966507,1.1011846202996374,1.8606110348057399,0.2284012653310558,1.0,True,0,0,12,12,CLOSED,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase2_readout/E2_Mutual_rendered/B0,
B0,E3_Baseline_primitive,Stage3Algo-v0,Metric-v0,OK,23,10,12,1,0.23333333333333334,0.9476666666666667,0.9983333333333333,0.9123333333333333,1.8763697263742614e-15,9.829558326425327e-15,0.5973333333333334,0.8660439592150827,0.8821666666666667,0.8505,0.39044701820446903,1.4066989261640739,2.4325912935316545,0.3181200542085568,1.0,True,0,0,12,12,CLOSED,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase2_readout/E3_Baseline_primitive/B0,
B0,E4_Mutual_primitive,Stage3Algo-v0,Metric-v0,OK,23,10,12,1,0.4593333333333333,0.9603333333333334,0.0,0.901,1.8390989917956088e-15,9.41405394523737e-15,0.6193333333333334,0.8272475739565494,0.8258333333333333,0.8286666666666667,0.5865344131450563,2.0156338278746992,2.5932222128453972,0.3084621499067238,1.0,True,0,0,12,12,CLOSED,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase2_readout/E4_Mutual_primitive/B0,
B1,E0_GT_clean_upper_bound,Stage3Algo-v0,Metric-v0,OK,11,4,6,1,1.0,0.9423333333333334,1.0,0.9713333333333334,2.5146985601594417e-15,8.267055103640565e-15,0.8650000000000001,0.9884995503849829,0.9878333333333333,0.9891666666666666,0.0,1.0000097547675866,0.716354706962,0.20820992713058006,1.0,True,0,0,6,6,CLOSED,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase2_readout/E0_GT_clean_upper_bound/B1,
B1,E1_Baseline_rendered,Stage3Algo-v0,Metric-v0,SOURCE_MISSING,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase2_readout/E1_Baseline_rendered/B1,source artifact unavailable
B1,E2_Mutual_rendered,Stage3Algo-v0,Metric-v0,OK,11,4,6,1,0.8013333333333333,0.917,0.9653333333333334,0.9625,2.6029297002103288e-15,7.37887668394044e-15,0.492,0.9152138759901667,0.921,0.9095,0.32589166941419023,0.8318257428614786,1.522083312615867,0.26601823424212845,1.0,True,0,0,6,6,CLOSED,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase2_readout/E2_Mutual_rendered/B1,
B1,E3_Baseline_primitive,Stage3Algo-v0,Metric-v0,OK,11,4,6,1,0.298,0.8933333333333333,0.0,0.8948333333333334,2.4632062614391433e-15,7.405522036531443e-15,0.43933333333333335,0.7694956320843259,0.7713333333333333,0.7676666666666667,0.5973087174153449,0.7117182528525458,3.7751048661097872,0.386203223027598,1.0,True,0,0,6,6,CLOSED,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase2_readout/E3_Baseline_primitive/B1,
B1,E4_Mutual_primitive,Stage3Algo-v0,Metric-v0,OK,11,4,6,1,0.4776666666666667,0.8913333333333333,0.0,0.9083333333333333,2.510472965113993e-15,7.474274174087715e-15,0.4726666666666666,0.7890801562995036,0.7875,0.7906666666666666,0.5632176605880943,0.9503017829414001,3.481679251061597,0.36086485959664527,1.0,True,0,0,6,6,CLOSED,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase2_readout/E4_Mutual_primitive/B1,
